"HDFCBANK","770.00","815.65","770.00","843.05","800.00","-","-43.05","-5.11","17,16,37,393","13,761.37","1,020.50","770.00","-12.63","-8.26"
"ATGL","535.65","580.00","517.70","515.65","560.50","-","44.85","8.70","5,02,97,135","2,821.32","798.00","462.80","7.38","-9.97"
"RELIANCE","1,388.00","1,415.70","1,376.10","1,408.10","1,392.00","-","-16.10","-1.14","1,64,98,373","2,301.06","1,611.80","1,114.85","-1.24","11.61"
"ICICIBANK","1,267.60","1,285.90","1,243.70","1,289.30","1,259.70","-","-29.60","-2.30","1,44,22,899","1,815.66","1,500.00","1,240.10","-9.30","-4.07"
"LT","3,526.70","3,528.30","3,422.00","3,607.90","3,444.00","-","-163.90","-4.54","48,98,518","1,693.51","4,440.00","2,965.30","-19.54","3.75"
"ETERNAL","236.99","238.49","227.65","242.54","229.50","-","-13.04","-5.38","7,23,05,788","1,674.60","368.45","194.80","-15.55","2.67"
"SBIN","1,049.50","1,059.70","1,041.00","1,069.80","1,052.60","-","-17.20","-1.61","1,34,31,191","1,410.10","1,234.70","722.60","-12.70","41.27"
"BHARTIARTL","1,826.60","1,861.30","1,816.30","1,855.40","1,835.60","-","-19.80","-1.07","71,45,082","1,312.82","2,174.50","1,622.10","-7.69","12.12"
"JPPOWER","14.75","17.38","14.55","15.00","16.68","-","1.68","11.20","73,23,35,818","1,201.03","27.70","12.52","13.01","13.08"
"SHRIRAMFIN","1,000.00","1,000.00","946.30","1,021.60","953.00","-","-68.60","-6.71","1,19,56,347","1,152.33","1,108.00","566.50","-9.64","42.68"
"BSE","2,950.00","2,995.00","2,876.00","2,995.60","2,899.80","-","-95.80","-3.20","38,71,447","1,135.46","3,227.00","1,326.67","5.78","98.05"
"WAAREEENER","3,095.00","3,210.50","3,095.00","3,184.80","3,150.70","-","-34.10","-1.07","35,54,580","1,125.71","3,865.00","1,863.00","9.62","39.71"
"INFY","1,244.20","1,255.00","1,215.10","1,267.10","1,226.00","-","-41.10","-3.24","91,56,461","1,125.60","1,728.00","1,215.10","-10.54","-22.73"
