Price,Close,High,Low,Open,Volume
Ticker,ABREL.NS,ABREL.NS,ABREL.NS,ABREL.NS,ABREL.NS
Date,,,,,
2016-04-20,598.0587768554688,604.9831571417856,583.4511325023861,583.4511325023861,1184925
2016-04-21,585.9176025390625,601.9480150860642,581.1748666562705,599.4818155849024,718572
2016-04-22,592.604736328125,595.9720665882616,577.6651211265756,581.980998383636,840341
2016-04-25,589.3796997070312,601.1891223259174,583.119312193142,595.4030083477688,831192
2016-04-26,595.4030151367188,598.5332089293547,584.305002694901,584.305002694901,896817
2016-04-27,596.9679565429688,607.0700039859299,593.9800686039248,598.5330820548778,894934
2016-04-28,590.6127319335938,600.8096107890324,588.4785014754787,592.2726889565721,1039843
2016-04-29,605.5997314453125,610.0104394406991,579.6569410685103,588.1464467234225,1146777
2016-05-02,605.0781860351562,611.3385734039819,598.0114989374235,602.3273764337138,1037190
2016-05-03,580.7952270507812,611.8127207515448,577.6650340119238,606.548297291461,2124227
2016-05-04,570.5509643554688,580.0364334220601,557.0341709355761,572.9223316221166,1429922
2016-05-05,577.9022216796875,582.9769246374968,562.6780549115488,573.3966237265016,1029305
2016-05-06,575.1513671875,579.4673017296547,571.973758354524,572.9223052174667,480611
2016-05-09,592.3675537109375,594.0275108270209,576.3370875463045,576.3370875463045,831071
2016-05-10,584.6843872070312,597.300050582426,582.4552670459403,594.5492411563015,489148
2016-05-11,586.1071166992188,590.4229932504171,573.3965658613661,578.6135734912049,596245
2016-05-12,590.470458984375,595.8771880190775,585.3957561092204,588.0990916792168,553896
2016-05-13,581.3644409179688,590.4704683564246,573.9657284926741,588.0991010136277,604055
2016-05-16,582.123291015625,589.2373933388694,569.1281858595559,582.3130119898541,614425
2016-05-17,583.0718383789062,588.8105360111883,578.8982085219486,582.8821174045513,476143
2016-05-18,575.9576416015625,580.4158232416137,569.3652296131072,580.4158232416137,591095
2016-05-19,562.0140380859375,580.1312607127654,558.5518187440649,576.8113465637346,670612
2016-05-20,563.2471313476562,572.4480477537921,560.8757641241525,564.3853991938796,428904
2016-05-23,564.100830078125,571.5468997825574,562.2511521193732,566.4721972317284,300181
2016-05-24,556.1805419921875,566.2825912758498,550.1572913567719,563.4369501136596,438024
2016-05-25,568.1321411132812,573.7760063874042,561.6820341834426,565.3339163577374,416622
2016-05-26,587.624755859375,588.5258869186489,562.0139916814845,568.653819431308,1142048
2016-05-27,591.1344604492188,594.7389272170467,582.4078170833599,590.6601869825384,1056356
2016-05-30,589.2373046875,596.5411268861059,585.1110912239836,595.1183066355218,433466
2016-05-31,590.4230346679688,592.5572652117077,579.0878875345023,591.6087183033793,459448
2016-06-01,593.363525390625,607.9237556233875,588.0991014645218,591.0395738139601,985871
2016-06-02,600.76220703125,602.2799169371038,589.2373959532868,594.7389568620633,531306
2016-06-03,586.2493896484375,603.1335125923459,581.6489604222855,600.7621453840806,678087
2016-06-06,584.3523559570312,591.6087635182121,577.3331430357694,586.9608601542943,360929
2016-06-07,609.5363159179688,611.8128520135808,586.2020814641752,588.0043440310945,1207756
2016-06-08,622.294189453125,624.1438675087264,610.5322424922175,611.8127576643291,1388334
2016-06-09,612.4766845703125,627.653433475163,608.1133345233465,623.1952519054227,627487
2016-06-10,604.3666381835938,620.7764868258643,602.3272393334806,612.808670265776,557327
2016-06-13,597.9639892578125,602.3272818424097,587.2453629659526,602.3272818424097,414369
2016-06-14,597.9639892578125,608.9671101461843,595.1183485561947,597.5845473397135,614750
2016-06-15,604.6038818359375,606.832944131289,599.1497365780166,602.469651082838,366760
2016-06-16,589.474365234375,604.2242550141001,583.3562273684012,604.2242550141001,570165
2016-06-17,582.4551391601562,594.928552485318,581.4591766192755,592.8417379886578,545294
2016-06-20,590.9920043945312,592.36740867576,574.3924372979327,579.8465807725294,529116
2016-06-21,617.8834228515625,621.2981682520127,588.4784713770398,593.8851419453022,2130916
2016-06-22,603.9872436523438,622.9581818118206,601.2364344613361,621.9622191373898,2261103
2016-06-23,599.9085693359375,608.9671817218601,594.9286975227915,605.1729936737489,515083
2016-06-24,582.8346557617188,586.5814276051603,550.3469243543461,582.4077980766948,1613855
2016-06-27,604.7935180664062,608.3980428273644,578.5188136106688,578.61364514871,1196780
2016-06-28,606.738037109375,611.2436348054113,603.2758178271695,607.0700053606737,599524
2016-06-29,614.9904174804688,619.3537683689689,607.3546257939859,607.4495152297634,851882
2016-06-30,624.9976196289062,629.7403544632591,614.9429870432508,618.3577908608122,1526240
2016-07-01,629.9774780273438,637.7081009088052,626.040985039288,626.942116217908,593682
2016-07-04,645.29638671875,646.8140963596969,630.0722219156856,630.0722219156856,901124
2016-07-05,648.1895141601562,653.4539958781556,640.3165863087335,644.1107739860176,723518
2016-07-07,642.6405639648438,656.3944948541282,640.648638511177,647.8575722331931,951154
2016-07-08,637.802978515625,644.9170804864505,632.3013600090852,643.114818162624,502270
2016-07-11,653.6436157226562,656.6315614788169,643.114768772319,643.5890422006173,629774
2016-07-12,655.7778930664062,665.8799409697717,650.5134692146042,653.548830951813,839217
2016-07-13,640.1267700195312,658.1017430428101,635.7160622383478,656.3943704212326,521507
2016-07-14,648.4266357421875,651.8888550747128,637.6132358513634,638.3720617901515,476438
2016-07-15,643.6838989257812,652.6002628847054,640.7434267131083,648.4266333944202,414934
2016-07-18,630.9173583984375,651.4299541381486,628.3353431361355,647.4134924376539,601579
2016-07-19,630.0089111328125,637.6114894977932,620.6372053754296,630.6783311942926,739673
2016-07-20,647.939453125,651.3821596433775,632.1127388854622,633.0690365237156,708181
2016-07-21,639.5240478515625,654.633538916033,636.989835754087,650.5692739390324,516179
2016-07-22,671.0818481445312,678.875697016939,635.2206877520554,636.4160597651379,1329252
2016-07-25,668.7867431640625,674.1420450646351,662.1405211412573,671.129684097577,684925
2016-07-26,662.1882934570312,681.8401977205845,657.0720662094311,670.3646263704484,900949
2016-07-27,664.5790405273438,677.0109095468405,656.1636331723162,664.1486949261908,751533
2016-07-28,669.5519409179688,673.1380577370657,664.7225902406888,666.0614305335997,623278
