Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2016-04-20,222.21083068847656,224.87546025619122,220.30752592883223,220.78335211874332,2111521
2016-04-21,218.26144409179688,224.58992559352927,217.35736285921172,222.7817921704802,2990447
2016-04-22,218.97520446777344,222.11564550444774,216.31057506966195,218.40420726779882,7431640
2016-04-25,220.593017578125,222.40115123424027,219.11795353178755,219.83169279410606,1454607
2016-04-26,218.02354431152344,221.63981137783347,216.02506870451086,220.97365768251643,2703783
2016-04-27,229.58612060546875,230.29985984051166,216.6436433349326,218.88003207982513,7177265
2016-04-28,224.0665283203125,230.01435512070867,223.01971951607968,230.01435512070867,5899252
2016-04-29,226.68357849121094,228.49172660204835,221.49707627953308,224.58994630277036,2160232
2016-05-02,221.68739318847656,225.77950084992668,220.59299888740722,225.54158778264542,2312439
2016-05-03,224.11412048339844,230.72810117731606,221.25916353456535,223.87620740432902,5328996
2016-05-04,198.1815948486328,223.16246814888063,195.56455097908304,223.16246814888063,22904231
2016-05-05,188.4271697998047,200.51315202921597,187.19001881104796,199.5139141336408,17225029
2016-05-06,185.1439666748047,189.8546428796358,181.33735729375937,188.42716436174382,15642446
2016-05-09,187.2375946044922,188.80781512947226,184.95363483705535,186.66659740210196,9413270
2016-05-10,185.1439666748047,189.3312311855296,184.62055498069847,188.37957884026827,4925308
2016-05-11,183.66891479492188,186.00046029095563,180.14780378855832,182.52693480921792,7021749
2016-05-12,185.71495056152344,188.09408143994963,184.2399010337492,184.81088373193398,6098282
2016-05-13,179.4340362548828,190.56836477577187,170.72640937646185,185.19153532335682,15272242
2016-05-16,176.81700134277344,182.90757029218935,174.81852569193225,179.8622858174814,9997240
2016-05-17,174.39027404785156,178.29205406416781,173.86686240843437,177.57831487979735,7208437
2016-05-18,174.3426971435547,176.53150032129247,171.82082437596085,173.58137240507264,5909252
2016-05-19,163.25596618652344,175.57986141408546,161.49540350213056,175.57986141408546,13478073
2016-05-20,169.34649658203125,171.67804143697248,162.11394898055926,163.30351416380066,13115129
2016-05-23,172.34423828125,173.62896018064117,169.39411032668636,170.583675708194,10109957
2016-05-24,172.10633850097656,172.72490673872312,168.537642080755,172.20149502621138,3874787
2016-05-25,174.0096435546875,175.15162350689008,172.58216498416851,173.96205803145762,4249199
2016-05-26,175.86534118652344,178.43479939357874,172.6297147782165,175.10401647156527,5744871
2016-05-27,182.43174743652344,183.62131284041453,176.05567977587967,176.4363348967,8241406
2016-05-30,181.05184936523438,184.62054547624425,176.48391543892942,183.38339458688182,3672794
2016-05-31,182.86000061035156,185.28671710482118,177.5307559483074,181.05186688093826,6758009
2016-06-01,192.51927185058594,193.47092419337574,183.19307598703358,183.52616011543495,10935767
2016-06-02,195.27903747558594,196.51618829643425,190.99660237953773,193.61364604934496,6232617
2016-06-03,194.66050720214844,196.27831342678678,192.32896165595812,196.27831342678678,3927140
2016-06-06,193.85157775878906,194.66048805206202,186.52385768261314,191.28211935819002,5811557
2016-06-07,196.5161895751953,197.61058385399357,192.42408199702024,194.75562710471715,3666830
2016-06-08,193.56605529785156,197.80091928403584,191.94824943175556,196.99200909045763,2752494
2016-06-09,192.13861083984375,195.89764937972865,191.28212950124842,194.56532732728115,2365078
2016-06-10,192.94747924804688,195.75485027124176,191.7579140245694,193.1378067795913,1978971
