Price,Close,High,Low,Open,Volume
Ticker,AJANTPHARM.NS,AJANTPHARM.NS,AJANTPHARM.NS,AJANTPHARM.NS,AJANTPHARM.NS
Date,,,,,
2016-04-20,911.6008911132812,924.7423658628786,905.5472537170265,916.6202171505031,200196
2016-04-21,898.88525390625,918.0499533980113,888.2685927971853,912.6047377029208,113322
2016-04-22,911.5703735351562,915.6466818875639,884.496471685596,898.6114315712263,166224
2016-04-25,903.4786987304688,912.1484438192964,900.4367014768185,907.5245946255145,108490
2016-04-26,938.8268432617188,942.416436679222,894.9306342284743,894.9610469589994,382825
2016-04-27,932.3169555664062,942.8423225305978,923.3126150291746,942.8423225305978,139815
2016-04-28,936.3931884765625,951.5424032586933,923.6471362120262,928.4231042202338,275626
2016-04-29,921.426513671875,950.325679493722,896.0865282660134,941.1996329921878,689376
2016-05-02,915.70751953125,919.7533592610574,887.0517115087096,915.9508770555775,193024
2016-05-03,906.8857421875,924.7727725779407,901.6534713663082,915.0383592788177,179932
2016-05-04,898.3679809570312,916.2245959200193,894.3524984793913,905.3037535628125,100108
2016-05-05,923.5254516601562,929.4573816191637,900.4365661906744,900.4365661906744,170662
2016-05-06,938.5835571289062,942.9031675532622,920.5139945177864,925.9896229272756,224044
2016-05-09,939.58740234375,948.9872756970292,932.3778583409592,948.9872756970292,104670
2016-05-10,940.5304565429688,953.7328130159307,933.8988655741919,939.3745499118252,161497
2016-05-11,941.9296875,947.8920306923943,930.8567803429733,934.5071990894163,85356
2016-05-12,932.1344604492188,942.9640659017232,930.2483698933859,941.8080479638078,61707
2016-05-13,934.5984497070312,938.6747581215666,924.3468532110352,933.1078917395944,108543
2016-05-16,968.9122924804688,973.0190133212766,924.7726744741639,936.1498753386819,240475
2016-05-17,964.4404907226562,982.1753418185485,961.8851535339054,979.5288778610994,197280
2016-05-18,959.3299560546875,967.117508247297,950.3560846674698,959.4517183684923,69547
2016-05-19,960.0601806640625,965.2923958207916,949.7172898727367,958.2349711951194,88198
2016-05-20,954.7973022460938,961.7331863389712,943.3897447274514,955.1927790936638,172353
2016-05-23,904.8779296875,962.4024357779211,896.8470198501444,962.4024357779211,307186
2016-05-24,890.6718139648438,912.6047404672776,879.2034292465644,899.8282741007357,320208
2016-05-25,897.8508911132812,905.1213158673205,880.5418148195338,905.1213158673205,262368
2016-05-26,913.5172729492188,920.4530461477665,891.4018161078128,900.0715604564816,278620
2016-05-27,930.978515625,941.1996995699285,919.6013694215055,919.6013694215055,127356
2016-05-30,936.2715454101562,946.0667833322368,927.2367370950919,927.2367370950919,105457
2016-05-31,924.01220703125,941.321282632557,922.0348783916014,929.6399542665777,91620
2016-06-01,930.765625,944.7284111067764,916.5897826653802,930.8264504642627,88923
2016-06-02,948.865478515625,956.2880784664342,934.2334462287971,938.7660013159002,170067
2016-06-03,942.659912109375,955.1929657649302,938.7660797278152,946.0973306990643,99750
2016-06-06,943.6941528320312,952.4247235669163,930.978567282256,939.98290830655,115558
2016-06-07,963.2847900390625,967.9694650249128,937.4580293458828,943.0250078104721,200653
