Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2016-04-20,1344.827880859375,1349.726382143717,1322.8570327651892,1327.4646007986519,309626
2016-04-21,1334.9820556640625,1359.426366376552,1325.2333654957831,1359.426366376552,311154
2016-04-22,1317.61865234375,1348.319622833417,1315.3391428504415,1328.9193404904902,193174
2016-04-25,1285.4144287109375,1327.949530607577,1280.4673796346367,1315.3393451452698,235523
2016-04-26,1286.2872314453125,1289.9732139414643,1266.0139132817474,1279.4485847466474,239769
2016-04-27,1277.3148193359375,1298.8490884496164,1270.7672231096233,1290.0219824042774,231338
2016-04-28,1273.7742919921875,1285.26893767735,1256.1685088997497,1285.26893767735,409825
2016-04-29,1272.80419921875,1284.541347753349,1257.3324011600118,1274.6956796086865,181374
2016-05-02,1267.371826171875,1275.9078782390964,1254.276637305083,1263.9282291429395,138461
2016-05-03,1255.1986083984375,1284.2990398141662,1251.36709895935,1274.5988960089232,271266
2016-05-04,1267.4691162109375,1270.7186401966278,1241.6182133218958,1246.4682844676845,214814
2016-05-05,1262.7646484375,1274.162316330121,1253.5979423629983,1272.6587468186049,115007
2016-05-06,1292.6409912109375,1296.8605295991752,1249.7664078843352,1257.7690256037308,214154
2016-05-09,1296.423828125,1304.6689478699027,1288.1787083800973,1301.8558833337747,240658
2016-05-10,1261.9884033203125,1304.6690257231517,1257.138332592717,1302.7289974321134,395379
2016-05-11,1280.7098388671875,1283.231852190356,1251.3183602508086,1255.149869106205,270580
2016-05-12,1282.9407958984375,1288.7608812738213,1270.8156180330545,1285.268853730579,149049
2016-05-13,1283.8623046875,1292.058877076754,1272.125038478601,1292.058877076754,110336
2016-05-16,1303.5533447265625,1305.9783798279661,1285.9475662083883,1290.1186739467694,259988
2016-05-17,1298.0245361328125,1323.0993797279268,1292.8834134663757,1306.6091381917283,215961
2016-05-18,1316.1634521484375,1317.6670211894752,1288.1785723571486,1294.9686702536096,149865
2016-05-19,1281.3887939453125,1323.972442195203,1271.6886516747197,1318.2493345735652,102928
2016-05-20,1289.3431396484375,1302.7293862155318,1273.192494033529,1278.0425662085684,175391
2016-05-23,1317.861083984375,1322.42022113222,1294.8232499588516,1294.9687757504705,192837
2016-05-24,1319.80126953125,1328.870878431612,1300.7890152866019,1328.870878431612,152475
2016-05-25,1299.7222900390625,1328.8227214076064,1282.8440161633152,1326.8826926497036,362778
2016-05-26,1305.5421142578125,1316.1152925480737,1297.248445618541,1308.5491345469861,168898
2016-05-27,1307.77294921875,1316.6971498957387,1295.938824680695,1299.3338739968494,112823
