Price,Close,High,Low,Open,Volume
Ticker,BAYERCROP.NS,BAYERCROP.NS,BAYERCROP.NS,BAYERCROP.NS,BAYERCROP.NS
Date,,,,,
2016-04-20,3149.036376953125,3175.6696181340108,3124.8589042438666,3175.6696181340108,6401
2016-04-21,3162.205322265625,3199.3817506440396,3123.1656687070454,3170.250353136752,3130
2016-04-22,3142.77001953125,3175.670043885646,3125.8331126305266,3166.3123614731257,30971
2016-04-25,3111.14013671875,3158.775182274986,3088.1905476265915,3158.732798662403,2452
2016-04-26,3225.46435546875,3268.822792611554,3086.7510567536565,3088.2330359990115,10584
2016-04-27,3298.081298828125,3366.209959681112,3201.0751314703407,3208.4426439944928,9840
2016-04-28,3345.37744140625,3403.1324536931265,3229.867830331161,3260.311876160216,14067
2016-04-29,3384.247314453125,3387.3806001584107,3287.8339114213945,3294.2700172614173,15252
2016-05-02,3326.281005859375,3386.5339592182577,3302.6962843088786,3386.5339592182577,4860
2016-05-03,3288.596435546875,3375.9060528233395,3277.29096927098,3325.561146337762,4508
2016-05-04,3298.250732421875,3344.107322720571,3264.5886317443556,3288.342683761002,4348
2016-05-05,3317.685791015625,3336.5280989437797,3277.2913115487295,3315.23002234495,47974
2016-05-06,3271.8291015625,3341.651453093412,3260.3543067434452,3341.609069479821,3388
2016-05-09,3295.625244140625,3319.6333897483582,3253.579460054386,3296.133433991849,5257
2016-05-10,3290.841064453125,3325.01135738207,3258.9574193925323,3275.597847994001,15931
2016-05-11,3352.533203125,3377.2186580082575,3270.8972017855417,3302.6962803992487,7795
2016-05-12,3442.002685546875,3530.244130275657,3363.669496123063,3387.254220179049,36813
2016-05-13,3455.46728515625,3514.449974285547,3409.3989861259147,3470.2023098481204,14885
2016-05-16,3344.996826171875,3387.25453416289,3268.8231265291815,3387.25453416289,17457
2016-05-17,3345.20849609375,3383.1048259126455,3309.556430526033,3345.0391683718044,7949
2016-05-18,3376.203125,3400.9309681797226,3312.8590506770606,3312.8590506770606,4552
2016-05-19,3378.193115234375,3466.9849347210006,3347.07154797717,3392.674253719103,4335
2016-05-20,3311.164794921875,3385.6871739380194,3279.8315219264505,3378.234894686541,2440
2016-05-23,3312.138671875,3396.69625163935,3285.801909007123,3396.69625163935,3828
2016-05-24,3264.376708984375,3366.2098497212246,3235.79568195844,3312.900982884939,4576
2016-05-25,3267.4677734375,3285.759714340782,3243.8408726243206,3273.9462639341923,3033
2016-05-26,3272.591552734375,3367.9040405938877,3247.6519979073573,3291.814901306928,4716
2016-05-27,3307.0576171875,3345.03870902643,3263.656798494436,3328.1018041705997,4973
2016-05-30,3375.059326171875,3386.280025621037,3302.6540580282253,3306.930667847394,2233
2016-05-31,3351.983154296875,3378.912877224625,3307.777869283054,3370.402040281746,11532
2016-06-01,3342.201416015625,3366.97163730138,3328.101526598842,3351.8131914193937,1373
2016-06-02,3339.872802734375,3366.209771951764,3319.421573234699,3360.705277985051,1603
2016-06-03,3331.8701171875,3364.6853692921964,3284.065746116458,3312.0116382314254,27671
2016-06-06,3334.15673828125,3353.5072352043208,3315.3991984406352,3331.4892584075246,1376
2016-06-07,3330.30419921875,3359.5625414797755,3289.1474313583435,3334.072619781737,56869
2016-06-08,3328.99072265625,3345.0383971611236,3295.0745324946665,3329.7528006039815,3914
2016-06-09,3341.6943359375,3369.3437555801684,3306.9312908768725,3345.886179322541,4513
2016-06-10,3355.962890625,3386.534086231193,3323.020693766242,3334.4954880214414,9620
2016-06-13,3336.401123046875,3352.618127690278,3315.399318453674,3345.0389036761203,2537
2016-06-14,3302.0615234375,3361.975828184106,3289.9939779585015,3317.0930274551997,4964
2016-06-15,3391.700439453125,3470.3722908230416,3282.6267155610362,3319.7185837381526,32088
2016-06-16,3362.7802734375,3412.532434379783,3345.928134813807,3412.532434379783,4922
2016-06-17,3326.91650390625,3395.0451664422612,3309.5137917688767,3395.0451664422612,4700
2016-06-20,3311.20703125,3335.680774206754,3295.159356468711,3328.143934818497,2709
2016-06-21,3338.052490234375,3370.401939625155,3312.01199703346,3333.352457428731,4305
2016-06-22,3332.548095703125,3357.7417443524273,3315.526421815117,3340.847221313941,3881
2016-06-23,3319.3369140625,3328.1442287455284,3302.696487536567,3323.910002479456,4032
2016-06-24,3341.6943359375,3395.299691170217,3218.224235122877,3294.2286098619807,7570
