Price,Close,High,Low,Open,Volume
Ticker,BBTC.NS,BBTC.NS,BBTC.NS,BBTC.NS,BBTC.NS
Date,,,,,
2016-04-20,400.1671142578125,404.87782529319264,394.3394378365822,401.6240333631201,27118
2016-04-21,390.5999755859375,405.02347952605516,388.51173096024473,403.032368761321,29149
2016-04-22,389.9200439453125,397.30174210035904,388.99731685538734,394.24221857016363,11889
2016-04-25,385.7921447753906,394.3393906472692,383.6553184868752,394.3393906472692,9591
2016-04-26,388.56024169921875,395.7962837743513,378.7988973545939,388.5116895944553,17948
2016-04-27,393.75665283203125,400.0214166593708,387.5404707581149,388.5117501334485,30368
2016-04-28,393.950927734375,411.72532877007876,392.05692106156135,392.3968747773349,51264
2016-04-29,391.61981201171875,400.16705769835403,387.58897934387477,392.68819549172997,15608
2016-05-02,392.056884765625,404.6835157058454,388.02608158600384,389.48300054064464,48272
2016-05-03,391.6683044433594,403.08083408306044,388.60878114901845,392.8824033411999,30882
2016-05-04,381.56707763671875,394.82503410845214,379.09029764547927,387.54043938320393,19717
2016-05-05,377.00201416015625,387.2975795703701,375.10803751180083,383.6552825838149,22445
2016-05-06,379.9644775390625,385.16079812936374,373.9425339667967,378.79893051182,9004
2016-05-09,386.0350036621094,389.4830336245422,379.77023976856856,381.2271588469646,26709
2016-05-10,384.48089599609375,390.93989706282673,383.46103500171046,390.40570533321426,12341
2016-05-11,385.2579040527344,392.20254468033085,376.85634456727473,376.85634456727473,21751
2016-05-12,403.0809020996094,405.8004722332425,385.59787502059015,385.59787502059015,80274
2016-05-13,403.17803955078125,407.35452864490355,396.5733225884982,402.1096264026525,32739
2016-05-16,403.9065246582031,407.25742063961275,396.5247956511149,406.91749657911856,13411
2016-05-17,410.1712341308594,424.83755740316525,402.1096278445195,404.53782608029553,136807
2016-05-18,405.8975524902344,413.9106055099813,402.6923431387706,412.69650656759535,17428
2016-05-19,402.0610656738281,409.8798519409091,398.2245007008832,407.4516537659037,23538
2016-05-20,396.2334289550781,406.9660540858693,388.0746585731784,402.06110514723855,37018
2016-05-23,354.8569030761719,391.9597550631104,345.3383480202699,391.9597550631104,78345
2016-05-24,346.2125244140625,364.2297438886508,342.66733119400567,350.6318334501412,58701
2016-05-25,356.7994384765625,363.25843956194586,351.74877451926506,352.62291991619605,29942
2016-05-26,356.3138122558594,360.7331211539294,354.5169396472373,359.08196415118624,16230
2016-05-27,365.395263671875,368.7947410279463,352.574365786827,358.4020412543779,39887
2016-05-30,364.4725036621094,376.8563129137866,356.2651829290725,359.421840189304,37532
2016-05-31,364.56964111328125,369.0375312078803,363.35554215502543,366.1722458099614,14244
2016-06-01,370.15447998046875,376.7591661653758,365.2009505212452,368.06623579267364,18745
2016-06-02,369.7174377441406,374.42814799867136,365.78376866829495,369.1832460171804,27847
2016-06-03,369.6688537597656,373.74820844198774,369.0860803362803,372.24273760231426,5877
2016-06-06,369.76605224609375,372.97126217396413,367.14358620249595,371.32007545894436,21087
2016-06-07,371.9999694824219,376.8563659508608,367.5320788032397,369.0861316013585,13404
2016-06-08,384.2865905761719,388.22028892658386,369.0860777749727,372.9226422819633,46218
2016-06-09,385.3550720214844,396.23341231305847,381.08144892161334,389.96864881317197,28201
2016-06-10,387.8803405761719,401.72106868117584,383.7038223808864,383.7038223808864,45809
2016-06-13,400.944091796875,411.7252981867015,379.2360226884033,381.7127731001735,117347
2016-06-14,392.20257568359375,405.3148464408756,390.4542847723931,401.13835724128944,34418
2016-06-15,396.3790588378906,403.08087958224496,391.4255288473367,391.4255288473367,29267
2016-06-16,392.6396484375,396.4762134450265,385.2093678832275,393.9022996434475,31810
2016-06-17,394.53363037109375,400.5069916360446,393.36808345257623,396.7190086124969,15139
2016-06-20,392.4939880371094,399.8757169646538,386.7634458474303,392.9310459563609,16153
2016-06-21,386.0350036621094,397.73890840211976,385.2094102561327,388.8517079521228,14403
2016-06-22,392.056884765625,399.58429936460254,385.20937753525,388.5117212375508,79399
2016-06-23,385.2093811035156,393.4166735060293,382.68404896386056,390.6971032886114,10106
2016-06-24,376.3707275390625,378.79892578125003,365.6866552734375,377.827646484375,27953
2016-06-27,384.869384765625,387.49185047409134,373.214034312155,376.37069172663644,11825
2016-06-28,390.4542541503906,404.0521634989117,384.1409390957201,384.1409390957201,67146
2016-06-29,388.9973449707031,398.12736411795214,387.54042607568175,392.83390991736235,23379
2016-06-30,393.0281982421875,399.0986944143487,390.3571799264366,392.2026048345546,18287
2016-07-01,410.85113525390625,415.46471183181654,388.6573977877406,392.3968289422651,173649
2016-07-04,403.0323486328125,414.34774630369,400.74983639919725,413.76497280813635,46779
2016-07-05,395.0678405761719,408.6171981634935,393.9508753509479,404.6834993601949,27406
2016-07-07,400.7498474121094,409.1999595860335,393.6594906966921,399.09866073618,66833
2016-07-08,392.88250732421875,404.5378598282747,390.64857661737904,404.5378598282747,22234
2016-07-11,399.0015563964844,404.0522210156173,397.2532653735276,398.1759926385346,21275
2016-07-12,401.2354736328125,409.6855855238537,399.1957812311505,402.06106694313894,32720
2016-07-13,394.2422180175781,404.0521437828309,393.36807267318875,401.81821349815937,15785
2016-07-14,396.4762268066406,400.74984984897804,394.24226660555837,394.24226660555837,18874
2016-07-15,393.1738586425781,399.8757096935036,390.0657825892968,397.8845692939197,12323
2016-07-18,383.2182312011719,395.11640247846424,381.2271205173269,393.1738439025798,13460
2016-07-19,388.2203063964844,395.94195821801924,379.3816597869696,379.77016553705056,36102
2016-07-20,390.5999755859375,393.85376726094813,387.5404516328441,390.454289615046,13804
2016-07-21,389.38580322265625,396.03907129276314,388.51165792055247,392.1054026127524,15860
2016-07-22,391.61981201171875,395.31066136706335,387.58897934387477,389.48298576951447,18847
2016-07-25,394.2422180175781,401.81821349815937,387.54039752247485,392.8338809741421,33040
2016-07-26,388.60882568359375,397.2532048986471,386.56913337325557,394.3393672099039,16241
2016-07-27,390.4542541503906,395.213516494155,386.3748694893983,391.4255333895707,21323
2016-07-28,403.0149841308594,408.95456832815063,392.59639748102745,393.5213959375273,58577
2016-07-29,397.41619873046875,406.52031226552435,396.2964481247148,405.44923484110484,26419
2016-08-01,396.6372375488281,408.95455326978595,393.76480677676415,397.41618671667294,30325
2016-08-02,389.9187927246094,401.7492604666837,388.6529628963754,394.3977960267847,26137
2016-08-03,387.4844970703125,391.23322381459985,385.5370942047047,387.0463195395469,10097
2016-08-04,389.1884460449219,393.1805978547313,385.73178838288226,388.5068432059261,9233
2016-08-05,393.66748046875,401.0676173588114,389.7240015211235,389.7240015211235,22355
2016-08-08,472.3912048339844,472.3912048339844,384.6120339212808,388.1173647304002,1242931
2016-08-09,470.346435546875,503.74438069833747,462.55682457603757,490.74549116275864,1070616
2016-08-10,437.3379211425781,467.37661137944554,434.46552021414476,466.59766224648166,328109
2016-08-11,474.3385925292969,497.56137497556057,433.8326116372089,437.3379423354196,1289886
2016-08-12,459.9765625,477.0650409051592,456.3251820350101,466.4029980613844,208609
2016-08-16,478.2821044921875,497.51270573195166,460.0738777614462,462.31337893121366,311976
2016-08-17,489.0902404785156,497.56145522251586,475.7505480598735,479.79140325028317,240230
2016-08-18,490.8915100097656,500.1903753590487,486.85065551201706,490.063857952394,163130
2016-08-19,480.4242248535156,498.92457962959554,476.18861817284755,492.6928674159658,97158
2016-08-22,484.17303466796875,493.7152967683825,474.1925950393178,474.1925950393178,85488
2016-08-23,480.22955322265625,492.0113166570023,474.6794432311803,486.1691081249262,51428
2016-08-24,494.7377014160156,514.1143538865406,480.86245606964593,482.7124828394933,522270
2016-08-25,488.70074462890625,504.47469005804936,485.000691059295,497.8048589955929,192335
2016-08-26,479.158447265625,492.0599903412697,475.653116411505,487.824383464,55456
2016-08-29,470.3951416015625,483.92958481122906,466.50033609000326,478.0873765438903,54096
2016-08-30,478.3794860839844,486.8507001526438,469.9083017303335,473.5596819814783,74301
2016-08-31,488.8955078125,496.1008926558638,477.3084664098597,481.0085200628002,118640
2016-09-01,480.3268737792969,495.3218986444423,475.5070698283638,491.71919169060703,56925
2016-09-02,484.9032897949219,490.4533995761682,475.1662759436182,481.98218563953077,63387
2016-09-06,496.0035095214844,504.3773478810443,481.9822146739709,481.9822146739709,173512
2016-09-07,571.7088012695312,582.2734376965334,493.66661022097395,497.0745651238801,1067882
2016-09-08,566.402099609375,591.8156816300111,554.6690099704226,568.4468487172367,376702
2016-09-09,548.2426147460938,573.3641014252399,545.2728370730398,566.6942699580521,133881
2016-09-12,520.2484741210938,543.325201557099,515.0391971254753,540.4040983229211,121450
2016-09-14,567.4244995117188,597.5605701877485,518.0578258921345,523.2671641196652,801728
2016-09-15,545.0780639648438,576.090491040951,540.4043088553422,570.5890540346496,220349
2016-09-16,536.7042846679688,561.8257717619615,529.4988697156498,549.1676521208775,154602
2016-09-19,556.1781616210938,580.8127911711879,540.6962880928093,541.3778908485842,375884
2016-09-20,546.976806640625,560.7547063609469,540.4529948356314,558.6125512179609,103168
2016-09-21,562.2151489257812,570.5889562523613,539.4305149553039,544.4451003735533,238280
2016-09-22,562.361328125,570.491771867324,550.6282361288609,558.125750080635,240307
2016-09-23,592.1565551757812,618.8846121899069,568.6903147873068,568.6903147873068,1236092
2016-09-26,592.05908203125,607.5896301362809,574.9706355696696,592.9841101810819,345930
2016-09-27,591.3776245117188,609.4885093639023,587.1420464560616,598.7291189060612,192225
2016-09-28,598.1934204101562,603.5975106256283,585.7300546034245,592.9841417871523,154446
