Price,Close,High,Low,Open,Volume
Ticker,BERGEPAINT.NS,BERGEPAINT.NS,BERGEPAINT.NS,BERGEPAINT.NS,BERGEPAINT.NS
Date,,,,,
2016-04-20,141.7483673095703,144.686749784848,141.40931983500116,143.78262318599695,225098
2016-04-21,142.39822387695312,143.52836782111166,141.83314466212565,141.83314466212565,792865
2016-04-22,143.50010681152344,145.39308577892712,140.8725104525103,140.8725104525103,659867
2016-04-25,145.5908966064453,147.59690624762894,141.26809097437993,144.09345829835658,573562
2016-04-26,148.61399841308594,149.17906304964453,144.46071756522826,144.65848801519968,1067945
2016-04-27,148.75527954101562,149.17908169277123,146.91879389307735,148.89655658193138,221518
2016-04-28,149.15081787109375,149.74414371260747,147.20131660819231,149.17906458474002,438663
2016-04-29,145.50607299804688,149.32032035447833,144.65846891239192,148.61397878793517,97865
2016-05-02,143.47183227539062,146.2124297258849,140.98551317986144,145.36482555233883,213040
2016-05-03,149.03781127929688,150.81778891411824,143.2740762454222,144.48897471736612,2029898
2016-05-04,150.6482696533203,152.54126317711263,146.07118623963422,149.17907827156432,500991
2016-05-05,145.9016571044922,151.7219000133839,144.0934327670964,151.32634460217452,220647
2016-05-06,150.78953552246094,151.41112263381748,143.55662326151,146.77753120023377,646895
2016-05-09,156.89230346679688,157.59864514713092,150.53524282928493,151.580631992698,2497427
2016-05-10,157.5986785888672,158.78533054595152,152.25874478198767,155.4231596578776,654155
2016-05-11,153.2758331298828,157.0618197206232,150.7612672973282,155.33835015871068,517021
2016-05-12,158.6157684326172,159.23735546659543,153.6713913016041,153.69963801494703,544091
2016-05-13,163.07986450195312,163.8709608571395,155.2818588424912,156.52501853521,1016739
2016-05-16,163.92747497558594,167.26139875952128,161.72369509273878,162.17574396187655,2287296
2016-05-17,166.41375732421875,168.56102880862946,164.43599507447826,165.6226466301255,699636
2016-05-18,167.17660522460938,170.5952828493324,163.87092892675574,165.56613714119888,1692979
2016-05-19,160.59353637695312,167.57216961461,159.66116303678032,166.47028701758262,196776
2016-05-20,158.41799926757812,162.17572475878544,155.56438589308704,162.06270893350913,267140
2016-05-23,156.8358154296875,160.5087868387243,156.01647230331466,159.29388826529487,127360
2016-05-24,154.9710693359375,158.2767462095446,152.7672895820311,157.0900944585569,140095
2016-05-25,161.3846435546875,162.59954206174348,155.95995586175908,158.0789665700539,586320
2016-05-26,160.39576721191406,164.2382622933053,159.18086866715208,162.5713003911458,695478
2016-05-27,163.503662109375,164.32301964321002,160.48052483710103,160.48052483710103,348895
2016-05-30,166.61155700683594,169.23913891695054,163.503665048012,165.59442899277528,2437105
2016-05-31,159.80242919921875,167.17663248822748,159.0678407845604,167.17663248822748,737424
2016-06-01,161.017333984375,163.75793152859308,157.9941968774813,159.3503722928301,260092
2016-06-02,161.07383728027344,162.11921190396987,158.84179652735122,160.4805114584074,163961
2016-06-03,160.93255615234375,162.79730267946326,160.28272243614956,161.58238986853792,150732
2016-06-06,160.36753845214844,162.71258116749695,159.23739441760148,162.71258116749695,114990
2016-06-07,160.50875854492188,162.6842913919951,159.85892481062695,161.32811601235815,247625
2016-06-08,160.70657348632812,163.588434031402,159.49166041469186,161.04560653042736,451229
2016-06-09,160.02847290039062,161.27163264714451,157.31612172829196,161.27163264714451,247843
2016-06-10,160.81956481933594,161.75193822485627,159.35038792032879,160.93258065548963,139525
2016-06-13,162.54302978515625,163.19284903766754,159.46338482923986,161.045577376605,168216
2016-06-14,165.7639617919922,166.5268114655565,162.2040063056893,162.2040063056893,416964
2016-06-15,165.50967407226562,168.10899477678402,165.02934953889778,168.10899477678402,232182
2016-06-16,164.94461059570312,166.69634168967605,162.74083061187977,166.69634168967605,223154
2016-06-17,164.40777587890625,166.0747376779155,162.76906079523852,165.56616643231325,247621
2016-06-20,164.29473876953125,165.5096515672738,162.43000674813888,164.1817229518113,110454
2016-06-21,164.49253845214844,165.62268234477744,163.30588664061318,163.30588664061318,230427
2016-06-22,161.0455780029297,166.07472419242038,160.76305293047602,166.07472419242038,271783
2016-06-23,160.98907470703125,162.7408055310357,160.0284546679617,161.04558262024088,239697
2016-06-24,157.99420166015625,160.22622805912437,153.69964363396792,158.220233317139,533173
2016-06-27,154.85806274414062,158.3615102901284,154.26473683324352,155.73392825201154,348588
2016-06-28,155.76219177246094,157.11836749874257,154.88632617010234,155.5644212759919,458038
2016-06-29,156.72280883789062,158.1637536658973,155.81869653389427,157.0618563839507,288276
2016-06-30,156.07296752929688,159.18087424940302,155.5644107198862,158.22025406674157,533527
2016-07-01,156.1859588623047,159.91543764986608,155.6491409335606,156.24246677509322,701465
2016-07-04,157.96595764160156,158.72880732414308,157.09010660377254,157.6551713221946,328431
