Price,Close,High,Low,Open,Volume
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS
Date,,,,,
2016-04-20,18017.501953125,18297.79582557235,17953.952290299105,18101.152084160203,12408
2016-04-21,17841.5390625,18198.63431702125,17685.68434051008,18016.54881838148,10187
2016-04-22,17837.173828125,18076.138241617515,17801.25284523614,17835.371000772247,8063
2016-04-25,17888.6875,18117.51097801464,17712.776293247807,17866.016597057078,7489
2016-04-26,18353.724609375,18388.833958217943,17847.9859006233,17893.05657208952,16945
2016-04-27,18233.25390625,18351.067960196437,18136.756875603474,18317.62586756497,8928
2016-04-28,17982.208984375,18325.737333579928,17890.534170685944,18163.48289580106,13957
2016-04-29,17725.39453125,18118.185452069374,17618.036538741373,17981.395957555687,10962
2016-05-02,17671.71484375,17892.878050152234,17577.65269896054,17721.789066934944,7944
2016-05-03,17520.14453125,17941.68916091107,17442.35183923124,17663.198154508325,16606
2016-05-04,17383.62109375,17609.02020878033,17353.244167729245,17489.222021050973,9087
2016-05-05,17211.994140625,17554.1263355945,17160.56955727264,17554.1263355945,7940
2016-05-06,17242.19140625,17373.797775365874,17094.405369270058,17216.99760351498,6241
2016-05-09,18002.12890625,18073.340572345525,17173.053844334052,17307.139101697463,15229
2016-05-10,17754.9609375,18073.339460068568,17730.8023530947,18028.26878809832,10914
2016-05-11,18069.822265625,18118.408798547647,17375.689954042347,17666.39576685487,20076
2016-05-12,18862.3046875,18956.231279166142,17979.595431207512,18010.243493207967,29685
2016-05-13,18637.76171875,19006.078935157875,18479.87878678531,18794.472108895847,22362
2016-05-16,19257.4375,19301.066266428832,18605.175029847334,18614.278954273446,20703
2016-05-17,19473.5078125,19695.885828355586,19019.825674064203,19173.065975703583,28245
2016-05-18,18977.328125,19362.367360638807,18830.53324784659,19267.80870609711,20061
2016-05-19,18918.955078125,19211.28416110348,18821.512637323216,19022.527834551332,22700
2016-05-20,18974.349609375,19155.037244708124,18875.599054314738,18893.6273246627,10185
2016-05-23,18981.333984375,19284.839186193774,18809.25380611078,19032.44342232847,11884
2016-05-24,19129.482421875,19245.178494103115,18501.332767731303,18974.75444032181,17793
2016-05-25,19736.314453125,19961.352701874184,19109.96758923131,19290.250302337263,87836
2016-05-26,19666.45703125,20017.69321720466,19543.86477306385,20011.38332156273,21427
2016-05-27,19783.32421875,19920.339085531337,19519.43538815634,19666.50136866165,18004
2016-05-30,20026.88671875,20191.576049592186,19660.733196919686,19660.733196919686,15763
2016-05-31,20144.3828125,20318.806314760892,19740.95451944975,20029.406822930297,30374
2016-06-01,20071.59765625,20268.781887179208,19926.920769099655,20101.56965935124,18590
2016-06-02,19898.205078125,20056.403135825338,19842.813926823274,20011.33246411584,18902
2016-06-03,20073.890625,20236.05525163466,19898.701278654527,19898.701278654527,32609
2016-06-06,20003.896484375,20137.57680544615,19933.49644488241,20073.576449439584,9876
2016-06-07,20154.033203125,20236.737911516164,20020.398619811756,20020.398619811756,21566
2016-06-08,20051.5390625,20178.14188868236,19993.35211485257,20033.915723742033,10531
2016-06-09,19725.828125,20171.70336962668,19655.24817760095,20074.56580830622,14763
2016-06-10,19447.900390625,19816.681394465024,19364.24574618957,19658.328917568615,12332
2016-06-13,19543.36328125,19635.433930816158,19184.22129645965,19319.001162038858,14930
2016-06-14,19745.28125,19843.82206048242,19364.240405577923,19545.440832737593,10166
2016-06-15,19799.982421875,19906.665307992324,19585.798377553143,19727.094349692066,7062
2016-06-16,19753.38671875,19807.633047048643,19558.793435904816,19684.570548446605,8273
2016-06-17,19975.57421875,20052.262052602546,19736.14565378011,19736.14565378011,10205
2016-06-20,19989.64453125,20138.812185910487,19744.288367027628,19771.43450135443,8961
