Price,Close,High,Low,Open,Volume
Ticker,CHENNPETRO.NS,CHENNPETRO.NS,CHENNPETRO.NS,CHENNPETRO.NS,CHENNPETRO.NS
Date,,,,,
2016-04-20,163.51129150390625,165.3195387181552,160.20259008054785,163.01114401457062,888265
2016-04-21,170.47496032714844,172.24473204278743,164.08839895737464,164.97327894464252,1987483
2016-04-22,169.397705078125,171.4752698486654,167.0123707632542,170.8212199407392,426824
2016-04-25,171.66763305664062,175.63037280688255,169.28228704277836,171.05205875553716,1020594
2016-04-26,167.82029724121094,172.24472035965397,167.35861361067154,171.5906705065736,426323
2016-04-27,173.01419067382812,175.01479240631213,167.0893014409375,167.358618857379,887238
2016-04-28,168.35891723632812,173.8221108118933,167.4740255841653,172.59097405481347,500125
2016-04-29,164.47314453125,170.35954711276884,163.54978887508486,168.35894514792844,374873
2016-05-02,163.3189239501953,164.93480492600222,161.587627936589,164.2807550688655,246250
2016-05-03,161.78001403808594,166.74306087200856,160.895133996626,164.1268846042195,398381
2016-05-04,156.85545349121094,161.58765880255822,155.27804780706026,161.16445068128297,529727
2016-05-05,155.85513305664062,157.74031989743804,154.2777275094455,157.50947805668446,267405
2016-05-06,157.85569763183594,160.51036056131215,154.97020465727567,155.04715583303766,335484
2016-05-09,159.81788635253906,160.43346073234696,155.97056115512066,159.20231197273117,203831
2016-05-10,157.24017333984375,159.35620203458,156.9708559004358,159.35620203458,146910
2016-05-11,152.58489990234375,155.62428406616942,151.4307024927059,155.43191783122978,452098
2016-05-12,153.777587890625,156.47071544218687,152.3540729169291,152.7388054242951,317093
2016-05-13,152.89268493652344,156.43222844277773,152.20017117017534,153.70062549133186,273754
2016-05-16,152.31558227539062,154.97023396582347,148.92994124137527,153.1235228092884,278573
2016-05-17,155.5858154296875,156.6630734381928,153.0850542636232,153.43131115378057,434066
2016-05-18,157.0093231201172,159.1638272971117,155.81665011668244,156.58611505553026,467081
2016-05-19,157.47097778320312,163.12654916044224,156.97083032419914,159.39463991952908,841898
2016-05-20,157.54794311523438,160.0102285226609,156.8169537859972,158.50977426978403,264784
2016-05-23,156.5091552734375,161.8569456977387,154.85481044217332,160.04869849427106,671582
2016-05-24,151.54612731933594,169.28229767383846,149.39162300072084,168.82061398374094,3193309
2016-05-25,150.8151397705078,155.04719726406796,149.27620977284957,153.81604856949974,688040
2016-05-26,147.77574157714844,151.58459061754118,145.69818862248903,151.54611502297095,526370
2016-05-27,154.23924255371094,156.97084539782506,148.50673118519725,148.50673118519725,1591262
2016-05-30,150.43038940429688,155.04717884893003,149.85329072371772,155.04717884893003,362864
2016-05-31,154.20077514648438,156.35527940867811,148.7375809092864,151.12291526938006,936426
2016-06-01,152.7772674560547,157.04780025679852,151.6615456319945,155.04718669971572,456715
2016-06-02,150.43038940429688,152.08473425884932,149.35314323032355,150.81512185801628,360165
2016-06-03,149.00685119628906,153.2773831092118,148.58365495663168,151.46914790575502,484006
2016-06-06,152.12319946289062,152.85418872681265,148.89144942058664,149.8917560801598,425198
2016-06-07,152.00778198242188,153.2004548365041,150.6612185080617,152.39251440366763,164882
2016-06-08,151.50765991210938,153.0465899741566,150.81514608062994,152.277124943133,258620
2016-06-09,154.20077514648438,155.58581443940204,151.08445141379917,151.08445141379917,580029
2016-06-10,150.62274169921875,156.58609418028615,149.2761782357519,153.73907663431945,542113
2016-06-13,150.66122436523438,151.892361116422,148.6990865923797,149.2761852466839,301387
2016-06-14,150.0841522216797,151.8539240890441,149.3146872133564,151.50765544241523,164965
2016-06-15,150.0072021484375,153.123537803719,149.6609452403183,153.123537803719,357197
2016-06-16,150.1995391845703,153.04655683466612,149.50702550304234,151.699993321949,541784
2016-06-17,150.69970703125,151.58458697961376,149.66092470829886,151.50763579232006,223285
2016-06-20,149.19924926757812,151.19986283615177,147.73727055746127,147.73727055746127,511793
2016-06-21,147.16017150878906,150.35344635096982,146.42918215539746,150.27650690072525,483225
2016-06-22,146.00596618652344,148.2758853152475,145.50581869312924,147.81421341544583,272087
2016-06-23,145.62124633789062,148.12200750353472,144.6594151203352,146.04445442183575,305654
2016-06-24,140.42735290527344,142.5049059151034,136.96476064185572,142.5049059151034,400872
2016-06-27,146.23678588867188,147.58334927302226,141.0044229612616,141.58152155455466,410640
2016-06-28,146.506103515625,149.58396293184487,145.23649120287507,147.81420316039996,596361
2016-06-29,151.62306213378906,152.93115012627123,146.58306464933167,147.8526770482785,884391
2016-06-30,151.85389709472656,153.8929743078649,150.1995405762557,153.12350943632558,536232
2016-07-01,152.39254760742188,156.85544701448327,150.81514198840395,152.35407200869378,1119565
2016-07-04,154.20077514648438,155.97054692404006,152.89268704693578,153.85451825853087,547479
2016-07-05,156.66307067871094,159.0868806082231,153.89299212403685,154.93177451731552,947419
2016-07-07,156.70152282714844,160.664274122959,155.16259302087698,157.50946332366146,897499
2016-07-08,152.2386474609375,156.66307099339062,151.58459754665517,156.66307099339062,312055
2016-07-11,154.66246032714844,157.66336904003964,153.70062910620845,153.7391047032668,497047
2016-07-12,156.4322052001953,159.6254796077177,153.9699200465646,155.04716613218375,815527
2016-07-13,166.7430419921875,170.28258523946326,156.81694944824432,157.27862134499597,4571889
2016-07-14,171.1289825439453,174.20684202668608,166.97387693868615,167.51249999994536,1845811
2016-07-15,168.78211975097656,172.70638344612914,167.2047144583213,171.5906617604809,742091
2016-07-18,168.1665496826172,174.59157430229914,166.97387678592588,168.62822155994465,933856
2016-07-19,180.13174438476562,181.51677186261784,167.55098811248456,168.82060054755013,3759459
2016-07-20,180.9781494140625,184.28685096542011,179.43921955213833,180.13174503466607,1705167
2016-07-21,201.3304901123047,207.64011180188754,180.36257119948863,182.3631846729324,6772781
2016-07-22,195.82882690429688,203.75430638023263,193.98211574780962,202.3308150293653,3062205
2016-07-25,205.63949584960938,212.75704622045646,199.0990441574796,199.36836157065542,4911278
2016-07-26,196.0596923828125,208.9097560611916,194.6746529778323,207.37082599812572,1570696
2016-07-27,202.330810546875,203.8312530548144,191.05814239969948,197.75248487003654,2424065
2016-07-28,200.9842529296875,203.67738023588512,198.67585809580385,203.67738023588512,952751
2016-07-29,205.33172607421875,208.37109852955362,198.98364025309579,201.59981637990512,1930601
2016-08-01,212.21841430664062,213.75734413767415,203.2541527373115,206.71674485713692,2486724
2016-08-02,220.7979736328125,225.68405720956196,210.37170962032766,213.14178809709216,3708258
2016-08-03,214.52682495117188,222.68315835653365,211.6413313041482,221.60591209141964,1515318
2016-08-04,221.72129821777344,225.29930517689772,214.14206453051176,216.48894647993626,2490354
2016-08-05,224.79920959472656,228.91585230745383,219.37449038671116,223.10640057455194,1979929
2016-08-08,223.72193908691406,229.22360890284213,222.14454529792877,225.45323526213522,1514609
2016-08-09,211.02574157714844,225.5301591404234,208.98666435862324,225.14542670363736,1955053
2016-08-10,198.75279235839844,211.79523299279984,197.21386241839627,211.79523299279984,1526486
2016-08-11,200.4071807861328,204.67770240201276,196.7137344730113,199.291447075644,1027247
2016-08-12,197.9833221435547,206.6782901635501,197.21385719393777,201.52286560823393,885151
2016-08-16,208.2172088623047,210.83338485383086,198.9066787763331,199.1759961906532,1827675
2016-08-17,212.60313415527344,214.91152876491682,208.44802855435623,209.21749342423735,1098165
2016-08-18,213.94969177246094,216.68130607446776,210.87183237788668,213.14176307426663,847420
2016-08-19,208.0633087158203,214.75766288195214,206.60133007097707,214.37293042371942,706975
2016-08-22,207.02450561523438,212.29534446073876,203.90818240903423,208.75580150361296,874018
2016-08-23,203.56192016601562,210.44864008451484,201.25352557642316,208.5249779265211,841488
2016-08-24,216.95065307617188,218.52804683828379,202.13845271829524,203.6773826256071,2420749
2016-08-25,212.21841430664062,220.72101571242425,210.33323935294797,217.75857109124357,1334172
2016-08-26,216.2965850830078,218.37412619483655,210.1793298200682,213.1417743403736,1136845
