Price,Close,High,Low,Open,Volume
Ticker,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS
Date,,,,,
2016-04-20,493.75482177734375,496.75182750644746,486.30915263940574,491.6943767658893,2898556
2016-04-21,498.2503356933594,500.12345725611635,493.19288460866204,496.3772141306024,3392813
2016-04-22,497.64154052734375,502.5116679468744,493.5675240573982,496.09624956014807,1880283
2016-04-25,493.0992126464844,499.9829109834201,490.28953052314256,498.71857689316795,1959119
2016-04-26,506.21112060546875,507.8501020320359,490.8983741425095,491.3666545501001,1855477
2016-04-27,505.93017578125,509.77005234922245,500.59176757559936,505.27457176246185,1456338
2016-04-28,494.73828125,509.2549747840748,491.69445841221017,504.71267741447485,3088525
2016-04-29,502.93310546875,504.24431333894836,493.66113149709093,493.7548218667507,932705
2016-05-02,506.3515930175781,510.0509622544299,501.06000190787773,502.88630680540194,1336667
2016-05-03,502.7926025390625,512.2987167666203,493.14603850058035,505.74279168916803,1524809
2016-05-04,499.3742370605469,507.00717339069917,495.44067021224595,500.12347427852427,785756
2016-05-05,507.4286804199219,509.4891258172521,499.65523644026473,501.52835822635757,1025103
2016-05-06,503.2609558105469,508.3184073253776,501.1536938732238,505.7428649575383,511789
2016-05-09,502.51165771484375,505.93012730899073,499.4210186802505,504.15063902321776,727957
2016-05-10,502.9799499511719,505.2745352696383,498.952750073957,502.93313334531194,669096
2016-05-11,502.5584716796875,505.27452069883554,497.0796142000129,498.2503151284161,943441
2016-05-12,502.27752685546875,508.037398425685,500.4512219310246,502.8863142179943,670055
2016-05-13,497.9694519042969,504.52537833518215,496.4241035231886,500.5449944307161,891484
2016-05-16,488.69744873046875,499.98299573970627,487.3394240413509,499.98299573970627,883516
2016-05-17,490.523681640625,495.11285207635746,489.35298072978816,489.8212610941229,679688
2016-05-18,491.2729797363281,493.33342502763776,487.0584559344784,489.3998580466171,653047
2016-05-19,480.1747131347656,492.53732660068295,477.83331123452115,490.85147150200106,1062398
2016-05-20,474.929931640625,482.562895548219,469.4042292856433,481.673151460046,1700932
2016-05-23,465.8453063964844,477.64597743772964,463.4102427559789,477.64597743772964,2021694
2016-05-24,462.7078552246094,473.1505310869856,460.3664532073174,468.23358685067245,2526624
2016-05-25,439.99627685546875,449.5492089788979,428.4297731980377,449.5492089788979,15183389
2016-05-26,438.26361083984375,443.83613010819886,436.43730595953275,442.7122743662553,4432025
2016-05-27,443.4147033691406,448.14432377573564,439.34065834577524,441.02645628158416,2638981
2016-05-30,443.50836181640625,448.14434927602673,440.1835823609876,446.69269144767617,1183625
