Price,Close,High,Low,Open,Volume
Ticker,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS
Date,,,,,
2021-07-19,1559.7481689453125,1742.165673188965,1530.034042755393,1726.7674098716438,13548172
2021-07-20,1709.5980224609375,1731.68682050947,1551.4340131445188,1560.2892298403058,6980467
2021-07-22,1667.1912841796875,1750.3811738460827,1645.2500970099172,1722.831610682682,1731678
2021-07-23,1609.09130859375,1673.6852196348625,1579.180330034708,1672.6520629651113,1084767
2021-07-26,1625.9163818359375,1660.845296544062,1593.9392063989221,1608.6979027544676,747225
2021-07-27,1650.26806640625,1687.6075164230167,1593.9882912868927,1637.7231757538848,676427
2021-07-28,1608.255126953125,1647.857627290311,1602.3516486419917,1645.3486009654498,256379
2021-07-29,1596.349609375,1624.5387410329217,1574.2608104214019,1609.6816786558834,351507
2021-07-30,1654.941650390625,1699.0701240030926,1599.9408901880774,1603.286218377838,1271880
2021-08-02,1639.6417236328125,1682.3928143167502,1633.2955330080274,1666.2566175596953,288875
2021-08-03,1645.7420654296875,1679.5394521771414,1639.8385875661475,1646.5783674390427,234059
2021-08-04,1618.7828369140625,1656.417508551785,1613.6172937481006,1652.9738131078104,172637
2021-08-05,1611.0594482421875,1626.900426254555,1574.3594389662321,1624.3913996289448,210820
2021-08-06,1630.294677734375,1651.9900084972933,1596.890877779099,1613.617399604265,312272
2021-08-09,1576.6224365234375,1653.9579851573044,1550.3518836720389,1638.117007655104,499926
2021-08-10,1495.990478515625,1602.7942831157834,1485.7086356690195,1591.872872795424,643538
2021-08-11,1550.0074462890625,1567.8654927092946,1412.5055933828035,1495.5478813417808,678501
2021-08-12,1551.58154296875,1572.2929594699767,1532.3461160604506,1554.582525633644,153642
2021-08-13,1586.412109375,1608.6977629565372,1545.186130449785,1556.5503736986188,289245
2021-08-16,1503.1239013671875,1595.4642361459787,1494.5639059720568,1593.9391228931743,539674
2021-08-17,1472.8682861328125,1527.032736324039,1466.030139898723,1510.3062179493556,327596
2021-08-18,1519.80126953125,1572.1946378175312,1446.3521386071966,1487.676485424545,1365679
2021-08-20,1519.2601318359375,1573.276982848097,1502.0416532869433,1554.582634709189,365365
2021-08-23,1460.7666015625,1538.2005141519978,1442.4165983062512,1520.1457328670929,431169
2021-08-24,1439.3662109375,1460.7663165943645,1422.7873025303898,1460.7663165943645,399166
2021-08-25,1435.9228515625,1466.0305694370036,1427.6579572168405,1452.255785563099,419543
2021-08-26,1406.4544677734375,1441.43262490506,1399.2227308438635,1441.43262490506,315671
