Price,Close,High,Low,Open,Volume
Ticker,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS
Date,,,,,
2016-04-20,129.1242218017578,130.67658835701525,127.96574140852185,128.7303356397363,8438851
2016-04-21,133.34109497070312,133.80448713393756,129.6571216163469,129.74980570563642,6341547
2016-04-22,133.36424255371094,133.75812867243775,132.0667503125454,133.75812867243775,3616133
2016-04-25,133.43377685546875,134.80077522946152,132.90086456326844,133.7349789282735,2987563
2016-04-26,133.595947265625,134.33737751217586,132.76184707675887,133.03988518691614,1972410
2016-04-27,134.80081176757812,136.00563452697386,133.48014093788683,133.92036926165397,2654547
2016-04-28,132.0899200439453,136.07509516142636,131.44117389496128,135.1019688671476,5733507
2016-04-29,133.48011779785156,134.22154814753117,131.71923309126922,132.0667772419058,3886257
2016-05-02,133.75814819335938,133.9203382825766,132.80819989332642,133.78132628702292,1741094
2016-05-03,129.35592651367188,134.03619044302908,128.59133223142808,133.92034239597376,4658529
2016-05-04,129.72662353515625,130.42171168238886,126.22800470912266,128.73031921083918,6641861
2016-05-05,130.5839080810547,131.20949033998602,129.74980783021743,129.98150391562854,2845968
2016-05-06,130.63021850585938,130.88509262308034,128.5912962761084,130.32901649605583,3358599
2016-05-09,132.34478759765625,132.761837662516,130.74607918382176,130.74607918382176,2147251
2016-05-10,132.0204315185547,132.85454594182855,131.13998918977165,132.85454594182855,3178150
2016-05-11,131.51068115234375,131.78871925933078,128.19743024322918,130.53756899029744,4069757
2016-05-12,131.53387451171875,131.9972666966171,130.67659614133535,131.6265444637341,3368917
2016-05-13,130.42172241210938,131.4180126767861,129.07787390361835,131.4180126767861,2846180
2016-05-16,131.0704803466797,131.55703647682944,129.5876197207643,130.6302521210341,4442240
2016-05-17,131.53387451171875,132.02043064921912,130.5839120477128,131.48753246490747,1736009
2016-05-18,131.58018493652344,132.20575292251084,130.30585673430588,132.20575292251084,2782932
2016-05-19,129.88880920410156,131.78871977744248,129.47175911278418,131.60336575259095,1489126
2016-05-20,129.2864227294922,130.2595491697561,128.84619448649426,130.0278530716746,4355684
2016-05-23,129.98147583007812,130.44486790077357,128.91567972412003,130.21317186542586,2035863
2016-05-24,129.541259765625,130.39853800453872,128.82300764582448,130.39853800453872,2073509
2016-05-25,130.21316528320312,130.4448613068387,128.6839771838494,129.93512722651982,2075737
2016-05-26,130.14370727539062,130.53759348907815,129.17058078910622,130.2132132797806,4619836
2016-05-27,130.3522186279297,131.835079306651,129.84249852737625,130.7924468692522,4543846
2016-05-30,135.56536865234375,137.1409132852341,133.68863609004453,134.03618020466337,17863356
2016-05-31,135.032470703125,136.81653332244167,133.4105981658564,136.19095108688828,7041001
2016-06-01,137.7201690673828,138.78596548289548,133.94351128102278,135.33368789687816,5843470
2016-06-02,142.42356872558594,143.4198589399821,137.4884455516103,137.99816556250718,9888554
2016-06-03,143.16502380371094,144.5320222892396,142.74795951637623,143.6515799501248,6459723
2016-06-06,141.70529174804688,142.95645601486717,140.8711916645693,142.7711020120504,5184081
2016-06-07,142.63209533691406,143.4198676332219,141.35776694921984,142.30772932319178,2708323
2016-06-08,142.16871643066406,142.70162875568516,140.8712239717774,142.51626056875233,1673081
2016-06-09,145.04173278808594,145.69047892431226,141.51994986650786,142.16869600273418,2240051
2016-06-10,142.0992431640625,146.3856218545225,141.86754701863222,145.3661672995956,2251748
2016-06-13,142.95648193359375,143.860102305862,141.12607723760692,141.33460936708622,2418196
2016-06-14,143.11863708496094,143.81372515808692,142.09916892106827,143.65153511270358,2102212
2016-06-15,143.5356903076172,144.02224631303557,141.26507204632583,143.2576522438338,2353608
2016-06-16,142.51625061035156,143.41987096288298,141.56630235593133,143.21133883795844,1665463
2016-06-17,145.13446044921875,145.73686472626065,142.72481505783236,142.72481505783236,3608513
2016-06-20,144.74053955078125,145.134425702983,143.58205918642668,143.65156517996675,1683234
2016-06-21,145.04173278808594,145.96851702315357,144.36980856101982,145.04173278808594,1174461
2016-06-22,147.12698364257812,147.5440336812757,144.57832723302167,145.04171930748646,2935707
2016-06-23,147.15013122558594,147.7757132848653,146.47822127729512,147.12696728108023,1565312
2016-06-24,144.69419860839844,145.50513486961444,141.58946555167185,142.84063001133327,3080388
2016-06-27,142.7711181640625,144.81004070892303,142.05285187718292,142.05285187718292,1728920
2016-06-28,145.18075561523438,145.62098381642932,143.60522512621,143.99911128386765,2634505
2016-06-29,144.11492919921875,145.80630737275388,143.46618315011526,145.5977894328295,1902427
2016-06-30,145.04173278808594,145.69047892431226,144.36980856101982,145.50512490561977,3314387
2016-07-01,143.69793701171875,145.69051799483205,143.44306279376121,145.04177168462834,2225864
2016-07-04,147.3355255126953,147.82208156653886,144.34664077735692,144.81003288258117,2699220
2016-07-05,149.18910217285156,149.86101227757143,146.89530546867016,147.33553364958757,2816887
2016-07-07,146.22340393066406,150.99635210426527,145.82953187158705,150.53295990148501,3939302
2016-07-08,144.4393310546875,145.9453554613081,143.65155878535148,145.18074714158564,2294810
2016-07-11,148.70254516601562,149.4903175150559,145.80634409102464,145.96853417954551,2536047
2016-07-12,146.91848754882812,148.91108244219348,145.18076684382729,148.91108244219348,3413443
2016-07-13,150.16221618652344,150.834140441137,147.01115531474875,147.82209155367957,3400480
2016-07-14,150.44024658203125,151.80725897134084,148.9805642551309,150.60243664982127,4310790
2016-07-15,147.7525634765625,150.60242186193688,146.89528532379688,150.44023181007253,2109207
2016-07-18,149.0500946044922,150.13906907580173,147.7757660861019,148.12331022748106,1986754
2016-07-19,147.7989044189453,150.0000167221933,147.35867630165433,149.18908061047037,1617036
2016-07-20,152.5718536376953,152.89623377435674,148.0537805231394,148.23913454054377,3246139
2016-07-21,154.4717559814453,155.6070581166272,151.39020141223122,152.9193896521106,6355171
2016-07-22,153.59132385253906,154.6571200720489,152.78038764242345,154.30957598199936,2004989
2016-07-25,154.65713500976562,154.95833708857944,152.82673030207107,153.38280655650163,1492185
2016-07-26,151.73779296875,154.8656905542034,151.43657670278972,154.77300645058352,1692026
2016-07-27,150.85731506347656,153.2901239523742,150.02321481535435,151.64508740795276,1919050
2016-07-28,152.896240234375,154.37908657786664,151.11217769056887,151.13534164062122,3253199
2016-07-29,151.9926300048828,154.77298299277703,151.45973184385775,152.91941433418089,3182206
2016-08-01,151.27435302734375,153.6144774188627,150.94997290858078,152.5950091669827,1461407
2016-08-02,149.69882202148438,152.45601085313,149.21226594136127,151.52922659262467,2335301
2016-08-03,151.13536071777344,152.2706772457576,149.25862799526055,150.0000583313967,1603751
2016-08-04,149.9073486328125,152.2938151876723,148.58667828176038,152.17796715936254,1808553
2016-08-05,152.641357421875,153.1047495294955,150.57927102792664,150.76462504265388,2101931
2016-08-08,153.82301330566406,154.07787330411173,151.89992477670498,152.91939305370485,2076712
2016-08-09,156.232666015625,156.3948561021263,154.30959135409796,154.77298352032648,3267563
2016-08-10,156.60337829589844,157.55332651974282,155.00466976721756,156.81189627250524,3121860
2016-08-11,156.5338592529297,156.9045814499348,154.4717727146617,156.23265719021705,3452229
2016-08-12,156.60337829589844,157.36797249333486,155.53756789624262,156.25583419328137,1889296
2016-08-16,156.5338592529297,157.71551769502582,155.3290510020791,156.1631511975304,2665923
2016-08-17,161.1677703857422,162.16407473666595,156.55702737093023,156.60336941030423,5810868
2016-08-18,157.1130828857422,161.3762957819944,156.67286888400588,161.30678979662596,4975745
2016-08-19,154.8424835205078,157.73868444727776,153.8925352731697,157.57649436705742,9764483
2016-08-22,155.19003295898438,156.20950137684548,153.3828063469638,153.7998564664137,7488064
2016-08-23,156.00094604492188,156.3948321542238,154.1010356259867,155.5143900015283,2257353
2016-08-24,154.7498016357422,156.02412994519727,154.12421945550687,155.97778790562336,7665307
2016-08-25,153.52182006835938,156.02414909645012,152.61821382297705,155.00468066710894,3658893
2016-08-26,154.44859313964844,154.91198527525088,152.68770868100148,153.5913290020685,2682815
2016-08-29,154.7034912109375,154.958351268269,153.15112448840665,154.30960500647328,1292318
2016-08-30,155.0741729736328,155.74609721659755,154.03154068451167,155.28270508809925,1531387
2016-08-31,154.54129028320312,155.88512476169223,153.42915189209515,154.77298637058425,3834244
2016-09-01,156.6265411376953,157.08993327123878,154.12422644488166,154.81931464519687,2860233
2016-09-02,153.98521423339844,156.23266911247725,153.59134219758215,156.16316311448657,3458571
2016-09-06,152.38653564453125,154.65715471312132,150.6719787596076,154.56447061170607,2989741
2016-09-07,153.38279724121094,154.03154340424234,151.57557073647854,152.45601296785014,2982805
2016-09-08,154.10105895996094,154.30959109105095,152.36333833956624,153.38280676017376,2998354
2016-09-09,153.93885803222656,154.30956604777165,153.17424977005774,154.30956604777165,2194843
2016-09-12,153.1279296875,154.30957392124589,151.760917294919,151.85360137433656,2607009
2016-09-14,150.30125427246094,151.78410074239508,148.98058374993332,149.95371014240666,6425242
2016-09-15,150.02316284179688,151.48284484112642,149.1195427680395,150.76459288416163,2277264
2016-09-16,150.39390563964844,151.52922198085653,149.35127337831227,150.69512182842965,4151279
2016-09-19,152.1316375732422,152.50235977914377,150.13905697984353,150.13905697984353,2730095
2016-09-20,152.5718536376953,153.10475174083476,151.59872736931612,152.36332152961225,2955423
2016-09-21,153.38279724121094,153.8230254276996,151.78408871302128,152.595024952212,3433714
2016-09-22,151.73779296875,154.56447428824313,151.3670706958792,154.471804326232,2589917
2016-09-23,152.177978515625,152.896244829709,151.59873833085055,151.59873833085055,3605797
2016-09-26,154.05471801757812,154.81931219751556,152.06212338988055,152.38650353487483,3256853
2016-09-27,154.1937713623047,156.25587253378612,153.8462271744107,155.46810005124937,3058963
2016-09-28,152.201171875,155.56076528368652,151.80728568152216,154.19375265385383,1620533
2016-09-29,151.83041381835938,154.05470431126957,149.4671113565941,153.05840001525968,4747212
2016-09-30,149.35130310058594,152.36335245498242,146.84898800371658,151.13536593112698,4445950
2016-10-03,151.94627380371094,152.31699598585502,148.98056705458458,149.7219972772675,3104019
2016-10-04,148.79522705078125,152.45602232696766,147.984290761808,151.99263016184008,5945963
2016-10-05,148.86471557617188,149.95368986473878,147.7062352993145,149.25860169862437,5316324
2016-10-06,147.61355590820312,149.67565652313615,146.9879878521183,149.67565652313615,3130353
2016-10-07,147.7294158935547,148.14648015349982,146.26973340856634,147.9147840720221,2038680
2016-10-10,147.7757568359375,149.0964273188312,147.42821271631317,148.28549103970778,1976384
2016-10-13,146.20022583007812,147.77575633875293,144.57835327728804,147.3587062249282,3543786
2016-10-14,145.0648651123047,147.4513453106209,144.74049918570785,146.43187721765463,2066659
2016-10-17,144.2307891845703,146.6172556391427,143.48935900622433,145.87582546079673,5164144
2016-10-18,144.83322143554688,145.8295259443156,144.3930073457629,144.53201934430368,3335691
2016-10-19,144.83322143554688,145.9221958961404,144.4161712983173,144.57836139101968,3410851
2016-10-20,144.8563690185547,145.8063171389123,144.6710150123391,144.69417896001445,1993881
2016-10-21,145.18075561523438,145.59781986546378,144.7173634630739,144.85638959368578,3009896
2016-10-24,148.86471557617188,149.49029775399583,144.9722246742521,145.45878073389022,2802733
2016-10-25,148.12327575683594,150.09269209967002,147.38184559944818,150.09269209967002,2235089
2016-10-26,147.9611053466797,149.02691575869503,146.84896703372942,147.79892941019565,1967319
2016-10-27,146.57095336914062,148.40135829278313,146.13073924558677,148.28551023790976,2363687
2016-10-28,150.50978088378906,151.5292493802996,146.29292317762344,146.89532738090205,3058160
2016-11-01,152.9425811767578,153.52182139351817,149.81468400625198,151.29754461780118,5375999
2016-11-02,151.96942138671875,152.5718253670624,149.6987891340333,151.08896521938237,3362257
2016-11-03,151.52920532226562,153.38277358308844,150.71826920815565,151.89991331778876,2183816
2016-11-04,146.3855743408203,151.52922992817113,144.7173598068679,151.52922992817113,3382028
2016-11-07,147.9611053466797,149.44396585835065,146.73311899818032,147.7757513181223,2877174
2016-11-08,146.91848754882812,149.23544848882923,146.22339926682778,147.96111997182862,1759612
2016-11-09,146.91848754882812,148.74889234807193,134.0593543318219,139.52739063518894,4814661
2016-11-10,154.40228271484375,156.30217937256216,148.28550017594318,149.11960045778994,5022605
2016-11-11,150.16221618652344,153.84618932859442,148.93422985303502,152.84989906337196,2674065
2016-11-15,145.34291076660156,152.43281747570578,144.57831672761262,149.67562917634257,3886233
2016-11-16,145.0648651123047,147.03428118247885,143.21129704625844,147.03428118247885,3380097
2016-11-17,142.19186401367188,144.90271053739536,139.9444095746326,143.9990903156195,4774690
2016-11-18,142.1223602294922,143.35034644459503,140.8711959248338,142.3540562754212,2226399
