Price,Close,High,Low,Open,Volume
Ticker,EIHOTEL.NS,EIHOTEL.NS,EIHOTEL.NS,EIHOTEL.NS,EIHOTEL.NS
Date,,,,,
2016-04-20,101.27256774902344,102.74787172498216,100.70148114482514,101.60569851658555,60412
2016-04-21,101.36773681640625,102.60509228788342,100.89183257439076,101.27256189098567,183156
2016-04-22,101.27256774902344,102.22437628811109,100.55870764284342,100.55870764284342,32479
2016-04-25,99.84484100341797,102.55750034492767,99.46411909344077,102.55750034492767,101940
2016-04-26,99.65449523925781,100.60630382579693,99.46413056045841,99.89244368402812,76330
2016-04-27,99.79724884033203,100.41592656518267,99.22616227921822,99.9400223315425,31080
2016-04-28,98.03640747070312,100.89183293294379,97.60809439173984,100.17798026924771,190725
2016-04-29,97.8460464477539,98.55990654170569,96.56110716311487,98.03641111380198,68603
2016-05-02,97.89364624023438,98.79786367618152,96.98942880428723,98.79786367618152,27342
2016-05-03,97.79845428466797,98.98821862788765,97.08460160171887,97.08460160171887,213809
2016-05-04,96.94183349609375,98.75026829080385,96.56111155042774,97.98882439947184,105673
2016-05-05,97.13219451904297,97.94122954863313,96.79905635084708,97.17977828219959,167919
2016-05-06,95.60930633544922,97.5129235342287,95.46653282442205,97.08461040487622,148355
2016-05-09,98.65509796142578,99.79726385172876,96.13279551888438,97.03702036216848,57293
2016-05-10,97.32255554199219,99.3689461821816,96.60870281859934,98.51231995261867,75692
2016-05-11,99.17858123779297,99.94002507099799,96.13278369378824,96.22796602387092,45598
2016-05-12,101.41532897949219,102.22437138149387,98.7026769944142,99.74966781790233,83831
2016-05-13,103.08100128173828,103.65208787922852,100.41593296136003,100.46352412812826,83762
2016-05-16,102.84305572509766,104.22317738875186,100.60630043940921,103.74727311150114,83603
2016-05-17,107.41173553466797,109.26776137717843,102.46232094842622,103.22377219389739,272503
2016-05-18,104.98463439941406,106.60270458806282,103.08100978287764,106.60270458806282,290030
2016-05-19,104.50872039794922,106.12679795480149,103.74727649103576,105.69848483169656,69762
2016-05-20,103.84245300292969,104.74667036804514,100.4159334029208,104.69907920106765,102875
2016-05-23,104.74666595458984,105.17497903561203,101.5581023238172,103.84244862757318,66592
2016-05-24,104.55630493164062,105.3653473605831,102.89063631085644,103.74726990642661,106010
2016-05-25,103.74727630615234,107.03102258365328,102.36715460000057,104.69908488996246,142572
2016-05-26,102.6526870727539,104.55630410795155,101.93882698269059,103.9376337541222,98436
2016-05-27,101.51051330566406,102.31955572357462,100.89183555166854,102.31955572357462,48099
2016-05-30,100.65389251708984,103.27136976748658,100.4159366744498,100.89184095600113,37497
2016-05-31,101.03460693359375,102.55750200183434,99.5593030303352,100.89183343864764,95818
2016-06-01,100.6063003540039,101.36774423546719,100.27316958132982,101.36774423546719,38523
2016-06-02,102.84305572509766,104.5087169936108,100.41593576701744,100.46352693511538,103911
2016-06-03,100.46351623535156,104.41353094068754,100.13038549787441,102.84304477190459,46057
2016-06-06,101.22496795654297,102.65268064352225,99.94002135565206,101.60568985899185,22706
2016-06-07,101.46292877197266,102.7954666990247,100.60630253581697,101.6532934483312,47087
2016-06-08,102.03401947021484,104.6990880269717,101.55811516405068,102.60510611835768,121340
2016-06-09,101.22496795654297,102.79545413333855,100.89182981363824,102.60508948025013,59881
2016-06-10,101.1297836303711,102.70026977611363,100.55869708612582,101.60568784995418,49000
2016-06-13,100.79666137695312,101.65329503016784,99.98762629729758,101.12979956576456,27037
