Price,Close,High,Low,Open,Volume
Ticker,GESHIP.NS,GESHIP.NS,GESHIP.NS,GESHIP.NS,GESHIP.NS
Date,,,,,
2016-04-20,244.08438110351562,250.57105789821802,243.12065531493883,250.38572427551222,77112
2016-04-21,248.08767700195312,249.1626214711831,246.0490063783212,246.0490063783212,71041
2016-04-22,245.08523559570312,249.79271506691336,243.8990956513744,245.41882260821768,32214
2016-04-25,248.27293395996094,249.0884064821196,245.3817337666119,245.3817337666119,104449
2016-04-26,246.4937286376953,250.34867720272587,245.49292250795332,250.12626327181977,114334
2016-04-27,247.56871032714844,249.68149593722052,245.38176410511537,249.08843727890866,55440
2016-04-28,243.5654296875,249.05132283337,242.78703754790808,247.82810286582205,27971
2016-04-29,243.41725158691406,247.19806305552382,241.6751105292102,245.75245135102202,18269
2016-05-02,245.9376983642578,246.45664151730725,242.26808386818473,244.64036310536574,33539
2016-05-03,243.60255432128906,248.27295325632946,242.52761010075065,244.6404182375495,40558
2016-05-04,240.74839782714844,244.6404042585342,240.19239690837904,243.7878740411682,22847
2016-05-05,232.22303771972656,246.49372718853658,226.47769520630956,240.93371830458463,162319
2016-05-06,227.7008819580078,233.03849928578796,224.0683475155869,229.66541381346406,171062
2016-05-09,231.25929260253906,235.00302255590844,228.33101245179748,228.33101245179748,50146
2016-05-10,229.62841796875,233.89109239432,228.4052202670299,231.48175467551957,25014
2016-05-11,228.10867309570312,232.00067987582204,227.589729808859,229.59134234527224,52522
2016-05-12,227.40438842773438,229.81372587643895,226.32944420881768,228.70172397703683,27514
2016-05-13,227.44149780273438,229.73964010858413,226.10710426965602,229.07244334204495,42368
2016-05-16,227.1448974609375,229.59131500565073,226.4777009028283,229.59131500565073,73019
2016-05-17,227.62677001953125,228.92410551332964,226.21823886529728,227.70090800106686,65246
2016-05-18,227.7008819580078,230.55502424267172,226.47768458564698,230.55502424267172,127230
2016-05-19,227.1448974609375,227.9603699758419,224.47608860476606,227.5897027075885,76176
2016-05-20,232.59371948242188,234.5582515525064,226.8483766107445,227.5155731936761,239006
2016-05-23,229.07235717773438,236.15209250056267,223.6235441570125,232.77902962397604,115121
2016-05-24,231.03692626953125,232.55667579156182,227.21905755959057,227.21905755959057,142342
2016-05-25,231.07395935058594,233.52035400976678,229.81368172389747,233.52035400976678,32434
2016-05-26,230.18441772460938,231.8153630671618,228.99827771400209,229.8137503852783,52377
2016-05-27,230.33265686035156,232.7419941805488,229.33185067952255,232.7419941805488,19797
2016-05-30,230.51805114746094,232.70497510075757,229.0353816372634,229.8137740806206,37267
2016-05-31,227.96041870117188,233.3350952396548,227.14494601196452,233.3350952396548,80522
2016-06-01,231.03692626953125,232.40839982033162,226.55186093652836,226.55186093652836,25412
2016-06-02,229.88787841796875,233.14974633801373,226.10706719584795,231.48174338329025,31852
2016-06-03,227.58970642089844,232.22304734966264,226.88542955023226,228.3680986474368,35347
2016-06-06,226.2553253173828,228.2569151308321,225.5139907293491,227.29318921588276,45502
2016-06-07,228.92410278320312,230.18438058307154,225.9587645470283,228.92410278320312,24824
2016-06-08,227.58970642089844,229.33184713486077,226.29237096084444,227.62676409883454,68640
2016-06-09,232.70492553710938,233.8540077370151,227.62677902152515,228.07158430459393,165514
2016-06-10,227.10780334472656,233.14967432310698,226.47766456505303,232.2600639725407,44861
2016-06-13,228.96121215820312,230.55507713778422,227.21907119849155,230.55507713778422,30418
2016-06-14,229.1094512939453,231.29639743456815,228.33105900591985,229.07239361308194,19465
2016-06-15,228.59054565429688,229.7766856283952,228.1457403360427,229.0724086558479,16783
2016-06-16,229.62841796875,231.2964210048426,227.36735623598676,229.73961364640834,32016
2016-06-17,229.77664184570312,230.9998392700247,228.33103049276508,229.73956154573338,50139
2016-06-20,227.7008819580078,229.40596484336706,227.2190190687424,229.25768889725478,21388
2016-06-21,232.44546508789062,233.89107667148838,228.03453759653775,228.66467655922747,32917
2016-06-22,232.14892578125,232.92734068655153,230.77745224463587,231.29639551483686,38145
2016-06-23,228.92410278320312,233.07558083859496,227.66384760707,230.7774391808124,21434
2016-06-24,223.84600830078125,228.70174124531118,220.54706003397106,226.10706995079386,51176
2016-06-27,227.55264282226562,229.99903771950633,224.06836148499852,224.92089166896213,25757
2016-06-28,228.44224548339844,231.81533138454915,227.73799120916445,230.11024828241946,23331
2016-06-29,231.5929412841797,232.40841392797284,228.44226900604926,230.48093930366306,28975
2016-06-30,232.29721069335938,236.8564141403271,229.81373515962878,231.96360106056815,73975
2016-07-01,230.66624450683594,234.63238893940553,229.96199024697788,232.00066029305486,59685
2016-07-04,235.0400848388672,235.92969525302206,230.18435310624776,230.18435310624776,26536
2016-07-05,244.01025390625,245.974785868947,233.631570576358,237.11585188660115,136316
2016-07-07,238.82089233398438,245.4929024899011,237.52355702588943,245.4929024899011,48347
2016-07-08,235.299560546875,239.5993141255742,231.667026102337,239.52517615247484,48886
2016-07-11,236.07798767089844,240.85958176539103,235.00304356409265,237.15290915397,71423
2016-07-12,236.3004150390625,238.1166939453284,233.52041015625,235.37374674479167,28081
2016-07-13,240.1182861328125,243.75082135558588,238.04255818372422,241.67509340649764,94244
2016-07-14,241.93453979492188,243.67668054729245,237.9683953477129,238.70972991265904,49965
2016-07-15,241.7121124267578,243.56544873619083,240.93372022628967,240.93372022628967,58018
2016-07-18,240.67425537109375,243.12067294242777,240.19239244186784,240.19239244186784,32450
2016-07-19,241.19317626953125,242.37931595577052,238.70970125040932,240.1923702022752,35779
2016-07-20,245.5299835205078,249.08837989813102,240.11822835919588,240.19236633034063,81967
2016-07-21,247.53163146972656,248.2729661088235,245.38176554109293,245.38176554109293,31333
2016-07-22,248.8660125732422,251.31240749046972,246.864400278249,246.864400278249,48895
2016-07-25,247.71697998046875,251.7572630552627,242.4164415178986,250.3487316812827,36256
2016-07-26,248.68069458007812,250.20042142367566,246.27135718859088,248.82894792223573,33882
2016-07-27,251.6089630126953,254.27777214302546,247.64281831020685,248.75482022919965,93229
2016-07-28,254.94496154785156,256.50176871508927,250.64522996570588,252.3873707808591,44360
2016-07-29,248.495361328125,256.131098485283,247.97641807041148,255.76043119369797,210099
2016-08-01,260.17138671875,264.619394315318,253.7217666542318,259.4671097997988,273147
2016-08-02,262.2471008300781,263.1737690308911,259.4670962276391,259.4670962276391,89066
2016-08-03,259.4300231933594,263.803892317559,248.34706311814554,261.69108442001607,136524
2016-08-04,263.9151306152344,265.36074220602075,257.68792419288087,264.4340739103212,52771
2016-08-05,269.1043701171875,270.5870388230673,264.65636399954803,264.65636399954803,283152
2016-08-08,270.73541259765625,272.8111404866467,267.77007411410574,269.8458020030962,105109
2016-08-09,269.4009704589844,272.5145846128583,266.8804375182809,270.77244389875585,53129
2016-08-10,261.28338623046875,271.6620705276276,260.2084420216256,267.770063916193,131589
2016-08-11,257.61376953125,263.9151135341727,250.756424586893,260.94977517985615,312370
2016-08-12,252.98040771484375,256.01988380480924,250.94173776256295,255.94574582725215,44596
2016-08-16,252.27609252929688,255.7603733314202,251.68303404642654,254.53717607066827,70893
2016-08-17,258.7257385253906,259.8377402669038,252.0537280763118,252.0537280763118,45441
2016-08-18,259.5782470703125,263.6926667458011,256.4275757315177,258.72571699750256,67846
2016-08-19,257.6507873535156,263.0254622892711,254.57425381158833,263.0254622892711,40643
2016-08-22,258.281005859375,259.5042035939089,255.5010007246435,255.98286375658236,68668
2016-08-23,253.16574096679688,261.43161641797906,252.05373917631312,261.43161641797906,25375
2016-08-24,253.35105895996094,257.5395942541574,252.2019995635494,253.53639258026817,23960
2016-08-25,254.94496154785156,255.53804279542305,252.20203713294356,253.20282073269834,18320
2016-08-26,252.98040771484375,256.83535631046846,252.05373955471612,256.83535631046846,26406
2016-08-29,253.27694702148438,255.24147907392893,252.0537495264706,255.24147907392893,17464
2016-08-30,267.5105895996094,269.66045537198585,253.20281853071663,253.20281853071663,208255
2016-08-31,273.4411926269531,276.74011706831715,267.5105175427247,267.5105175427247,127152
2016-09-01,266.3244934082031,274.14556551516245,264.35996096000264,273.44131111797196,50270
2016-09-02,274.2196960449219,275.0351687249188,263.5444810827726,266.3244861574854,59725
2016-09-06,269.5491943359375,278.00040203299443,267.65877802787475,278.00040203299443,53119
2016-09-07,266.1761474609375,274.1454934642438,265.3977552728988,269.5492330644842,25873
2016-09-08,271.2914123535156,277.2591469755534,265.3607354128621,265.3977930942463,350583
2016-09-09,268.14068603515625,272.8110841324967,265.0270722211076,268.3630773259886,40000
2016-09-12,264.6194152832031,270.43887425084534,263.2108613336898,265.4719456153507,34320
2016-09-14,267.77008056640625,269.5492791746614,260.9497928404007,260.9497928404007,29619
2016-09-15,271.9585266113281,272.8110566385776,263.9521015922621,263.9521015922621,33353
2016-09-16,270.4017639160156,277.4073841211126,266.99162062769466,273.5524355997526,580942
2016-09-19,270.5870666503906,272.73693197026387,265.99078413998734,269.10439779203233,27728
2016-09-20,276.0359802246094,280.9658514576272,271.9215590630573,271.9215590630573,253694
2016-09-21,275.3687438964844,277.85219668654474,272.62579685012923,274.73860496705294,46705
2016-09-22,277.7409362792969,286.8964209026149,275.0721278391775,275.0721278391775,219853
2016-09-23,275.5910949707031,281.67004680098927,272.4404234074873,278.0004320484564,240660
2016-09-26,274.47906494140625,278.00040338427374,273.5523969301253,274.29373133915004,36749
2016-09-27,274.25677490234375,277.2591713176516,272.25516220964585,274.2938325869815,209524
2016-09-28,274.44207763671875,276.88847276425776,272.88527045385916,272.88527045385916,26544
2016-09-29,259.8376770019531,276.8883662203409,253.2027258435676,274.44197203415035,90067
2016-09-30,261.0609436035156,266.7321480896483,259.4300212530586,259.46707892912633,44030
2016-10-03,272.1438903808594,274.14547988973464,261.65401208113303,261.65401208113303,60100
2016-10-04,272.2180480957031,275.77644478537553,267.6217649664531,275.77644478537553,21605
2016-10-05,274.7756652832031,277.62980802125304,265.397787107099,265.397787107099,37979
2016-10-06,276.666015625,278.00040853648267,273.36706839420793,273.58945967154466,29412
2016-10-07,278.8159484863281,279.9279503899239,275.0351374893552,278.0004758989439,27043
2016-10-10,284.2647399902344,285.41379948411804,276.6660609130598,276.6660609130598,59457
2016-10-13,277.2220153808594,290.45481667755547,275.88759985075376,287.526559293086,105782
2016-10-14,274.8868408203125,281.7071276982914,271.77324929894075,275.10925475852576,173009
2016-10-17,272.9964294433594,281.29938488732836,272.4404285687293,277.92629934033255,43575
2016-10-18,279.0753479003906,280.81746566619444,272.99639668440244,272.99639668440244,51514
2016-10-19,276.740234375,282.4485206127322,274.36797690997673,279.48318181364834,59417
2016-10-20,285.5621032714844,286.8964965314381,275.7764772860335,278.29701045691115,91178
2016-10-21,284.1534729003906,286.97055725837447,280.33560517874525,286.52575208356325,23572
2016-10-24,276.925537109375,288.3791659906314,275.03514288566646,284.37596358388936,62160
2016-10-25,272.6257629394531,278.1857717009648,271.3284275617671,277.22204589846285,26093
