Price,Close,High,Low,Open,Volume
Ticker,HEG.NS,HEG.NS,HEG.NS,HEG.NS,HEG.NS
Date,,,,,
2016-04-20,26.421192169189453,26.68162317915183,25.035023446227942,25.035023446227942,248590
2016-04-21,27.210886001586914,27.387306540509474,26.379185741595467,26.841242509834974,198460
2016-04-22,27.815759658813477,28.025785022344554,27.059667068208498,27.219288395521062,146100
2016-04-25,27.54693031311035,28.345027418429506,27.16888397851359,28.345027418429506,70035
2016-04-26,28.378625869750977,28.546646800189908,27.555326835806166,27.723347766245098,212715
2016-04-27,28.487842559814453,28.96670017226985,28.059392192519148,28.311422008853622,88280
2016-04-28,27.437713623046875,28.630659365648608,27.219288652990844,28.51304246898317,55900
2016-04-29,26.984058380126953,27.891369508051504,26.471597571876643,27.471318772101128,68560
2016-05-02,26.664819717407227,27.387305871727992,26.54720602766424,26.88324628576301,66430
2016-05-03,26.908447265625,27.387304815239197,26.715224324967743,26.715224324967743,33270
2016-05-04,26.101951599121094,27.185683230619173,25.89192623819818,26.916851025016456,37080
2016-05-05,25.749109268188477,26.54720629116532,25.597890749951485,26.379185359265026,59830
2016-05-06,25.329057693481445,25.749108406814027,25.21984521305615,25.74070720026342,45760
2016-05-09,26.15235710144043,26.337180443608464,25.446673366576512,25.70710436410762,42250
2016-05-10,26.261571884155273,26.5724085276488,26.211166245117532,26.295175109391646,19940
2016-05-11,26.185962677001953,26.639616633985423,26.04314536413623,26.04314536413623,20065
2016-05-12,27.63933753967285,28.025783417302353,26.379183828289264,26.379183828289264,104080
2016-05-13,27.227689743041992,27.639340891998387,27.05966880051422,27.639340891998387,37075
2016-05-16,27.194082260131836,27.866162759931854,26.79923516679511,27.387305203528552,58005
2016-05-17,27.20248794555664,27.622538702941313,27.059669021584718,27.538526628624606,20500
2016-05-18,26.849641799926758,27.26969252847905,26.589210796886917,27.051267559714262,20190
2016-05-19,26.7236270904541,27.31169715315819,26.311977565851326,27.31169715315819,50735
2016-05-20,26.673221588134766,27.7233484223133,26.54720668850662,26.715226020555356,30970
2016-05-23,26.11875343322754,26.908447619077865,26.043144176783056,26.70682507171432,19875
2016-05-24,25.606290817260742,26.370782978889814,25.47187471866879,26.370782978889814,13530
2016-05-25,25.715503692626953,26.21116363382256,25.581087600339963,25.70710248656324,26180
2016-05-26,25.9675350189209,26.295174063179953,25.782713281558465,25.875123349056526,10890
2016-05-27,26.496803283691406,27.03446775537659,25.875126735347262,25.875126735347262,30670
2016-05-30,25.57268714904785,27.345300019288103,24.19491975889241,25.89192497706013,334975
2016-05-31,25.623092651367188,25.791113571994785,25.03502103153685,25.03502103153685,42300
2016-06-01,25.55588722229004,25.933933531257246,24.867004261386608,25.539084808032293,33330
2016-06-02,25.749109268188477,26.488399445710126,25.455073438546147,25.875124165930515,121700
2016-06-03,25.135835647583008,25.9759371042504,24.89220545601361,25.9759371042504,49780
2016-06-06,25.177841186523438,25.87512536212186,24.75779043972038,25.87512536212186,14930
2016-06-07,25.253446578979492,25.50547794985671,25.119030488791452,25.219843357615577,20165
2016-06-08,25.219844818115234,25.824717258990024,24.883804573184797,24.883804573184797,23800
2016-06-09,25.61469268798828,26.589210229235373,25.26185001944252,25.50548020593746,164085
2016-06-10,25.975936889648438,26.27837392430733,25.429871267799264,25.539083751222556,73555
2016-06-13,26.236366271972656,26.295173113447333,25.63989504859665,25.707103096334315,58845
2016-06-14,26.60601234436035,26.950455404735937,26.2951741103107,26.2951741103107,61780
2016-06-15,27.294893264770508,28.6810585183004,26.379181096492424,26.555603206715244,260900
2016-06-16,26.564010620117188,27.891370950260985,26.379187261227667,27.387308118216737,53655
2016-06-17,26.017940521240234,26.9840568382486,25.50547974227211,26.80763630836604,49910
2016-06-20,26.597610473632812,26.71522415810413,26.12715413338127,26.12715413338127,23665
2016-06-21,27.513320922851562,27.72334627340768,26.715223949791806,26.715223949791806,80745
2016-06-22,27.815759658813477,28.22740757668407,26.958855791038744,27.38730612255975,162430
2016-06-23,26.86644172668457,28.04258493965176,26.580807129520107,27.3873036845495,75625
2016-06-24,26.732027053833008,26.984056840072643,24.875403676030817,26.211165068306748,60310
2016-06-27,26.580808639526367,27.21928751874476,26.496799778713083,26.547205415674316,24095
2016-06-28,27.026063919067383,27.303298954414778,26.883248201269936,26.883248201269936,37180
2016-06-29,27.051265716552734,27.7065437829319,26.900047208198696,27.051265716552734,34700
2016-06-30,26.614408493041992,27.28648886817295,26.38758076554804,27.21928243302586,46630
2016-07-01,26.77403450012207,27.387306585054993,26.63961679101519,26.87484577899425,29950
2016-07-04,27.152080535888672,28.2106102327129,26.715227366296617,26.7320297810578,128460
2016-07-05,27.63933753967285,27.95857376654981,26.90844700903538,27.555325476232174,72255
2016-07-07,27.16888427734375,27.93337656027782,27.06807298858681,27.93337656027782,35925
2016-07-08,26.757230758666992,27.202485091633232,26.648016675879845,27.16048066124821,29015
2016-07-11,26.891645431518555,27.3116961475698,26.673220469254264,26.975657497568385,37170
2016-07-12,27.35370445251465,27.488120556751927,26.79923601957792,26.79923601957792,43630
2016-07-13,29.0255069732666,30.546091883315654,27.219290621994716,27.378908757630946,1179105
2016-07-14,30.54608726501465,30.882125900505816,29.101111838678392,29.101111838678392,1019990
2016-07-15,29.958017349243164,31.066950998366817,29.73959238399934,30.663702690024824,209735
2016-07-18,31.14255714416504,32.05826775432338,30.327657799834192,30.327657799834192,628980
2016-07-19,31.621416091918945,32.5287271395702,30.798117106864566,31.310579472141757,461435
2016-07-20,31.310577392578125,31.75583007820534,30.89892632502543,31.604611580306983,107630
2016-07-21,31.024944305419922,31.48699942474889,30.78971694388498,31.150960794660755,74930
2016-07-22,30.453678131103516,31.23497275056976,30.294060006327047,31.083754230367727,79950
2016-07-25,30.940935134887695,31.083750830160117,30.11763296841082,30.41167037207611,86455
2016-07-26,31.30217170715332,31.82303679858306,30.403263610460442,31.30217170715332,289595
2016-07-27,30.621700286865234,31.67182716086793,30.546091023747724,31.167764338506903,61380
2016-07-28,32.29350280761719,32.839570103424556,30.596497272116107,30.604900082365333,497880
2016-07-29,31.45339584350586,32.74715279254826,31.21816847267363,32.69674555391312,114040
2016-08-01,32.14228057861328,32.54553210119771,31.176165818572642,31.58781374097564,107690
2016-08-02,31.48700523376465,32.9319809034503,31.117361711052684,32.83956922158905,140475
2016-08-03,27.86616325378418,30.075630940470404,26.900048519678823,30.075630940470404,739815
2016-08-04,28.3198184967041,28.874285313500096,27.488119873876432,27.958574624653252,111350
2016-08-05,28.96669578552246,29.201923151180488,28.227405658798304,28.39542657915368,99465
2016-08-08,28.177003860473633,29.33634157292431,27.90817164847932,28.899491631983125,80335
2016-08-09,27.958574295043945,28.54664593131471,27.773754161445922,27.773754161445922,49690
2016-08-10,27.429311752319336,28.36182160619928,27.32849727779246,27.95017371844491,55415
2016-08-11,27.269689559936523,27.664538227307446,27.135273469621456,27.555324152447586,35195
2016-08-12,26.84123992919922,27.639336887010817,26.63121458265577,27.639336887010817,45270
2016-08-16,26.715225219726562,27.546927057546874,26.244768860779796,26.639615961742894,50605
2016-08-17,27.185684204101562,27.504923661461074,26.26157226247628,26.26157226247628,53370
2016-08-18,27.227689743041992,27.622538477272318,26.664821668650358,27.471319949470615,45180
2016-08-19,27.152080535888672,27.538526461197165,26.900050723936737,27.29489945899229,29225
2016-08-22,26.93365478515625,27.723349028007803,26.883247542310595,27.160482570862438,68815
2016-08-23,27.034465789794922,27.303298006091662,26.538805790110406,27.051268203905067,120440
2016-08-24,27.177282333374023,27.378908104126182,26.715227147785924,27.05126903079522,36865
2016-08-25,27.420909881591797,27.840960592289544,26.715224559430276,26.967254344902408,116295
2016-08-26,27.950176239013672,28.328222540750748,27.13527678912851,27.21928885881051,87230
2016-08-29,28.865886688232422,29.62197607965144,27.941773159076632,27.941773159076632,334570
2016-08-30,29.101112365722656,29.386746973666092,28.412229465047176,28.731468898568085,127615
2016-08-31,29.8656063079834,30.04202684571886,28.731470617132324,29.151521347778313,155790
2016-09-01,30.1512393951416,30.32765992387869,29.084310209151806,29.739591494755057,132755
2016-09-02,29.63037872314453,30.730912783668142,29.428752963721095,30.243652401155593,73775
2016-09-06,29.781597137451172,30.41167322693999,29.075911789034393,29.73959270576513,90340
2016-09-07,30.36966896057129,31.587813509761133,29.747992472142503,30.075631527702956,240450
2016-09-08,30.033632278442383,30.747717358414132,29.672388333120217,30.075636717605434,56470
2016-09-09,29.395145416259766,30.243646305298526,29.327935775087703,29.52115868635926,69110
2016-09-12,28.8322811126709,29.38674793388639,27.882965589849658,28.765074664052513,112165
2016-09-14,30.033632278442383,30.294064928826565,28.899496397373536,28.899496397373536,98360
2016-09-15,31.10895347595215,31.184562729313797,29.437153502902678,29.99162029264392,160945
2016-09-16,32.15068435668945,34.14172398755678,30.159644725822123,31.083755081486697,971455
2016-09-19,31.638221740722656,32.595936919164544,31.251775827444845,32.1002769157055,153010
2016-09-20,32.52032470703125,33.90649331095154,31.293777421524748,31.87344623885062,487365
2016-09-21,32.486717224121094,33.099994021439535,31.93225046885605,32.587531692156396,95515
2016-09-22,31.764232635498047,32.84796092223728,31.587808919521283,32.587531559371286,116375
2016-09-23,31.1341609954834,32.066670916146215,30.98294247759587,32.05827131170034,89110
2016-09-26,30.789724349975586,31.923860207015753,30.504089683091905,31.0837586226206,76425
2016-09-27,31.184566497802734,31.419797094872262,30.58809520738741,30.8989318622227,86090
2016-09-28,30.84012222290039,31.58781197064201,30.747710554351187,31.25177332696523,86465
2016-09-29,28.941492080688477,31.587809404153507,28.647454686037484,31.083749877226545,70905
2016-09-30,29.907609939575195,30.39487031235394,28.73986945239307,29.537966460204625,86955
2016-10-03,29.966415405273438,30.966138122487237,29.865604134579886,30.058827072047738,29820
2016-10-04,30.1512393951416,31.058550465331066,30.092432552229237,30.24365106392748,110285
2016-10-05,30.344467163085938,30.898934059256288,29.92441638705588,30.24365587416399,60670
2016-10-06,30.15964698791504,30.739315904883966,29.773197838535992,30.403274002310823,40370
2016-10-07,29.8656063079834,30.38646831665926,29.672383356454173,29.90761074010145,53520
2016-10-10,29.714384078979492,30.277253654236585,29.260731782113414,29.90760700638645,41695
2016-10-13,28.723068237304688,29.89921158259096,28.597054939066528,29.621976557947974,48175
2016-10-14,28.874286651611328,29.403551475495426,28.563450004766985,28.81547980503896,49500
2016-10-17,28.597055435180664,29.134719875016494,28.56345060650771,28.75667356427791,30550
2016-10-18,28.5550479888916,28.899489434615564,28.311417813817148,28.6054520218501,72900
2016-10-19,29.311138153076172,29.55476833502632,28.731469324566525,28.899490250212576,46950
2016-10-20,29.36994171142578,30.075626956424898,29.235525626889387,29.235525626889387,70420
2016-10-21,28.807079315185547,29.40355057193758,28.613856367423594,29.075911521178934,71975
2016-10-24,28.958295822143555,29.428750547619345,28.73146806318953,28.773472491573806,218965
2016-10-25,28.849084854125977,29.336342044422146,28.731471160079757,28.815480025903398,68335
2016-10-26,28.681060791015625,28.975098198808833,28.613854346629935,28.815476884519462,85750
2016-10-27,28.916290283203125,29.067508800124028,28.53824719563357,28.949895110237257,34645
