Price,Close,High,Low,Open,Volume
Ticker,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS
Date,,,,,
2019-10-14,138.06175231933594,141.10659626248986,118.56900500221988,118.75871251547234,226353035
2019-10-15,135.29197692871094,141.78954947025338,132.04793081268264,139.62685205956785,52650205
2019-10-16,132.92059326171875,136.78119228446064,132.46527789133654,135.45322530523225,17381530
2019-10-17,137.4072265625,139.0577120520196,130.359478534576,132.8162389153918,25164650
2019-10-18,147.8128662109375,149.8522473085513,135.84214409118857,137.5400458752653,48666150
2019-10-22,160.2483673095703,164.43148484520168,148.16381036455323,149.29258949071604,46733940
2019-10-23,170.79629516601562,172.61751352893756,164.28922693891883,164.28922693891883,45116345
2019-10-24,171.12828063964844,180.88887496981346,163.65368577431417,175.47265081184105,59356565
2019-10-25,170.55914306640625,173.7747339609318,166.18631750435176,171.68792233012346,19247675
2019-10-27,172.2001495361328,175.48214631678084,169.79083346326362,172.8261974237214,6711285
2019-10-29,167.5332489013672,172.1432121808622,166.68903820388016,172.06732628433187,10118740
2019-10-30,168.9276123046875,174.53355776979885,167.10639430828792,167.1348497087196,16381015
2019-10-31,167.2676544189453,172.20012187148802,166.37601323267225,170.73935817554928,9198590
2019-11-01,168.9371337890625,172.24757133505815,167.53326626835465,167.89372069580077,9411150
2019-11-04,167.59967041015625,170.3599604544309,166.99259765399762,169.79082341326387,4195835
2019-11-05,167.22972106933594,172.06732760170456,165.29466687738454,168.21620878427328,10190335
2019-11-06,167.76087951660156,169.79077988148597,167.13483182657816,167.8936761956593,4950450
2019-11-07,167.22972106933594,169.22167159192716,166.96412766632378,168.65254907422465,3875510
2019-11-08,166.3570556640625,169.03196479817026,165.48438955423808,166.8977227818455,4743845
2019-11-11,176.98085021972656,178.96332060886786,167.70401196202772,168.08342700751905,27509375
2019-11-13,176.819580078125,186.08692260710592,171.34643103857638,181.17343024218098,30872350
2019-11-14,172.12425231933594,179.6557430427332,170.17022304103122,173.5850160311459,14336980
2019-11-15,176.0891876220703,178.2898351459989,171.1187700748814,174.53356296588973,15970190
2019-11-18,174.9414520263672,177.92939974313924,173.97393933217984,177.2085053775917,5720000
2019-11-19,171.22311401367188,175.29241014441308,170.7393577107099,175.05527214759266,5522965
2019-11-20,169.92361450195312,173.9644410444693,168.84226573853297,172.44676644118536,6322985
2019-11-21,167.8557586669922,171.87760965325734,166.9641175223001,170.35993522450306,6485590
2019-11-22,166.16734313964844,168.65255938223666,165.50335959153549,168.65255938223666,3738365
2019-11-25,167.35304260253906,168.84227636960674,165.63616559121098,166.7554646125989,3437825
2019-11-26,166.69851684570312,169.79079084267775,166.09144420599787,168.27310200653793,3971740
2019-11-27,167.56170654296875,169.03196505116628,166.9451535268319,167.15383612664084,2933130
2019-11-28,167.4099578857422,168.42490106119922,166.58470775333151,167.88423391462538,2078740
2019-11-29,170.21766662597656,174.28696312494904,166.56574982873224,167.35303531251353,8998765
2019-12-02,167.1443634033203,171.28005092780157,166.5942014764678,171.11878434210294,2332100
2019-12-03,165.99658203125,168.65253023850065,165.2377376186422,168.08339331060648,2754285
2019-12-04,165.82586669921875,167.89370310074082,163.58728341225867,165.42746212444834,3705230
2019-12-05,166.17684936523438,168.6335958992845,165.42748507995995,166.8503132697776,2634880
2019-12-06,165.49388122558594,166.68905162622931,164.69710095849035,166.37602770549407,1776855
2019-12-09,164.55479431152344,166.29064618099125,163.9382413107514,166.29064618099125,1771245
2019-12-10,163.32168579101562,165.01012176382514,162.25931212161254,165.01012176382514,1974045
2019-12-11,164.03311157226562,165.03858897992262,162.29727392525325,163.89083454341437,2205205
2019-12-12,165.02908325195312,166.56574743042998,163.16992932071756,164.09950628633533,1451385
2019-12-13,168.9371337890625,171.38438545551946,165.0670395073594,165.8543394825012,7002525
2019-12-16,168.21621704101562,169.69595592293072,167.35303120197992,169.69595592293072,1780960
2019-12-17,168.22569274902344,170.4547811290782,167.51427879232966,168.6525382282889,2816655
2019-12-18,166.06301879882812,168.36799339480194,165.67410897418657,168.23519668318727,1424660
2019-12-19,164.9911346435547,166.18630493451485,164.3271511485768,165.4654106362181,1513725
2019-12-20,164.45045471191406,165.80689159087214,164.19435609441368,165.80689159087214,1306000
2019-12-23,164.0520782470703,165.04806081917863,163.34066419181525,164.66864577921166,1641045
2019-12-24,168.3774871826172,170.70145153252747,166.03456221078426,167.89373079596106,12020790
2019-12-26,166.3570556640625,168.46284227806999,165.9017402794763,168.08341279091482,1962805
2019-12-27,167.05897521972656,167.96959151696186,166.37601661523885,167.3150883148482,2102615
2019-12-30,175.70028686523438,177.84402369672804,167.57120356846835,167.94113827785145,15237855
2019-12-31,177.0851593017578,181.11650493992974,174.78017062228648,176.81007114114524,19445900
2020-01-01,179.15301513671875,180.95527265646615,177.34129178109157,178.68823391076825,8593275
2020-01-02,176.50653076171875,179.08659296297475,175.87100275627188,179.08659296297475,3287655
2020-01-03,176.69625854492188,178.9917525589884,175.96586948061523,176.0512501573555,4342850
2020-01-06,169.68646240234375,175.87102533832015,168.8612268148512,175.86153055535758,3923670
2020-01-07,172.14321899414062,174.8181426761253,170.1702290275273,170.1702290275273,3486795
2020-01-08,170.0089874267578,171.23262773095905,168.1403386472848,170.54966906669702,2770350
2020-01-09,173.3289031982422,174.6473899015048,172.63646428973146,172.70286987724526,2997000
2020-01-10,174.01185607910156,175.93741542115717,172.38034553207598,173.01587361540794,2543885
2020-01-13,178.16653442382812,178.85897337208954,173.78422855650095,174.53357831232418,3914925
2020-01-14,184.806396484375,186.61813436226342,178.71669409825125,179.27633633055535,14487235
2020-01-15,186.940673828125,188.9515999090934,184.74952050900222,185.53682059086924,8562850
2020-01-16,190.40283203125,191.29447319485055,186.817306758636,186.82680154149622,7607070
2020-01-17,193.8555908203125,194.4531832834687,191.607526942735,191.607526942735,5496735
2020-01-20,188.44882202148438,195.06023054635307,187.4433592283918,194.8705230431996,4438240
2020-01-21,186.4379119873047,188.64804004410274,185.53679041684128,188.2686105323904,2882445
2020-01-22,189.11282348632812,190.848675528921,187.24417473153582,187.81331176882256,2970515
2020-01-23,188.85671997070312,189.85268804961044,187.6235994042515,189.4448176132969,1633700
2020-01-24,190.22259521484375,192.10073843306876,188.21166978083912,189.71038354771653,2432850
2020-01-27,191.15219116210938,193.02083964338024,188.76183621864925,190.07084252855068,2760640
2020-01-28,198.94927978515625,201.07402676800695,191.6359383019427,192.29044142567912,6514465
2020-01-29,211.79269409179688,214.35378165375573,201.75701197272753,203.46440850528515,14390900
2020-01-30,215.7291717529297,220.8229057722837,211.72629567813456,214.90393615470535,19073065
2020-01-31,229.60650634765625,234.2923557790379,217.41762121911353,218.56536109151335,16631450
2020-02-03,237.2992401123047,239.60422888218505,225.00601491879002,226.58060015917175,14263290
2020-02-04,267.994384765625,272.80355016215555,243.96757629613336,244.72640628701214,32973625
2020-02-05,286.1876525878906,293.6337925341716,273.3727331055661,276.4080825270823,54801510
2020-02-06,285.3813171386719,296.5173363786938,279.2536798325658,290.6363028878131,27968115
2020-02-07,287.126708984375,289.87750406198745,281.15081387006813,284.56560694288487,11897055
2020-02-10,280.8092956542969,291.7745526415177,278.11541189438327,289.0996294973587,14954080
2020-02-11,267.11224365234375,285.5141462951542,261.5347533721858,283.65499251760457,14445050
2020-02-12,268.4876708984375,275.08011983203846,256.10907708500133,264.64604632116806,26712510
2020-02-13,299.8088684082031,305.39582520984555,287.4776911405396,300.4064608612381,56906935
2020-02-14,295.4549865722656,304.2765085691119,293.7855257936328,303.34691719055326,16647740
2020-02-17,288.1036682128906,296.8967335753131,286.4626630662765,296.87777295912593,7844795
2020-02-18,310.85943603515625,312.64271827437744,281.7199199272093,287.4112314408903,37932555
2020-02-19,347.530517578125,355.27070606641144,314.61574864543167,316.1144771505293,66560220
2020-02-20,366.1506042480469,375.05749338670233,353.2502899385737,354.7584842991923,60260010
2020-02-24,366.8085021972656,379.47087887219516,345.5456062890087,362.3270767143826,49287130
2020-02-25,372.2338562011719,380.2527004765724,365.56892553748963,366.77033509283416,28821120
2020-02-26,372.1766357421875,378.2885248619779,369.9550114918822,373.578270583678,18443625
2020-02-27,364.11962890625,375.67595044178086,360.1912454507553,375.10384926612323,17376895
2020-02-28,332.5400085449219,355.8242759443507,330.15627761797015,351.2665835759501,25451290
2020-03-02,328.62115478515625,357.3117380410743,312.0685404392604,345.16425399373855,24522045
2020-03-03,331.6817932128906,344.97347722904686,321.6224618241151,337.53624947318445,21576015
2020-03-04,298.51934814453125,336.58277250084194,298.51934814453125,334.1036867704159,22030465
2020-03-05,272.86083984375,290.80553857647254,269.0945345090515,287.3825055197956,38036670
2020-03-06,259.2259216308594,259.2259216308594,259.2259216308594,259.2259216308594,1160040
2020-03-09,246.26797485351562,246.26797485351562,246.26797485351562,246.26797485351562,675325
2020-03-11,245.1143035888672,258.57761191430154,233.95843062664034,233.95843062664034,20419620
2020-03-12,232.8618927001953,232.8618927001953,232.8618927001953,232.8618927001953,677425
2020-03-13,234.1300506591797,241.95821474551326,221.21975602611434,221.21975602611434,15914735
2020-03-16,222.43064880371094,228.45672620823012,222.43064880371094,225.23391806789326,6725625
2020-03-17,211.3129425048828,224.79532200075766,211.3129425048828,219.68460308659812,8989995
2020-03-18,200.74826049804688,207.4703840578348,200.74826049804688,205.30596703315578,2059540
2020-03-19,190.71754455566406,196.991525985447,190.71754455566406,190.71754455566406,3359100
2020-03-20,181.35423278808594,191.6519525514228,181.18261115744698,185.0251839675569,15339665
2020-03-23,172.28651428222656,172.28651428222656,172.28651428222656,172.28651428222656,831170
2020-03-24,163.6764678955078,167.4236851057162,163.6764678955078,164.19134726097423,1346635
2020-03-25,155.4955291748047,157.32623268193424,155.4955291748047,156.42041788844165,1476345
2020-03-26,163.26644897460938,163.26644897460938,147.72452476192436,147.72452476192436,5266130
2020-03-27,171.42835998535156,171.42835998535156,171.42835998535156,171.42835998535156,797295
2020-03-30,178.4556121826172,179.9907352800359,163.647878772021,169.70254580224562,9125940
2020-03-31,187.37075805664062,187.37075805664062,187.37075805664062,187.37075805664062,323060
2020-04-01,196.73410034179688,196.73410034179688,196.73410034179688,196.73410034179688,280930
2020-04-03,206.5645751953125,206.5645751953125,206.5645751953125,206.5645751953125,1114130
2020-04-07,216.89088439941406,216.89088439941406,209.57760054977635,211.67528060085831,2977140
2020-04-08,227.7321014404297,227.7321014404297,227.7321014404297,227.7321014404297,481645
2020-04-09,239.1167755126953,239.1167755126953,239.1167755126953,239.1167755126953,513775
2020-04-13,246.15357971191406,251.06405931809405,228.85722968715123,240.08936800212095,18673095
2020-04-15,234.66397094726562,245.77216404453335,233.85349674026176,233.85349674026176,7513670
2020-04-16,246.39195251464844,246.39195251464844,226.93117088131092,233.41492153060457,6640150
2020-04-17,258.7110595703125,258.7110595703125,249.55755653490237,258.7110595703125,9751210
2020-04-20,271.6404113769531,271.6404113769531,261.2568671777889,268.3127037563665,5904465
2020-04-21,278.8201904296875,283.18717172236876,263.1638363480598,268.8847893121481,12942850
2020-04-22,273.54742431640625,287.76396913171226,267.18761776981574,282.23372534202366,10123290
2020-04-23,261.5143127441406,276.3125313027455,260.4082582262251,274.6057720028498,7430780
2020-04-24,248.44195556640625,257.0138421770851,248.44195556640625,253.6289560940873,4558270
2020-04-27,241.73887634277344,253.60986587408135,236.62815756794743,240.66142550086838,7345540
2020-04-28,253.3238525390625,253.81968720739812,235.51262158271,244.09405313835532,10009745
2020-04-29,251.53128051757812,260.1127120164864,248.96638366393105,260.1127120164864,6271095
2020-04-30,252.55149841308594,256.47988199552964,250.76847248498143,255.53593393906854,3995625
2020-05-04,244.5421600341797,248.67076869897878,242.20610691705616,242.20610691705616,3829230
2020-05-05,240.6614227294922,249.77680573019555,240.2800316734745,248.86146137609856,3284695
2020-05-06,231.927490234375,241.97729345232733,229.26723836402886,241.04287499978815,4604495
2020-05-07,231.6128387451172,238.17285646087,226.93118764271154,232.5377275225501,5116205
2020-05-08,236.7521514892578,243.18822479941147,233.03352262501926,234.55911619226666,9340630
2020-05-11,248.58494567871094,248.58494567871094,248.58494567871094,248.58494567871094,646280
2020-05-12,261.0089416503906,261.0089416503906,261.0089416503906,261.0089416503906,860400
2020-05-13,274.052734375,274.052734375,262.4010588056453,274.052734375,11339175
2020-05-14,264.9182434082031,281.28017144939054,263.6691710764081,280.31713511027004,19010370
2020-05-15,253.6479949951172,262.66805252865345,252.79940203333658,255.91731118012368,6426190
2020-05-18,240.966552734375,250.75890726623183,240.966552734375,249.91031432952084,4313685
2020-05-19,242.16796875,249.80543678704976,237.54353985370415,241.23355037566313,6044500
2020-05-20,254.26776123046875,254.26776123046875,254.26776123046875,254.26776123046875,2592840
2020-05-21,266.9778137207031,266.9778137207031,266.9778137207031,266.9778137207031,932825
2020-05-22,271.30670166015625,278.4197459256718,266.97783855886337,276.3220512691135,13014475
2020-05-26,262.7347412109375,276.322003878751,261.82894115871204,276.322003878751,5837790
2020-05-27,265.4045715332031,269.8192452719294,253.81964660588608,256.87080432307886,6029400
2020-05-28,263.4117431640625,267.7405764509495,259.7312484388437,264.8801000824638,3602915
2020-05-29,268.95159912109375,271.17322353443035,260.5608488269795,263.16389346599055,6210850
2020-06-01,269.9813232421875,276.5127509374334,269.15178964509903,276.5127509374334,4756855
2020-06-02,268.8562316894531,271.74531226646025,267.35924175759186,271.17321105255974,3180730
2020-06-03,265.5570983886719,271.1064003859734,264.8800980359396,269.8382686756483,4156685
2020-06-04,272.975341796875,274.5867462479948,263.46902159810475,266.501120384908,9243615
2020-06-05,277.695068359375,283.66393904364,273.842980692531,278.20996231221454,13630720
2020-06-08,292.1785888671875,304.1639920255733,278.2003906321508,280.32668857529325,21675725
2020-06-09,284.7890930175781,299.39660305465964,280.70814685324825,294.81985133517344,8001035
2020-06-10,277.3804626464844,287.3539844661665,274.03369519116654,285.2849223645647,5599610
2020-06-11,273.3376770019531,281.84281284928466,271.8502020990151,277.3709311999309,4297205
2020-06-12,271.7929992675781,275.3685957976635,255.72667547101773,255.72667547101773,7700555
2020-06-15,271.4115905761719,276.322070340351,269.00880033868503,271.74531871705875,3668070
2020-06-16,269.0849914550781,277.0371119017913,263.3163760166929,275.5592108187148,4455950
2020-06-17,266.04339599609375,270.3722589403293,264.31757735874396,265.0708443805796,2552960
2020-06-18,268.8085632324219,272.2602007182756,265.3282930430942,266.9778452049182,3245460
2020-06-19,271.5450439453125,275.7499479176988,269.8382848090747,270.7917769815449,7500115
2020-06-22,270.1052551269531,274.98713027993256,269.28526584500526,272.69875493925736,3847495
