Price,Close,High,Low,Open,Volume,DeliveryVolume,DeliveryPercentage
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK,KOTAKBANK
Date,,,,,,,
2016-04-11,133.3915252685547,134.11681413279751,131.20575913926106,133.31204093438754,9954090,,
2016-04-12,134.59368896484375,135.5276108300891,133.08351711550907,133.10339198670798,5928440,,
2016-04-13,137.5742950439453,139.08446702635396,135.75613075119568,136.51120916235695,12188990,,
2016-04-18,135.78594970703125,137.32592658016736,130.68912820745592,137.32592658016736,8191005,,
2016-04-20,136.541015625,137.50474231415694,135.16000755910804,136.59069522796315,5438255,,
2016-04-21,136.4516143798828,137.02786447673,135.74621549518366,136.9086455463781,10687120,,
2016-04-22,134.34532165527344,135.86542353577352,133.71939200091933,135.1302048173272,9875030,,
2016-04-25,135.20968627929688,135.6865922725258,133.35178738927874,133.35178738927874,6058445,,
2016-04-26,139.2633056640625,140.08793861126838,134.89177321824224,135.11035135654197,10542295,,
2016-04-27,141.5782470703125,143.02880981599813,139.29312145400203,139.57130907754365,9645560,,
2016-04-28,139.3825225830078,142.75059364364535,138.79634265695844,142.0749995241485,7576220,,
2016-04-29,142.502197265625,142.9393534944785,138.20021977007227,138.89568869775485,7450705,,
2016-05-02,142.71087646484375,144.01240041742037,141.49876671662224,141.9160481637018,6482800,,
2016-05-03,140.5747528076172,143.65469082291656,138.89568244065455,142.86980774562272,6790965,,
2016-05-04,141.60801696777344,143.18772811857028,140.0481806880798,140.29656351657306,10556840,,
2016-05-05,140.9125518798828,142.1246613284227,139.89914566747885,141.85640362159234,4879865,,
2016-05-06,139.6805877685547,141.08147080013188,138.31945448600672,140.296587597809,3336315,,
2016-05-09,141.8464813232422,142.27369254569155,139.67064514542744,139.69052001812548,9426675,,
2016-05-10,143.6348419189453,145.0555845455294,141.3596465210145,142.6214356451045,7884015,,
2016-05-11,145.36358642578125,146.4465320857543,141.87629643629074,142.63137489313593,20587085,,
2016-05-12,144.40980529785156,147.78780623343815,143.26723501075085,146.18821995956688,13928815,,
2016-05-13,140.7337188720703,144.83700846728743,140.48533601831792,144.45946167835618,7147530,,
2016-05-16,142.7207794189453,143.06852147267026,139.69052077971105,140.7039118915472,12194845,,
2016-05-17,140.86288452148438,144.0620569295545,140.68405614144783,142.86982224905134,12358385,,
2016-05-18,140.86288452148438,141.80673634521244,139.14407939742495,140.68405614144783,5739560,,
2016-05-19,140.29656982421875,141.18081212700636,139.42225737738679,140.73371088754928,4820755,,
2016-05-20,139.52159118652344,141.2205363556599,139.1440596067809,141.06156771151342,3002500,,
2016-05-23,139.7203369140625,141.21063413438713,139.29311049432405,140.28664197454046,7189935,,
2016-05-24,138.77647399902344,139.68059131127782,137.60411409441136,139.67066145381233,10344860,,
2016-05-25,141.62791442871094,142.17435977057178,139.19376535324398,139.88923435193638,14539060,,
2016-05-26,145.09532165527344,146.8439466539027,141.94582887853403,142.29357093896678,9680565,,
2016-05-27,147.54934692382812,147.9666283044037,145.67157313119478,145.9299010049462,6467605,,
2016-05-30,147.5592803955078,149.92387470042996,147.05256970438603,148.77138985571455,3645025,,
2016-05-31,148.34417724609375,149.0297163669958,146.94329427382317,147.69838787253812,5838425,,
2016-06-01,148.105712890625,148.98001009461507,147.12211148104166,148.98001009461507,4591255,,
2016-06-02,148.29449462890625,149.0297133390098,146.3273066576555,148.83101008657505,8029905,,
2016-06-03,152.86473083496094,153.49066042324773,147.6586212151203,149.0296992999066,12403875,,
2016-06-06,152.0599822998047,153.9973654786479,151.5234668594568,153.02370896109085,5788250,,
2016-06-07,153.41119384765625,154.7623972173818,151.1856779563181,153.00384231735157,9288805,,
2016-06-08,150.88758850097656,153.00381494857004,150.02322115087063,152.62626821630124,6138060,,
2016-06-09,149.57618713378906,151.39435180192865,149.04961659253482,151.39435180192865,6506980,,
2016-06-10,149.1688232421875,150.52002672879672,147.70833068092284,149.2483075837631,7553170,,
2016-06-13,150.20208740234375,150.5100949069627,148.03619597300371,148.2348992443056,8149210,,
2016-06-14,149.44699096679688,150.71870994256923,148.89061580990722,150.71870994256923,3317845,,
2016-06-15,152.11959838867188,152.62629396212265,149.62583994823305,150.420652966959,4436055,,
2016-06-16,149.91392517089844,152.1891049941328,148.30440944581633,152.1891049941328,5395000,,
2016-06-17,149.248291015625,151.18567425118525,148.78133003576093,150.22194756168594,4071290,,
2016-06-20,149.41717529296875,150.38090189059096,147.0426360336929,147.40030791693502,4470035,,
2016-06-21,148.3839111328125,149.73511435651446,147.5990128875282,149.04957530888908,3514265,,
2016-06-22,146.91348266601562,149.21848278143136,145.73117787923653,148.43358448899275,13434650,,
2016-06-23,148.4832763671875,149.04959658653556,146.67505696032546,147.24136201958626,4938325,,
2016-06-24,145.8305206298828,146.65515341468384,141.230465934456,145.0555674412909,10010940,,
2016-06-27,146.92344665527344,147.95671277004035,143.6745943261965,143.6745943261965,3874345,,
2016-06-28,147.6984100341797,148.59258240251447,146.5856443428138,146.72473815922342,3806320,,
2016-06-29,149.58607482910156,149.8245278062668,147.5692074391781,148.03616837774018,7386400,,
2016-06-30,151.6824188232422,152.3182782365622,149.8741997753976,150.99687981386444,16671825,,
2016-07-01,149.70529174804688,152.20899491470973,149.2085260889518,151.8115884514676,7826050,,
2016-07-04,147.82752990722656,150.27162381458257,147.2810997668787,150.1226001690488,5863470,,
2016-07-05,147.1221466064453,148.51308464493678,146.72472490967087,147.92690469729305,5626500,,
2016-07-07,148.21502685546875,149.32779248158423,146.87376838161532,147.24137019769478,4816065,,
2016-07-08,147.7281951904297,148.5726878352484,146.56576520161784,148.05606239139,3022315,,
2016-07-11,151.12608337402344,151.61291928695815,148.4534811019502,149.21850463367954,9358070,,
2016-07-12,151.74203491210938,152.35803464201928,150.6094098088362,152.01029261448812,7707845,,
2016-07-13,153.9973602294922,154.3451022682381,151.10618034418252,151.70230522200825,10092985,,
2016-07-14,155.13072204589844,155.88630310701234,153.97749308976813,154.89213027491388,7779395,,
2016-07-15,153.5301055908203,155.28979577883746,152.6353560958279,154.89213270770165,10296390,,
2016-07-18,154.45468139648438,155.65763711702851,152.97335851529527,154.09677859424477,11794690,,
2016-07-19,154.65350341796875,155.37924524437588,152.9833005566693,154.9915184965834,8044350,,
2016-07-20,155.5283966064453,155.95588363260936,154.69329508798077,154.69329508798077,6584740,,
2016-07-21,151.2435302734375,156.58223396769023,150.91545139140592,156.38340241884907,19245670,,
2016-07-22,151.1242218017578,152.08857075855568,149.77214600860955,151.51194863810824,7148085,,
2016-07-25,151.9891357421875,153.73887433102414,149.12591335147994,151.50198563075193,16965590,,
2016-07-26,149.46392822265625,152.30726290640604,148.40017126401725,152.20785473291144,8745100,,
2016-07-27,149.92127990722656,151.1142843815268,148.231188971145,149.54348934191276,5383780,,
2016-07-28,149.19552612304688,151.12420869955415,148.26100122161495,150.31893112232518,17177630,,
2016-07-29,151.81021118164062,152.33712164803927,148.98676355605622,149.42420209492508,7287990,,
2016-08-01,149.75225830078125,152.99325626680155,148.72826149903676,152.30727458663083,8753250,,
2016-08-02,151.1341552734375,151.71077732533792,149.1060342398742,149.18556988529562,7478715,,
2016-08-03,150.3586883544922,151.90959537794484,150.08032120514795,150.91542265318063,6721560,,
2016-08-04,150.39846801757812,151.37275316614344,149.3247595157439,151.06456200883315,6247560,,
2016-08-05,153.967529296875,154.29560812552407,150.4382281620498,151.07449811673737,11826830,,
2016-08-08,153.40086364746094,155.44885715588583,152.6949942958823,154.49444460823872,8299200,,
2016-08-09,152.0587158203125,153.67922222244852,151.13414246416235,153.6593345203104,4387675,,
2016-08-10,151.36280822753906,153.04296268036433,150.84583412592983,153.04296268036433,5469795,,
2016-08-11,152.03884887695312,152.8938381471647,150.94526782799582,151.31310693347817,5032730,,
2016-08-12,151.69090270996094,153.4804169616658,151.11428060830747,153.4804169616658,5640660,,
2016-08-16,153.6593475341797,154.2757298238164,151.54175458834965,152.40669525108385,9130715,,
2016-08-17,152.23768615722656,153.42075421981676,151.33298526584898,153.30144316795915,4074430,,
2016-08-18,155.9658203125,156.2740114268301,152.47626437572194,152.4862158115853,8828800,,
2016-08-19,154.8424072265625,156.27401842681593,153.89794613941189,156.27401842681593,4980850,,
2016-08-22,153.66929626464844,155.48861913072008,152.86400355769092,155.09095608051413,3063810,,
2016-08-23,154.7628936767578,155.09097255446952,153.3114097364419,153.76872077576763,2864930,,
2016-08-24,154.4944610595703,155.4687614142156,153.52017587479943,154.89213931755035,5708595,,
2016-08-25,155.2400665283203,155.88628790810185,153.5102156778485,154.6932836598763,7385560,,
2016-08-26,155.25003051757812,156.88047332829066,153.66929938161792,155.58804563409666,4269865,,
2016-08-29,155.36932373046875,156.86058292816574,154.12660773238792,155.23014014547863,3810195,,
2016-08-30,156.3137664794922,156.49272545051218,155.1306985612157,155.46872880205987,3995125,,
2016-08-31,160.43960571289062,162.04022447176283,157.70563060841076,158.07346967719974,16732220,,
2016-09-01,161.19520568847656,162.53734527374903,160.5589355907633,161.65253193208721,5809640,,
2016-09-02,161.77178955078125,162.19927654766565,160.71796887301105,161.45364699227667,4653795,,
2016-09-06,162.65663146972656,163.44202139898943,162.05018538388757,163.02447059445888,5139395,,
2016-09-07,159.8828887939453,163.64086104209457,159.55480992531335,162.8156957367246,5855265,,
2016-09-08,162.99462890625,163.5016667472623,159.11736102136683,160.0121104809943,8621810,,
2016-09-09,162.815673828125,164.1180376899516,160.77761667776693,162.98468137348925,5724665,,
2016-09-12,161.712158203125,162.05017332880806,160.061827643792,161.4437272880832,3707645,,
2016-09-14,160.25071716308594,163.04434032315046,159.7238067890461,161.83144828520545,10205775,,
2016-09-15,160.77761840820312,161.40395209531397,159.72379771995918,160.4495395801866,5913325,,
2016-09-16,160.3799591064453,163.03439859136992,160.0021685981469,161.2349331285983,21762045,,
2016-09-19,159.63433837890625,161.4934367141343,158.8887087574139,160.73785565563637,11289775,,
2016-09-20,157.62608337402344,159.72378836125037,157.37754020098646,159.4652937525742,7785335,,
2016-09-21,156.76116943359375,158.22260475278517,156.41321803418444,157.89454105815966,11589240,,
2016-09-22,158.10328674316406,159.44542598561836,157.278121563639,158.86880398655728,10557490,,
2016-09-23,158.30213928222656,159.7436868864368,157.68575696715536,158.21266736614342,20953255,,
2016-09-26,156.63192749023438,157.92435516269288,155.95588209869345,157.50678923769445,5588885,,
2016-09-27,155.97576904296875,158.7196804932387,155.5880422601059,156.13484033077737,7136570,,
2016-09-28,155.5482940673828,157.4372164542843,154.7927129767229,155.68747766252423,9776355,,
2016-09-29,153.61959838867188,158.95830192505596,152.95350437631967,156.5822293374603,275291850,,
2016-09-30,154.4944610595703,155.54829706581162,152.32717144060814,153.50028816943183,12160390,,
2016-10-03,156.6915740966797,157.61614751018283,155.71728900968355,156.87051791740691,4913960,,
2016-10-04,157.4173126220703,158.39161285811852,155.54827813163357,157.2582413382413,5760785,,
2016-10-05,155.51846313476562,158.0337345873956,155.1903994195149,158.0337345873956,5037740,,
2016-10-06,155.68746948242188,157.07930536070666,154.59387331386003,155.48862278277548,6813165,,
2016-10-07,155.61785888671875,156.08512129143577,154.12659976609993,155.60792262040198,3702290,,
