Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2016-04-20,36241.24609375,36617.03384226564,36126.81171060673,36274.46897917869,4642
2016-04-21,35450.34765625,36440.78192210522,35240.8704283427,36363.06574365864,5223
2016-04-22,34986.84765625,35535.198302424105,34860.94676317449,35437.74450503526,5823
2016-04-25,34851.9296875,35249.91592733064,34601.01236212238,34945.54591338107,6137
2016-04-26,35163.16796875,35382.63522001918,34847.131281679256,34945.5695056388,3045
2016-04-27,34242.9609375,35287.09423482561,34089.15123836645,35163.11208159653,8962
2016-04-28,33580.32421875,34586.26267869955,33469.0390610342,34443.52728412402,11105
2016-04-29,33260.046875,33813.51555389897,33031.37420891617,33813.51555389897,10273
2016-05-02,33653.07421875,34207.28139648295,33222.899198023006,33227.821109015305,8833
2016-05-03,32912.69921875,34398.57711907605,32682.453897814947,33961.165611716984,31798
2016-05-04,33188.48828125,33563.09561095214,32779.91977340424,32927.57706968084,9253
2016-05-05,33307.4453125,33441.56734363834,33124.4502591206,33399.97720921195,3695
2016-05-06,33215.05859375,33350.85328546712,32878.3500511984,33350.85328546712,3867
2016-05-09,33160.96875,33459.08646268848,33075.32753578341,33174.846225848945,5052
2016-05-10,32812.78125,33315.40798959377,32696.232016734342,33259.29824324562,7771
2016-05-11,32335.123046875,32776.522201754335,32158.772566078802,32770.07373120583,8083
2016-05-12,32777.35546875,32868.51076836662,32090.89907615496,32292.64737215534,9344
2016-05-13,32393.09765625,32976.78599939104,32336.937912835692,32776.95652005145,3899
2016-05-16,32515.119140625,32638.26685669069,32100.694353055653,32484.603301160274,5103
2016-05-17,32297.759765625,32710.953985240518,32228.016706528473,32517.376861544453,3289
2016-05-18,32360.962890625,32583.04098601614,32144.99103922529,32307.41405320392,5231
2016-05-19,32070.373046875,32416.383274145683,31893.97258483683,32287.725332797778,4674
2016-05-20,31505.927734375,32188.300428022994,31429.342061406103,32070.37071951855,5332
2016-05-23,31287.396484375,31849.624637593086,31224.59215355503,31702.017348841102,5300
2016-05-24,30677.72265625,31352.56650111762,30517.810570412825,31293.50358149228,10561
2016-05-25,31466.158203125,31569.12415432091,30712.711992978246,30909.588351907594,6196
2016-05-26,32044.6328125,32374.350748855744,31415.120610362646,31500.219653471897,8835
