Price,Close,High,Low,Open,Volume
Ticker,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS
Date,,,,,
2016-04-20,320.77203369140625,324.5413300070679,307.8874141817932,313.6719769888187,38835
2016-04-21,314.315673828125,321.88222492692415,311.899199605346,316.2842731890646,19210
2016-04-22,312.2164611816406,332.5183480416102,305.33097556380255,319.06461914658087,11290
2016-04-25,314.3904113769531,320.0163537159093,309.7534385821629,311.619423151935,19215
2016-04-26,317.254638671875,318.1503031071047,311.6286975007056,314.3903461183817,27775
2016-04-27,326.6312255859375,337.55655593122805,315.7338838668582,319.1113109687765,88550
2016-04-28,326.12738037109375,333.0875220058122,324.68125399094504,327.48023031845315,45865
2016-04-29,325.2130432128906,329.3182025069399,323.93484866979867,328.0400079638479,25140
2016-05-02,375.1281433105469,382.52676388592664,354.1638095264777,373.2061818478596,1188240
2016-05-03,377.26470947265625,387.8261879302408,369.4649084065078,378.42163915331923,414250
2016-05-04,374.0832214355469,378.79482049849565,371.4241880601754,378.79482049849565,82660
2016-05-05,375.42669677734375,381.5377835129194,372.07723015385375,374.3164339242149,72980
2016-05-06,373.18756103515625,378.0484711588718,372.30123548109094,376.3690680249634,29860
2016-05-09,377.3206481933594,382.34012138299823,373.18747187336834,373.18747187336834,51395
2016-05-10,395.234130859375,398.7608400548926,378.23501271168396,382.52678230525066,253350
2016-05-11,401.0840148925781,402.866004869182,386.25875574551657,391.8567087273356,115430
2016-05-12,408.3333435058594,412.3825259776994,396.52165959394176,401.1866202950469,115970
2016-05-13,392.78033447265625,406.77521595145294,390.3638883540365,405.8515628851033,51965
2016-05-16,392.65899658203125,396.5682353112597,387.72348943843184,387.72348943843184,18040
2016-05-17,384.999267578125,396.1485369718156,382.92802352957267,395.5793968620278,15410
2016-05-18,387.92877197265625,398.38760486816244,383.14251820631983,383.14251820631983,45575
2016-05-19,380.6887512207031,391.8566673799377,377.86178640208277,390.4665183140547,23685
2016-05-20,373.1035461425781,388.1247250918675,371.3402058271507,388.11538605934004,17330
2016-05-23,366.9737548828125,378.7947768255092,364.79989590831053,378.7947768255092,16150
2016-05-24,361.97296142578125,373.01024590581056,355.8991734876424,372.0772537665037,27820
2016-05-25,369.9967041015625,374.22315740606984,364.84656920629044,370.29526842327755,18380
2016-05-26,367.8974609375,374.1298414884578,365.91952219149084,374.1298414884578,8700
2016-05-27,389.84136962890625,406.411316480177,368.5878132386642,375.06277992614696,161255
2016-05-30,388.1993103027344,401.36384261750766,382.526731303087,388.124683468498,25000
2016-05-31,386.9864807128906,390.73709888513554,385.1858127067179,390.73709888513554,13240
2016-06-01,392.7710266113281,405.4410468692022,386.2400818763569,389.24431759335005,42710
2016-06-02,396.0364685058594,399.32059021259136,387.91008739631326,391.67004415123114,23430
2016-06-03,391.1849670410156,403.9856211169297,388.87113614335146,398.0144767533828,38780
2016-06-06,385.26043701171875,394.095873704384,382.5267768786828,391.4741680723698,19675
2016-06-07,382.74139404296875,388.3113585225453,380.84742104761057,385.148501350664,15665
2016-06-08,392.4445495605469,403.98565957523374,382.7134468573359,382.7134468573359,58700
2016-06-09,389.9347229003906,397.45463699387034,387.2103734240118,392.60306665558556,18280
2016-06-10,387.0424499511719,403.79898055390976,384.3927557312967,390.17731829884144,58970
2016-06-13,386.1001281738281,389.0577258116862,380.6607964776211,383.6463827410197,17580
2016-06-14,382.38677978515625,391.11026074563205,381.64036909592005,382.89991399997274,12145
2016-06-15,386.7066345214844,397.2027972387504,382.5268190292498,382.5268190292498,25335
2016-06-16,380.8287048339844,391.83802859031135,378.9720596843254,386.6505948426675,20855
2016-06-17,375.7811584472656,386.2680073544638,374.68957380755927,381.220517474868,20200
2016-06-20,378.95343017578125,382.7133873625037,368.7185052571853,368.7185052571853,17920
2016-06-21,376.6769714355469,384.0196158892313,375.25880499269226,384.0196158892313,4985
2016-06-22,379.7184753417969,381.5937987205997,373.39278954836675,373.39278954836675,13385
2016-06-23,379.69976806640625,381.59374075078625,375.44532668205846,375.9957885637332,9305
2016-06-24,377.4886474609375,380.660815226627,359.29529967437077,373.19687767316367,54745
2016-06-27,374.5030517578125,380.66080578115765,370.4445301192899,370.4445301192899,20000
2016-06-28,371.2095642089844,377.86180247233267,368.625186328652,374.50302520026895,21670
2016-06-29,371.72271728515625,377.8524536155524,367.2349991825695,372.45044996912674,14660
2016-06-30,379.4572448730469,396.5216799667864,373.5887445098551,373.5887445098551,75630
2016-07-01,383.0305480957031,395.58861258903966,381.0805982098014,385.69889157978236,45340
2016-07-04,376.8729248046875,390.92378704451227,375.06291740308814,382.9280359271309,30880
2016-07-05,376.21044921875,380.4742018673688,372.6370732035048,376.93818198455176,23805
2016-07-07,374.9415588378906,379.9424116753496,372.45048568844436,377.86182888589383,17030
2016-07-08,373.00091552734375,377.11541405979244,368.718485252181,373.1968358938435,19030
2016-07-11,380.072998046875,386.6319315577847,374.1391817887404,374.68964372669996,25070
2016-07-12,381.5097961425781,385.3257303459925,375.28672641991636,385.3257303459925,18395
2016-07-13,396.027099609375,400.5987545328035,377.8617449538009,381.3884534344635,121060
2016-07-14,410.33917236328125,418.9040313200839,399.13393033909347,400.4401417998237,241975
2016-07-15,416.0779113769531,422.89485359327574,413.5180275712519,414.45571017345424,68815
2016-07-18,409.86102294921875,422.8948038639959,408.8295664849273,421.93837802390675,27230
2016-07-19,407.8919677734375,426.9363008071123,404.159980387292,414.4463605812911,75375
2016-07-20,415.9465637207031,427.58320661533645,407.8918747317354,407.8918747317354,43880
2016-07-21,417.0155334472656,421.957109741889,412.5802850809581,412.5802850809581,169445
2016-07-22,419.9786376953125,421.39451884202816,412.7866001746433,413.5179913957453,36925
2016-07-25,464.771728515625,473.2296146756995,421.9758839025643,421.9758839025643,931710
2016-07-26,428.3052978515625,465.6532141845415,424.02946721576865,465.6532141845415,239340
2016-07-27,432.0372314453125,438.9010745240208,426.66430017524317,431.268324892691,80110
2016-07-28,434.2689208984375,446.31814730415067,431.3339699591008,433.82820895841246,47560
2016-07-29,436.98822021484375,440.34511132637124,433.0311985047181,437.5789648304007,18630
2016-08-01,427.8270568847656,441.2640354697613,426.6455676940949,438.83544105678334,34395
2016-08-02,410.8924865722656,431.31521045785524,409.76725611601637,431.31521045785524,31785
2016-08-03,410.8831481933594,421.2070429626028,407.46061236479585,415.5715612779128,32750
2016-08-04,415.64642333984375,417.24988067822267,407.9386736795593,411.0986870717827,37925
2016-08-05,422.894775390625,428.61464392948903,413.1616272011115,417.83129599824247,30015
2016-08-08,444.3583984375,449.9000771395946,400.69051510983695,432.27165660297356,165245
2016-08-09,439.05108642578125,457.58905911316594,433.2561868390049,445.77425391290393,84985
2016-08-10,439.47308349609375,449.71259029796613,437.14764891248944,445.48363252449485,40300
2016-08-11,432.8435974121094,446.31811873538413,431.94343024049925,446.31811873538413,37550
2016-08-12,440.654541015625,458.1517008793502,435.6473196191198,436.92255415494856,143060
2016-08-16,434.74713134765625,444.8365756657783,430.9588860063722,444.8365756657783,22380
2016-08-17,433.07806396484375,443.52386167302353,429.6461708936343,438.8073194260799,19995
2016-08-18,436.2286376953125,440.6920153876441,431.3339340813229,436.02234640829386,16295
2016-08-19,444.105224609375,454.95421906574904,433.2093574697253,436.2099532102086,83520
2016-08-22,434.0345153808594,449.5344072183448,432.318540241838,444.08647374075457,45470
2016-08-23,432.9842224121094,441.64839839555367,431.7558607907611,437.4944723442526,32460
2016-08-24,426.8612060546875,439.735568202516,424.2169345909258,433.7906647078833,25130
2016-08-25,434.65338134765625,444.4615329009362,425.7078817236815,430.2556478573259,51340
2016-08-26,427.5270080566406,439.0604926206254,423.8231503305875,437.8602600341037,34190
2016-08-29,432.6280212402344,439.0042517491335,426.64560141548435,431.3340146178523,32615
2016-08-30,440.38262939453125,443.430097858563,433.2093631946632,433.2093631946632,138735
2016-08-31,445.97119140625,452.90067930343355,436.96007568405804,440.3357386442625,39010
2016-09-01,444.3958740234375,451.9161062188138,441.63908509939574,446.35562707480864,15840
2016-09-02,443.2144470214844,450.0782619037486,440.71082188916114,444.799104288548,14815
2016-09-06,440.4764404296875,449.15000524921834,438.54481639157524,443.33636116710284,20925
2016-09-07,437.1850280761719,446.3368173537573,434.89708075677555,438.5446789871182,15565
2016-09-08,447.612060546875,463.4026574794807,436.0223197195881,437.7663952628843,51890
2016-09-09,445.8774719238281,453.829002229643,440.7577042137509,448.02474452087904,32395
2016-09-12,433.8844299316406,439.7824606296412,431.3339324905429,436.0223448002227,19915
2016-09-14,445.78369140625,448.2122859232769,429.833701112049,434.1376608421441,30680
2016-09-15,440.0169677734375,454.75734011836266,438.3103784893258,446.0275169703033,15480
2016-09-16,438.95733642578125,448.21225860976017,436.9600680170465,444.40526974848945,10440
2016-09-19,444.8272399902344,452.15053843886284,436.96945561867955,436.96945561867955,66240
2016-09-20,451.5972900390625,452.90068255051705,445.89619258879935,448.21226968767525,23840
2016-09-21,451.91607666015625,455.7886812136799,446.32746855045434,451.58788207337005,35665
2016-09-22,443.0268859863281,452.89129634316754,440.8983568493418,451.7754517931004,24230
2016-09-23,444.78033447265625,449.9657177961763,442.9612280480912,443.1675193523965,11720
2016-09-26,436.04107666015625,447.83713774538705,431.52146906070146,444.46147524819077,21805
2016-09-27,438.2541198730469,440.6921004769593,431.76534336870793,436.022430595984,32680
2016-09-28,435.81610107421875,440.41073991595454,434.14702725445994,438.8354400757824,12430
2016-09-29,414.3150329589844,439.7731080086039,407.92941719805947,436.11615185280107,63280
2016-09-30,416.94989013671875,422.14465902786674,408.82955652055693,414.268103394924,37855
2016-10-03,428.22088623046875,435.8348644231541,418.20644285237915,418.20644285237915,24960
2016-10-04,438.2541198730469,440.7108438281989,429.4586520708832,435.83488262037406,29880
2016-10-05,440.2044677734375,443.523872207883,438.0853245446781,440.3920157407765,18615
2016-10-06,453.50079345703125,456.2669397566156,440.4294966732735,445.15539603060404,39860
2016-10-07,447.4902648925781,457.5890959083758,445.3992224518002,455.9012787222473,17345
2016-10-10,438.54473876953125,452.23490924415455,436.3411791308961,448.2122432328418,21215
2016-10-13,431.5589904785156,439.7730984466431,429.64613875602515,436.96005090860484,19755
2016-10-14,437.8414306640625,441.8359669228363,431.5214603221536,431.5214603221536,39585
2016-10-17,429.880615234375,445.7837047031267,427.020666029658,445.7743187197247,33120
2016-10-18,438.4322509765625,440.7108127790961,434.7096499878176,434.97219996569225,23620
2016-10-19,449.3562316894531,452.23492397891505,439.2104996547336,442.4642592401455,26465
2016-10-20,513.043701171875,538.2016855781521,452.1505873168092,452.1505873168092,1005115
2016-10-21,520.7606811523438,531.6659322783081,504.07933149957773,512.9122838734295,225830
2016-10-24,527.9527587890625,539.3550105698828,520.9763983748345,523.4144073273575,216965
2016-10-25,505.65472412109375,532.2286167498085,497.59061948451875,531.6660300868025,210885
2016-10-26,496.7372741699219,519.6260774212205,490.604851596191,504.66070225944196,131110
2016-10-27,498.7252502441406,511.0370276164375,496.97178832424197,497.7500809232596,59670
2016-10-28,486.3290100097656,503.54484550482147,481.9687638642707,500.1691544539758,66485
2016-11-01,468.05364990234375,487.59495184628713,466.028252053086,487.59495184628713,69445
2016-11-02,460.1020202636719,468.84122761419184,454.70098878029876,468.84122761419184,52125
2016-11-03,469.69451904296875,486.65719111438966,455.91057559398786,457.795326473856,105790
2016-11-04,458.056396484375,483.6661261627317,447.8445910091554,474.21952213611587,71815
2016-11-07,461.64599609375,477.05340167112604,460.0495180472047,463.8281588525206,32375
2016-11-08,455.0144958496094,468.5514639687372,452.4922404052926,468.51366948830497,31835
2016-11-09,466.0009765625,472.14126933081747,406.20398313484634,435.1105979329828,85450
2016-11-10,469.6945495605469,475.8631802960173,464.7728773661773,472.7080182871679,24000
2016-11-11,440.9674072265625,466.6621783772101,438.93639339006234,462.8835372567469,41750
2016-11-15,435.42230224609375,449.658341098511,433.87307421308935,449.658341098511,49290
2016-11-16,437.6138916015625,455.3262725352469,434.35480197826655,443.99034873768886,35875
2016-11-17,439.90948486328125,450.6030484025521,434.5438202624192,440.21178313540725,28195
2016-11-18,440.84466552734375,445.87969259166476,430.2172364136653,435.4884285694014,24795
2016-11-21,419.3442077636719,445.8702594994291,408.08384294614376,445.8702594994291,45420
2016-11-22,419.15533447265625,426.9865786892511,411.91923102922436,425.07837471151294,23075
2016-11-23,425.51287841796875,429.8205279966461,417.5399414824562,420.0054915525048,17580
2016-11-24,429.0457763671875,438.3034639189656,422.08363508428573,430.7650649047846,47725
2016-11-25,443.045654296875,453.24797339737415,428.87575064132466,428.87575064132466,274115
2016-11-28,438.04840087890625,453.05906624078204,436.2535521515303,444.6138012142015,192560
2016-11-29,441.0807189941406,449.65822025897324,438.3222987398395,442.46937053338405,34330
2016-11-30,448.4963684082031,460.9281016417137,440.4100783994599,445.87966970796856,57300
2016-12-01,446.0497131347656,451.5476432412463,444.0375819947524,451.5476432412463,13515
2016-12-02,433.8352355957031,447.5800312017504,431.7097499558766,445.8796542213868,24555
2016-12-05,433.7785949707031,436.4330882879731,431.7097864666747,436.4330882879731,10390
2016-12-06,445.02001953125,447.5800408852237,435.70568276366777,443.4235413098296,16075
2016-12-07,439.0875549316406,447.5800418652364,434.968849831469,445.1239481303607,13170
2016-12-08,445.6623840332031,446.8243265927544,442.6961656509977,446.8148707644569,5165
2016-12-09,448.5436096191406,455.32626363994063,445.90799931564936,451.54762244790794,24095
2016-12-12,442.3277282714844,452.369471841861,440.2305812588552,452.369471841861,7900
2016-12-13,442.375,450.56518902794386,440.40066334300576,442.66784239996707,10330
2016-12-14,445.8985595703125,446.82433707409984,439.84328338222673,440.0983601222856,8970
