Price,Close,High,Low,Open,Volume
Ticker,NEULANDLAB.NS,NEULANDLAB.NS,NEULANDLAB.NS,NEULANDLAB.NS,NEULANDLAB.NS
Date,,,,,
2016-04-20,735.5558471679688,762.5487589851502,714.9689011414516,714.9689011414516,8104
2016-04-21,749.3945922851562,760.3971230038617,734.4800506442446,744.2600779497604,6986
2016-04-22,754.871337890625,756.9740675107287,743.4776425866435,752.8664443531691,3028
2016-04-25,744.9447631835938,756.9741859835815,726.6560984312675,752.0841718622405,1955
2016-04-26,731.3504028320312,757.9520880545186,724.74888464575,752.0840718889353,5712
2016-04-27,745.9716186523438,753.0132505899323,726.7538401945053,726.8027880874297,6343
2016-04-28,743.6734008789062,760.6906148790381,743.2821758566955,748.1721901715422,8653
2016-04-29,734.38232421875,760.5927872424957,721.9616767570805,760.5927872424957,8988
2016-05-02,722.0593872070312,733.5020308264333,715.8979820865989,726.6560118720532,2874
2016-05-03,733.3065185546875,760.837322417551,724.2111040680364,726.7049993751342,9270
2016-05-04,745.09130859375,747.6830395404638,715.4089515027459,728.611987518176,3460
2016-05-05,712.7683715820312,746.2160766001274,708.3184711371458,746.2160766001274,6134
2016-05-06,720.1524047851562,722.4996356001703,691.6436563330167,722.4996356001703,8074
2016-05-09,700.5922241210938,738.343164903088,695.604434129487,738.343164903088,26529
2016-05-10,673.1103515625,722.6950998965325,668.1225617192591,722.6950998965325,11407
2016-05-11,675.7998046875,685.5798308045405,660.3962635531612,660.3962635531612,7331
2016-05-12,704.7488403320312,710.861358235593,669.9319622303666,669.9319622303666,7006
2016-05-13,701.6192016601562,712.9151215635686,694.4797337809176,702.2059794372617,3930
2016-05-16,692.8171997070312,711.9860304972435,676.8268182889858,711.9860304972435,4798
2016-05-17,770.2261352539062,797.0723255181517,696.3869198224701,699.1742637701843,116910
2016-05-18,869.0531616210938,884.0166504488664,750.1280590558769,766.7541046933605,278050
2016-05-19,854.0408325195312,882.1584093130458,820.3486285623586,867.4883692468643,73525
2016-05-20,820.3976440429688,845.9724417366539,805.923214203789,845.9724417366539,40192
2016-05-23,767.8300170898438,802.9892316430015,748.4166843075973,799.0283320213093,72556
2016-05-24,733.7466430664062,772.328867692648,729.6879073350341,772.328867692648,19025
2016-05-25,774.5293579101562,790.2262914894743,730.6658948999409,730.7148427957857,66590
2016-05-26,753.6978759765625,796.0942731577584,748.1721363214806,774.529323519944,24903
2016-05-27,783.42919921875,787.292322553643,756.7297323923991,756.7297323923991,26553
2016-05-30,780.348388671875,786.852070898564,763.037728711221,774.7737612686069,26046
2016-05-31,783.3802490234375,788.2702630622855,744.895862414726,772.6222181379721,10599
2016-06-01,802.9891357421875,840.1043515714258,778.9791804733884,782.4021900548785,44357
2016-06-02,780.054931640625,811.25324172754,774.5781403836186,811.25324172754,7348
2016-06-03,774.2359008789062,797.0722412133355,772.9155613509365,795.1162357134255,3465
2016-06-06,778.0501708984375,793.9427175279396,769.7860347125849,775.5562755197042,4509
2016-06-07,808.8082275390625,835.8989140880097,778.5390322361831,784.8471615478811,42160
2016-06-08,807.39013671875,820.5442852927636,779.6637833752096,801.9622335400073,13496
2016-06-09,791.8400268554688,811.7423608622372,782.6467762409703,806.8523466401755,33679
2016-06-10,782.695556640625,804.9940064834527,780.4461623468068,800.9842192506701,8996
2016-06-13,774.9694213867188,797.0233719846087,757.9521492554467,797.0233719846087,6842
2016-06-14,786.314208984375,810.5686651836915,777.512184256938,778.5390752032955,16838
2016-06-15,789.5905151367188,796.7299831357599,775.2139221234328,784.3582241766509,8510
2016-06-16,779.859375,793.5514127673962,770.9106264392899,790.7640692635049,7561
2016-06-17,772.4754638671875,784.407109597531,763.8201632312802,768.7101770803921,3324
2016-06-20,791.791015625,802.6957703449648,767.7321714539108,768.7101742200941,8413
2016-06-21,802.1578369140625,826.0210672889791,774.7248727606869,804.651731892997,28768
2016-06-22,829.24853515625,888.8088653472131,794.6761029806299,795.1651043435733,232997
2016-06-23,826.3634033203125,868.2707956462759,820.5442752462662,836.2412068330277,87201
2016-06-24,808.123779296875,811.644625530476,767.7322717170262,810.7155108427525,39635
2016-06-27,831.9380493164062,847.9283701357174,806.9500317158064,806.9500317158064,19998
2016-06-28,813.3070068359375,840.7400298322768,808.0258281663164,821.8156421116314,8555
2016-06-29,854.5298461914062,875.8014045944541,819.0772488529931,821.522255565987,67114
2016-06-30,845.4345092773438,874.2855910883167,837.8060995844783,854.5299231300892,14436
2016-07-01,870.0313110351562,888.6133651755916,845.9724648145625,852.9652090654859,45004
2016-07-04,880.4959716796875,889.9826114545831,869.4445511902466,880.2025827572801,40511
2016-07-05,895.1659545898438,903.5768145200312,880.3492479243266,880.447024327708,51364
2016-07-07,868.173095703125,917.8556259018706,863.0874692151314,904.6525881291744,45861
2016-07-08,863.5276489257812,880.2025859771704,850.8136115727777,879.2245831038625,8665
2016-07-11,913.8458251953125,920.3983960937023,867.5862457606676,867.92858255058,58019
2016-07-12,925.3373413085938,938.784879346626,907.5865672213706,907.5865672213706,63935
2016-07-13,964.1640014648438,1021.0348860951528,929.1026262360107,929.1026262360107,198044
2016-07-14,960.643310546875,990.2767853068316,953.8461787220812,955.7532962401971,57573
2016-07-15,963.0393676757812,986.5114348411053,940.8386922100683,962.3058655768649,47964
2016-07-18,949.6895751953125,991.6948059870206,939.9584357227086,964.0662278123328,22615
2016-07-19,944.457275390625,964.7997208196243,930.129511108123,954.3350793699433,17264
2016-07-20,950.1297607421875,971.1568218394156,943.7238540673571,945.533135447538,23281
2016-07-21,931.0097045898438,962.3057917423652,924.4081862061088,951.2054250149258,21191
2016-07-22,933.8948364257812,963.3326949005444,923.2345827270193,937.9046237661139,30209
2016-07-25,938.3447875976562,952.0368266400535,925.1906381505569,938.8826771929541,57404
2016-07-26,923.4302368164062,959.4207271819696,914.9704888923679,939.4205583924181,32283
2016-07-27,895.6060791015625,952.5258549534897,889.9825629073675,935.9486952773085,41972
2016-07-28,902.9410400390625,928.1246108822857,895.8994082919618,904.6525448536504,36115
2016-07-29,895.3615112304688,909.5425510041899,891.2049995726538,902.941032488837,10147
2016-08-01,910.1784057617188,917.953480917448,841.6692561422842,895.4594146375921,30050
2016-08-02,884.7012329101562,915.3616538685972,881.6694483679404,910.1782514129304,8198
2016-08-03,867.243896484375,887.1462276042063,861.9626580135971,884.7012208478365,7721
2016-08-04,885.9660034179688,911.5986119760319,870.4786411154864,870.4786411154864,15103
2016-08-05,879.2515869140625,911.5986352620715,868.4692374647262,900.2281815919489,89799
2016-08-08,881.4081420898438,901.7965744154774,872.3901643801901,882.1923010586191,26718
2016-08-09,864.4503784179688,891.8963586035172,861.6567338240178,881.4080613528276,16225
2016-08-10,860.921630859375,870.6257698580782,845.9243740838733,864.4504358714003,15422
2016-08-11,850.7763671875,868.4692098930748,838.1805871068924,860.6275014516023,19748
2016-08-12,889.2498168945312,906.5996101069916,847.9337884686504,859.3533011864894,67674
2016-08-16,889.494873046875,911.5986785009424,881.2610546003857,901.4534913324933,52758
2016-08-17,944.4848022460938,963.1578593592433,883.1724535360327,889.4948432210728,61628
2016-08-18,927.3800048828125,964.4811232130879,913.8040713050118,944.9258511536942,18452
2016-08-19,930.7618408203125,958.6489305718741,924.3414535064185,928.2623080281849,16337
2016-08-22,945.955078125,951.6893633111971,931.741981594963,940.9070142194448,23268
2016-08-23,1014.815185546875,1023.3429959847559,945.9551204819049,945.9551204819049,106863
2016-08-24,1042.6041259765625,1058.6305929668727,1002.8074214926132,1023.2449091144368,77489
2016-08-25,999.7198486328125,1058.6306605333486,987.1730670163522,1048.8285247876695,48416
2016-08-26,1012.6097412109375,1027.2638871590852,1003.1506557235616,1010.502257969452,25090
2016-08-29,975.9986572265625,1022.3627468186107,967.6668419360944,1022.2647493932475,25236
2016-08-30,951.0521850585938,993.740472664652,948.0135470223823,992.6622617040574,27767
2016-08-31,964.1870727539062,969.2351365894714,937.3781965328002,952.0324009243662,21915
2016-09-01,990.309814453125,1003.7387530957837,964.2851546464622,964.2851546464622,41858
2016-09-02,996.7792358398438,1002.6605174520506,985.0656713300339,990.309790169922,9273
2016-09-06,1019.8140869140625,1029.2241120071355,994.5735908338876,1009.4727872600065,47251
2016-09-07,984.1834106445312,1023.7350635942728,975.3124899128317,1009.7670203970288,12022
2016-09-08,968.9901733398438,992.956408592698,965.5104269139265,984.1834846263066,11938
2016-09-09,983.7423706054688,988.1043332043741,961.5895666005108,969.1862221980174,16654
2016-09-12,976.9298706054688,985.1146299180715,946.151140824297,946.151140824297,26748
2016-09-14,982.9091796875,989.9177308035028,961.5895340547869,970.5094538137997,8622
2016-09-15,970.656494140625,996.8772073123107,962.5697321344041,982.1740036646364,20910
2016-09-16,980.8507690429688,990.0157423305773,967.6668840731674,980.2136062678983,17246
2016-09-19,983.497314453125,994.9168270891348,973.8912329156938,980.8017269905682,18649
2016-09-20,984.1343994140625,989.0354671402281,975.3614762187286,975.3614762187286,9497
2016-09-21,976.1947631835938,990.0157512251463,974.4303308144669,986.781058260899,5284
2016-09-22,981.1448364257812,989.0355441135176,978.2531942767994,978.6453036564039,16556
2016-09-23,993.3975219726562,994.91684114388,970.5585562054923,970.5585562054923,19615
2016-09-26,983.1051635742188,993.397405552275,976.5377210132,993.3484068416861,7487
2016-09-27,981.1937866210938,989.0354952054781,980.164574334891,983.0562163408805,13632
2016-09-28,982.5661010742188,990.260753625241,977.4689785728625,987.3201129314764,10765
2016-09-29,960.2662353515625,992.9563335569181,943.455548912669,982.6150924927755,37435
2016-09-30,954.6300048828125,965.5103514093236,946.0040777391961,955.7082158620208,6748
2016-10-03,976.6357421875,987.0750403787065,948.8467121018748,957.6686340119129,30871
2016-10-04,980.8016967773438,989.0355148857832,979.2333789602551,989.0355148857832,15635
2016-10-05,988.9865112304688,991.9271519934351,975.410517144947,980.8507504184264,13376
2016-10-06,985.212646484375,990.015716963013,981.3408507008179,990.015716963013,6578
2016-10-07,986.5849609375,995.8479911651531,980.1645740017154,985.2126380047038,4660
2016-10-10,986.19287109375,989.0355144418733,978.4002208984447,978.4002208984447,6601
2016-10-13,970.8526000976562,979.7235214681122,966.4906374863018,970.4604907153465,8923
2016-10-14,978.9392700195312,981.1937491860299,960.6582636486571,970.5584562552178,7057
2016-10-17,960.3152465820312,978.057088269653,952.2774833418009,969.9703263164159,13074
2016-10-18,968.2059936523438,977.1259135758007,961.834605184877,974.1852727446623,6482
2016-10-19,971.195556640625,977.2238938002505,962.5696895147477,977.2238938002505,14834
2016-10-20,943.5535888671875,979.5274400075176,911.8927015044274,965.5593961862272,14411
2016-10-21,950.7582397460938,963.5010171687936,944.4358497516401,944.8279591417974,10414
2016-10-24,948.2586059570312,963.6969692678748,942.9654288908902,953.796776581572,8777
2016-10-25,946.9842529296875,954.7769623395923,939.0445473890206,943.504506916864,12404
2016-10-26,969.2351684570312,982.9581584711043,931.202893812098,937.1331739598247,26130
2016-10-27,954.777099609375,980.0176012500023,941.4952165367961,958.7469529504604,21438
2016-10-28,968.6470947265625,970.6565206477879,951.1012472968586,954.7770483091577,19786
2016-11-01,954.777099609375,984.3795639844637,946.4942822511267,980.1646572293917,27063
2016-11-02,954.531982421875,968.2059739742531,942.0832578575687,956.6884642863791,14833
2016-11-03,971.9796752929688,982.8110822477599,943.5534840086858,954.5808858000024,14502
2016-11-04,970.2644653320312,984.1835112395768,955.708316443353,963.1089175949285,81994
2016-11-07,1005.5521850585938,1024.86246645055,985.1147536526197,999.817958931017,140306
2016-11-08,1013.7860107421875,1021.2356108688547,1003.3467109935393,1011.5805299356417,25136
2016-11-09,990.2606811523438,1009.668956172773,901.7964134225749,931.2028182080936,46543
2016-11-10,988.1532592773438,1008.6397464749336,978.0570716425577,1004.7188922612313,8855
2016-11-11,986.6829833984375,1001.8762941610107,967.5688182455227,989.0355199636384,15036
2016-11-15,981.3898315429688,993.8385557623955,946.0040860112914,969.4312141051927,41207
2016-11-16,969.4802856445312,998.7886973198686,960.7073616284692,998.7886973198686,11764
2016-11-17,958.01171875,983.154221015029,941.0050370632381,941.0050370632381,13537
2016-11-18,947.91552734375,966.392589160288,936.1039657104923,943.1615154279435,3717
2016-11-21,910.9124755859375,959.5311054591355,900.7672888786493,959.5311054591355,8956
2016-11-22,921.0086669921875,940.0248346055054,906.8936271657207,936.9861964016973,2781
2016-11-23,981.4389038085938,984.8696515372629,918.0190695445524,921.057767715012,7915
2016-11-24,972.1267700195312,990.0156669722476,944.0926869451729,955.757192075384,7575
2016-11-25,983.0562744140625,989.7217151390465,969.4312810128148,972.1758672139856,6344
2016-11-28,983.2032470703125,1004.4248357769039,957.864749246585,983.056250925677,46544
2016-11-29,984.281494140625,988.545399299319,969.8233437790336,980.213583836707,6945
2016-11-30,997.2202758789062,1001.778293021792,966.7846557521082,966.7846557521082,21569
2016-12-01,1005.84619140625,1034.125329324556,980.458635693732,997.2202640200348,28573
2016-12-02,1003.5916137695312,1014.4230213000179,989.5745720463852,990.2607334931449,4218
2016-12-05,1008.4437866210938,1011.5804222389127,987.0750825528926,1003.640716111638,7635
2016-12-06,1005.6990966796875,1016.4814456694307,997.1712268768478,1008.4926813505808,6123
2016-12-07,999.866943359375,1013.5409360383507,990.1138053652671,1013.5409360383507,2548
2016-12-08,1003.836669921875,1014.5210215191097,995.1618039587208,1001.8272441152814,4438
2016-12-09,1013.3447265625,1024.3230694931685,991.9760251933842,1024.3230694931685,3766
2016-12-12,1004.914794921875,1014.5209347261955,1004.7188000911598,1012.6585052145459,3563
2016-12-13,1019.5201416015625,1022.3627849730397,1004.8659961410743,1019.275088201521,15292
2016-12-14,1003.4446411132812,1024.3231781375732,995.4068778934983,1019.4221102995945,7062
2016-12-15,1003.7877197265625,1017.8047015029001,973.3520415619564,973.3520415619564,6752
2016-12-16,1007.8555297851562,1012.0704959353029,992.3682274030538,994.9657574283323,3961
2016-12-19,1006.7283935546875,1013.3937740285925,990.2117590262662,997.8574128963199,6691
2016-12-20,995.0147705078125,1014.5210444726295,992.466239158007,1009.6199766249356,2957
2016-12-21,977.0279541015625,1014.5211261551214,961.6385878552568,1014.2760727430066,4475
2016-12-22,986.9771118164062,1001.7783134560422,941.9852830051434,977.6160239411989,10910
2016-12-23,972.81298828125,989.9667260872108,966.4905986672695,967.5688096840769,4586
2016-12-26,954.924072265625,978.5471953816765,942.1322971371823,955.7082311564608,2256
2016-12-27,994.2306518554688,994.9168133474134,957.129590677894,957.129590677894,18455
2016-12-28,998.3475341796875,1013.5408447145772,980.3115803234034,997.9064261018864,18268
2016-12-29,999.2297973632812,1015.5013196741679,978.3511992029675,978.4002577464125,26119
2016-12-30,1011.8746337890625,1014.5211628736931,994.9168891949745,995.9461015976082,7885
2017-01-02,973.8911743164062,1019.4221063189372,965.5103603116856,1019.4221063189372,13004
2017-01-03,992.5153198242188,999.8179234857654,975.3125822238593,989.9667882639778,3895
2017-01-04,1008.9828491210938,1010.6002254983288,984.9676158284565,984.9676158284565,21186
2017-01-05,988.8394775390625,1015.5992971194352,980.3116071688363,1015.5992971194352,12334
2017-01-06,992.172119140625,1004.5717840500674,980.7526079061437,980.7526079061437,3396
2017-01-09,992.07421875,1001.6313019099049,983.2522958331647,983.3013543780311,5182
2017-01-10,990.9959106445312,1000.7490475466392,978.2041356328665,990.9959106445312,16054
2017-01-11,997.318359375,1004.7189602385761,986.1439001789109,991.0449682776357,4304
2017-01-12,970.8526000976562,1003.1015925716472,965.5104238580195,994.8678339905714,9433
2017-01-13,995.7008666992188,998.151400462422,970.4113702284588,975.3614364646324,14664
2017-01-16,983.4482421875,993.3974336453093,982.1739765387257,985.6537226737397,1073
2017-01-17,983.252197265625,995.2598133653744,981.2917701472986,995.2108146529138,1168
2017-01-18,977.076904296875,996.8772309779629,971.5387333546028,981.4388667814015,2954
2017-01-19,968.8921508789062,995.2598609855185,965.6083994020994,979.2333924573775,13996
2017-01-20,949.7780151367188,985.1147047701908,944.5828948283048,985.1147047701908,7642
2017-01-23,952.963623046875,974.3322664214044,941.9852193470518,974.3322664214044,1162
2017-01-24,949.287841796875,960.3642431486313,946.1021477012047,950.8561595745174,2265
2017-01-25,955.9532470703125,963.5499019432116,951.9343955201603,963.3048485602149,2936
2017-01-27,947.2783813476562,969.2841272812013,944.8768462285261,951.8363383754066,4203
2017-01-30,926.9879760742188,950.807153627429,913.9511476858557,931.3008798436649,7248
2017-01-31,882.0942993164062,953.747894154909,873.7624831804178,953.747894154909,11406
2017-02-01,937.2313842773438,955.7083892042941,864.5975108013184,905.7174888459157,25102
2017-02-02,911.8927612304688,935.9569947577797,887.583474286734,932.5753054731277,10267
2017-02-03,931.9380493164062,938.7505455761442,921.0086441076008,938.7505455761442,4178
2017-02-06,917.038818359375,957.2275758211031,912.6278571745511,917.9700332416691,5463
2017-02-07,912.0888061523438,926.105849456032,901.8455614901314,903.2668832556526,3796
2017-02-08,888.7596435546875,939.0445870325841,882.2411994736228,939.0445870325841,7550
2017-02-09,913.8532104492188,921.4008678213395,889.0538160786755,889.0538160786755,7748
2017-02-10,883.0253295898438,922.2338705687342,863.8621671519081,921.1066609120825,66269
2017-02-13,895.6212158203125,900.7183387194272,869.4494996379774,883.2704880462086,20532
2017-02-14,889.1517333984375,901.6494568092525,881.702133962987,901.6494568092525,5068
2017-02-15,882.9273071289062,896.3562439988337,877.3890769417058,896.3562439988337,2437
2017-02-16,897.5816040039062,900.6202422278944,865.2345552572999,878.2713841502826,5975
2017-02-17,886.9461059570312,893.3174933077215,882.1920947109699,888.5144833552279,5070
2017-02-20,882.3882446289062,898.7087642465729,880.1827641540199,880.2317628657422,7282
2017-02-21,894.68994140625,899.6400079990667,882.0942208868809,882.0942208868809,4324
2017-02-22,885.573974609375,921.4007691463219,874.3505171048076,882.2412244921054,11262
2017-02-23,890.1809692382812,896.6993535215975,882.1922047861669,882.241203498713,5319
2017-02-27,889.494873046875,896.8954740089918,882.1432708008996,892.0434045611495,9600
2017-02-28,895.22900390625,897.8755923995625,884.1526029960758,889.9848854580548,4911
2017-03-01,1074.264892578125,1074.264892578125,896.8463163185041,896.8463163185041,185246
2017-03-02,1192.968994140625,1289.0788645707344,1089.0172953580886,1096.8590040555366,660242
2017-03-03,1168.365478515625,1268.837366139859,1115.4830060134443,1223.3064951711585,328072
2017-03-06,1158.7103271484375,1237.02940788617,1133.5188886533124,1170.3748914549024,82948
2017-03-07,1144.9874267578125,1195.8605340641598,1127.8336895888594,1171.3551952513697,58875
2017-03-08,1139.1060791015625,1175.275981013712,1129.0099518916732,1158.6123515914992,21876
2017-03-09,1104.896728515625,1175.178115839376,1074.3631704211548,1139.0082098569833,44564
2017-03-10,1111.2193603515625,1151.457063674395,1102.8384847857772,1136.0677554019599,29850
2017-03-14,1113.228515625,1153.1232801483916,1098.5253119160056,1123.3247633671674,13429
2017-03-15,1119.60009765625,1150.7218842262066,1107.6415377653843,1113.2287082797234,20485
2017-03-16,1112.689453125,1134.058037065996,1112.5423971591379,1121.3643192511486,7931
2017-03-17,1105.6807861328125,1133.126763093556,1090.487477458115,1114.6007047140615,8604
2017-03-20,1131.313232421875,1146.8495896844745,1092.937856836059,1092.937856836059,27695
2017-03-21,1246.8807373046875,1283.9817975255773,1120.7762358006382,1125.8243596888917,191790
2017-03-22,1215.954833984375,1303.242893104974,1201.7417383835902,1225.266862136613,134164
2017-03-23,1225.3160400390625,1243.8910396165777,1218.2584304326479,1227.8155128883309,15350
2017-03-24,1226.05126953125,1255.6536736155394,1200.761709741636,1238.9900417252472,15025
2017-03-27,1241.685546875,1264.4755125074007,1210.5637658501084,1228.0116153575505,23096
2017-03-28,1460.22412109375,1484.9255750829404,1215.2688433720455,1241.7346100108352,447879
2017-03-29,1431.9449462890625,1526.5355542407588,1411.6545735852483,1465.46832162555,142240
2017-03-30,1445.4228515625,1479.1422210224353,1352.7926727111944,1391.903216601629,199873
2017-03-31,1465.4193115234375,1503.2555320237493,1431.111836002822,1460.0281367987693,96898
2017-04-03,1468.5560302734375,1521.2915720639367,1440.9140534368473,1472.280889974248,76671
2017-04-05,1569.7138671875,1692.8286544923117,1546.7768481695819,1607.5500830152814,233906
2017-04-06,1556.873291015625,1591.7688708473122,1529.133198589478,1577.1636644426092,70079
2017-04-07,1505.902099609375,1591.7197226874998,1490.0225685712521,1534.0341801631575,54176
2017-04-10,1492.6202392578125,1524.9182290799745,1406.8515504152194,1461.4984578777858,180158
2017-04-11,1493.306396484375,1541.6309759727926,1486.0038528531256,1486.0038528531256,36621
2017-04-12,1526.192626953125,1548.737540517622,1506.441298312362,1510.509208821301,54165
2017-04-13,1500.0699462890625,1534.03437344032,1491.0029699604215,1519.3311685830645,17721
2017-04-17,1461.3023681640625,1527.711834357023,1449.4416888100513,1481.1026334695694,17774
2017-04-18,1431.0628662109375,1498.5506715372564,1415.4775649461533,1470.3204706389931,34587
2017-04-19,1365.388427734375,1440.9139302391734,1354.263027782231,1430.0825225614399,35987
2017-04-20,1313.2901611328125,1393.0794483169127,1284.471858854182,1372.298968935029,37729
2017-04-21,1397.392333984375,1465.419174441271,1211.1517700085612,1321.3277907336676,191905
2017-04-24,1335.7860107421875,1404.989063207009,1323.28828802198,1393.8636633831522,40605
