Price,Close,High,Low,Open,Volume
Ticker,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS
Date,,,,,
2016-04-20,268.33746337890625,271.5279464684484,254.22209466540895,258.8627597897602,812596
2016-04-21,264.4219055175781,270.60946888653336,258.3793574024598,269.159257338905,197356
2016-04-22,260.6997375488281,263.9385498304585,258.1860311733254,260.4580355801189,106637
2016-04-25,270.36773681640625,275.44347666716965,259.1044342865898,262.0531856361352,519051
2016-04-26,272.1563415527344,273.5582243856738,267.1289301911174,271.86631107229084,94450
2016-04-27,275.8302307128906,282.45286949578644,270.706161598766,270.706161598766,271364
2016-04-28,272.88153076171875,285.7884221743162,266.06554684392694,281.34109991730793,1601068
2016-04-29,270.51275634765625,278.10220195542087,268.2891106557833,272.8814467841255,190214
2016-05-02,264.37353515625,274.6216715363009,252.53014272219843,260.07122977631604,346647
2016-05-03,265.001953125,272.1079944586026,263.4550551570976,266.8388815536108,181019
2016-05-04,264.51861572265625,270.6578510547522,261.0381017977597,267.7090696094427,72930
2016-05-05,260.02294921875,273.1231820794707,257.2675413039249,264.61528590858177,123821
2016-05-06,256.20404052734375,262.48829057801447,255.1889042440872,260.1679579986927,132331
2016-05-09,262.4883117675781,263.93852343480233,258.13767676590555,259.104484544055,43885
2016-05-10,263.1168212890625,268.28925057954245,259.1045735326752,262.7784325495653,570487
2016-05-11,267.70904541015625,269.2559436263502,256.97747407205804,261.9081992279009,89376
2016-05-12,268.5791015625,276.9903382969257,266.8388599300227,272.5430180638342,152576
2016-05-13,266.2588195800781,272.39805402786055,264.9052947777597,268.48249486675576,100850
2016-05-16,268.4825439453125,272.5431190945402,262.00491973668505,267.46737802953066,446268
2016-05-17,268.86920166015625,273.0264625723102,267.0322731060563,272.05965496440217,47660
2016-05-18,270.7061462402344,272.1563577379499,265.8721079145159,270.7061462402344,74509
2016-05-19,267.8540344238281,275.05676286304134,265.8720906409011,271.2862191148775,136768
2016-05-20,258.18597412109375,269.35262031070846,255.23722255629096,268.434141230719,180369
2016-05-23,258.0409851074219,265.8721338602313,255.43062185957294,259.87791394952995,64746
2016-05-24,259.4912109375,261.7632151974814,255.72066637020802,258.62108980729926,24292
2016-05-25,267.7574462890625,269.49768862000167,258.6694288807704,260.5547159931496,83453
2016-05-26,264.51861572265625,270.31946242927313,262.00490958219586,267.90244296818275,125764
2016-05-27,257.6542663574219,269.1592727253636,256.39742807948204,266.2588494643045,88432
2016-05-30,256.7840576171875,294.8762642073053,252.33673756756292,259.3944199582172,108629
2016-05-31,262.0048522949219,265.8237540102959,257.84759153268294,259.1044295757899,173965
2016-06-01,259.8779296875,265.8721499612059,259.10449523492065,262.87503982435294,27862
2016-06-02,263.841796875,268.5791483709306,258.23432441118456,259.1044453790694,525077
2016-06-03,265.82379150390625,267.7574069227246,263.5517874858687,263.5517874858687,42135
2016-06-06,265.1953430175781,266.7422412543083,262.24659130430337,265.67874687251697,32369
2016-06-07,269.9327392578125,271.67298142952984,264.5186098835575,264.5186098835575,63656
2016-06-08,276.99041748046875,280.374244570108,267.0323095613827,267.0323095613827,154178
2016-06-09,284.096435546875,286.17506610583973,271.43124935545444,277.9572010318545,320255
2016-06-10,282.211181640625,289.0755226958679,274.1866889663047,278.4889658320763,183369
2016-06-13,274.47674560546875,280.2775927665761,272.0113973638519,278.4406637331523,40421
2016-06-14,270.0294189453125,278.392330397079,269.35267115749843,276.99044722185135,301350
2016-06-15,270.3194885253906,274.0900333477662,267.32237820337696,273.99334665906224,30020
2016-06-16,264.1319274902344,272.349794559602,263.26177678506366,270.8028960338528,71114
2016-06-17,279.939208984375,287.81871678565767,264.90535829883174,268.482559245597,506651
2016-06-20,270.4643859863281,280.03577390583143,269.11086144800015,279.40735495996006,112299
2016-06-21,272.97808837890625,274.47662811890586,265.96873439284155,270.70608497905056,95490
2016-06-22,269.8843688964844,274.57339223523036,266.9356171549651,270.8028480315176,56690
2016-06-23,269.7392883300781,273.6065182702943,266.9838810967495,268.28907710249706,24287
2016-06-24,260.84466552734375,265.8720765957312,252.57847276594464,261.08636741515807,92624
2016-06-27,260.94134521484375,266.8388770209416,259.104416817436,261.03803186831243,41608
2016-06-28,258.66943359375,265.67879064521003,257.31590847784327,262.0049325442297,231200
2016-06-29,261.1347961425781,268.2891680564913,259.68458442335384,259.68458442335384,186367
2016-06-30,262.2948913574219,265.6787179739256,261.71483039829394,263.2133703837521,379874
2016-07-01,271.0928649902344,274.5733785060252,262.00487878567895,262.97168645647486,351074
2016-07-04,279.0689392089844,287.5285036285641,269.73925406431454,271.72119735505413,320200
2016-07-05,270.1743469238281,278.48886718146247,267.805656928926,278.48886718146247,70101
2016-07-07,281.63104248046875,305.75290393677824,271.67293598809385,272.63974358947496,2279061
2016-07-08,279.98748779296875,290.5740133454341,275.1534497768768,283.17794108173877,1834786
2016-07-11,290.5257263183594,292.3626551262681,277.9572256789628,277.9572256789628,475011
2016-07-12,286.610107421875,291.4924737036181,284.7248209144793,291.0090699329653,359291
2016-07-13,299.3236083984375,301.5472538502841,285.30489962513667,290.04225048208605,492394
2016-07-14,285.9816589355469,297.53502085677434,284.14473050786785,297.4866922815557,298221
2016-07-15,291.39581298828125,293.8128320567053,284.5314729330314,289.12380916303715,448158
2016-07-18,291.0574035644531,294.29621478501645,288.25366754688525,288.6887427498808,411456
2016-07-19,290.18731689453125,292.7977094111844,285.7883537881058,289.9456149764941,62698
2016-07-20,293.9579162597656,301.3056618524152,288.0604119530113,289.9940276613594,444265
2016-07-21,287.23858642578125,296.7132905079531,286.27177868251346,295.84316943993826,319319
2016-07-22,287.04522705078125,290.67075626455323,285.20829815006323,287.238600410702,46998
2016-07-25,287.963623046875,294.2962004419567,286.2233518243334,287.04514410959274,159438
2016-07-26,282.59783935546875,291.97588453475987,279.0689976452949,287.1418467113367,218997
2016-07-27,281.921142578125,288.2053928812862,279.4074365559344,283.081294162084,160233
2016-07-28,281.14764404296875,288.060342128412,277.3287716474402,284.9665459431244,704370
2016-07-29,281.341064453125,285.11160890053947,276.02362165418276,281.38939304035347,60927
2016-08-01,280.3258972167969,286.22340043161836,275.9269045920055,281.92112397989825,50938
2016-08-02,274.47674560546875,284.5798995462511,272.7848318501458,281.38941590486144,63614
2016-08-03,279.35906982421875,282.8879116885872,273.1231489576708,278.4405907957848,78321
2016-08-04,290.67071533203125,301.06389761459997,279.35908348075657,281.4377140363447,889754
2016-08-05,298.6468811035156,302.41742508707466,291.2508083848752,294.58630662300146,1086102
2016-08-08,296.3265686035156,302.90084935143153,293.909549283748,298.7435879232833,281341
2016-08-09,285.35333251953125,299.7104350680739,284.3381960735737,294.97308247921507,174644
2016-08-10,286.3200988769531,288.6887895803948,281.7761203195385,286.56180080568674,109781
2016-08-11,291.00909423828125,293.9095171044435,284.28976946315447,286.70678851828967,35042
2016-08-12,286.610107421875,291.9758774742708,285.30491134018763,289.46217196595154,256555
2016-08-16,285.54656982421875,288.35030536692955,282.5011324329187,288.35030536692955,211123
2016-08-17,282.4045715332031,293.71620538091145,280.66429974573265,290.4774227714441,239788
2016-08-18,295.02130126953125,299.5169502214417,282.4528038314977,285.4015843947334,143349
2016-08-19,287.3352355957031,298.74355367530404,285.6916508448296,298.74355367530404,170775
2016-08-22,304.1577453613281,312.23059654036774,300.0004540422745,305.5112704052348,928708
2016-08-23,303.3359375,305.4629263934861,299.71040836653384,303.5293108556375,98400
2016-08-24,295.64984130859375,303.5776778177915,294.73139151479245,301.64406203551255,294519
2016-08-25,296.6648864746094,300.7738183385108,292.94267170873866,296.7132150476295,137206
2016-08-26,295.02130126953125,298.6951874541919,293.0393577061522,298.6951874541919,43436
