Price,Close,High,Low,Open,Volume
Ticker,OLECTRA.NS,OLECTRA.NS,OLECTRA.NS,OLECTRA.NS,OLECTRA.NS
Date,,,,,
2016-04-20,17.574321746826172,17.973737760592854,16.975196773893252,17.973737760592854,12161
2016-04-21,17.374610900878906,18.772567749535263,17.2747564321394,18.772567749535263,3004
2016-04-22,17.374610900878906,17.57431983835792,16.97519493048646,17.075049399225964,17829
2016-04-25,17.22483253479004,17.923812008173073,17.174906245790897,17.174906245790897,1025
2016-04-26,18.32322883605957,18.373155127244498,17.624249332075028,17.724103819010807,26775
2016-04-27,17.973737716674805,18.722643454869587,17.574321703884078,17.973737716674805,7404
2016-04-28,17.973737716674805,18.42308192141799,17.174905691093347,17.87388323733568,38033
2016-04-29,17.973737716674805,17.973737716674805,17.62424799127075,17.87388323733568,7558
2016-05-02,17.62424659729004,17.873881823610198,17.37461137096988,17.873881823610198,11181
2016-05-03,17.973737716674805,18.47300820880466,17.674176183223203,17.674176183223203,38064
2016-05-04,17.973737716674805,18.223372962739735,17.674176183223203,17.973737716674805,4031
2016-05-05,17.973737716674805,18.223372962739735,17.973737716674805,17.973737716674805,4211
2016-05-06,18.223371505737305,18.223371505737305,17.324685072668863,17.77402733692027,1009
2016-05-09,18.223371505737305,18.82249642930481,18.223371505737305,18.82249642930481,127
2016-05-10,18.32322883605957,18.87242565735748,17.973739084067297,17.973739084067297,5862
2016-05-11,17.973737716674805,18.872424221595388,17.973737716674805,18.872424221595388,3121
2016-05-12,17.973737716674805,18.822497934208716,17.973737716674805,17.973737716674805,5330
2016-05-13,17.973737716674805,18.32322744207886,17.973737716674805,18.223372962739735,12549
2016-05-16,18.273300170898438,18.87242517255669,17.97373862235225,18.87242517255669,6985
2016-05-17,17.973737716674805,18.872424221595388,17.973737716674805,18.872424221595388,11103
2016-05-18,18.32322883605957,18.473009614180278,18.023665375252225,18.273300640308715,26564
2016-05-19,18.173446655273438,18.872424200743474,18.123518463376147,18.872424200743474,6031
2016-05-20,18.223371505737305,18.32322597709283,17.973736279631314,18.02366256302626,4183
2016-05-23,17.52439308166504,18.27329880147236,17.474466795504178,18.27329880147236,12692
2016-05-24,17.52439308166504,18.473007755247274,17.174905269407542,18.473007755247274,1732
2016-05-25,17.923810958862305,17.97373724493862,17.42454047983623,17.97373724493862,1296
2016-05-26,17.973737716674805,18.17344667535306,17.07505121175422,17.07505121175422,22783
2016-05-27,17.973737716674805,18.373153729465532,17.973737716674805,18.373153729465532,5290
2016-05-30,18.023664474487305,18.872424714174244,17.873883703852158,18.473008690958576,12940
2016-05-31,17.52439308166504,17.873882798488268,17.124977078680946,17.72410203543995,676
2016-06-01,17.62424659729004,17.774027352169007,17.37461137096988,17.42453955897329,16016
2016-06-02,17.474468231201172,17.774029781909693,17.374613746109702,17.374613746109702,9431
2016-06-03,17.324687957763672,17.923812981103968,17.27475976148851,17.424542445748045,5780
2016-06-06,17.62424659729004,17.873881823610198,17.3246850875321,17.3246850875321,14013
2016-06-07,17.52439308166504,17.873882798488268,17.52439308166504,17.873882798488268,2325
2016-06-08,17.973737716674805,18.17344667535306,17.47446722454495,17.62424799127075,22227
2016-06-09,17.923810958862305,18.17344619837534,17.674175719349268,17.87388276822026,48589
2016-06-10,17.973737716674805,18.57286268814379,17.674176183223203,17.87388323733568,62649
2016-06-13,17.87388038635254,17.973734849764327,17.774025922940755,17.973734849764327,1100
2016-06-14,18.173446655273438,18.27329922993646,17.77402873835824,18.27329922993646,13318
2016-06-15,18.073593139648438,18.473009173292947,17.823957880549884,17.97373865509584,6466
2016-06-16,18.32322883605957,18.32322883605957,17.973739084067297,18.023665375252225,10731
2016-06-17,17.973737716674805,18.32322744207886,17.973737716674805,18.023664004061477,7999
2016-06-20,18.223371505737305,18.27329778913225,17.973736279631314,17.973736279631314,3281
