Price,Close,High,Low,Open,Volume
Ticker,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS
Date,,,,,
2016-04-20,949.863525390625,985.7690394002599,930.2787104341173,984.1369515645135,37841
2016-04-21,954.7597045898438,977.6086348624527,940.0710937499999,959.6559082031249,70170
2016-04-22,995.5614624023438,1020.042421711599,948.2314523406899,972.7124714180582,105899
2016-04-25,967.816162109375,1010.2499039621097,940.071030101984,1010.2499039621097,120385
2016-04-26,951.4955444335938,967.8161825386327,943.3351656129665,967.8161825386327,40627
2016-04-27,980.8726806640625,989.0329990170801,938.4388817849247,956.391665836907,27179
2016-04-28,933.5427856445312,972.7124138501495,913.9579715417221,972.7124138501495,40833
2016-04-29,931.9107666015625,949.8634931122523,918.8541838955063,935.1748823940216,4431
2016-05-02,884.5807495117188,940.0710760041089,878.0525179959855,938.4389882411209,17578
2016-05-03,858.4676513671875,897.6372771365176,851.9393604829305,884.5806953680037,11066
2016-05-04,811.1376342773438,858.4676378487054,802.9773156266043,858.4676378487054,10124
2016-05-05,783.3925170898438,819.2980273791635,770.3359950610483,817.6659397125244,10207
2016-05-06,781.7604370117188,799.7132222146985,773.600118135523,783.3925246942005,6751
2016-05-09,781.7604370117188,812.769744370233,768.7039148561842,789.920815656021,6723
2016-05-10,749.1190795898438,807.8735172047334,740.9587609549217,794.8169954352372,12477
2016-05-11,780.12841796875,783.3925336027256,736.0625879535967,749.1191102576064,10523
2016-05-12,778.4963989257812,799.7133018380769,770.3360792371041,789.9208943044192,5932
2016-05-13,763.8077392578125,789.9208442833466,757.2794480594018,789.9208442833466,3623
2016-05-16,758.9115600585938,776.8642867179215,749.1191528320312,767.0718794913589,3512
2016-05-17,758.9115600585938,781.7604903312027,755.6474442391097,767.0718794913589,3779
2016-05-18,758.9115600585938,765.4398514656722,754.0153564453125,758.9115600585938,2465
2016-05-19,752.3831787109375,763.8076723656028,749.1190632816489,762.1755847669067,2771
2016-05-20,732.7984008789062,765.4397957711526,726.2701697149419,765.4397957711526,5798
2016-05-23,714.845703125,778.4963479238014,709.9494996789383,740.958808093365,10959
2016-05-24,721.3740234375,731.1664307250312,708.3174405420513,719.7419356335412,5424
2016-05-25,739.3267211914062,763.8077384493998,581.0161230003449,651.1950590626293,85168
2016-05-26,760.5435791015625,786.6566228331156,745.8549695895244,767.0718101503983,43447
2016-05-27,724.6380615234375,773.6000927074535,718.1097707762005,773.6000927074535,6226
2016-05-30,718.1098022460938,760.5436043105638,711.581570980873,726.2701809797803,7087
2016-05-31,719.7418823242188,740.9587831317618,657.7233273527705,718.1097946411442,54884
2016-06-01,703.4212036132812,727.9022206736983,687.1005654184086,698.5250002011978,9897
