Price,Close,High,Low,Open,Volume
Ticker,PFIZER.NS,PFIZER.NS,PFIZER.NS,PFIZER.NS,PFIZER.NS
Date,,,,,
2016-04-20,1473.2777099609375,1493.7158253432094,1457.4519802167024,1491.1769315890851,16752
2016-04-21,1486.3104248046875,1493.7155301239993,1464.4759015114707,1464.4759015114707,20668
2016-04-22,1489.7803955078125,1493.7157011611087,1473.4045528167082,1488.0877998124458,12978
2016-04-25,1496.72021484375,1502.1787950575795,1474.3355730679,1496.508640365573,21123
2016-04-26,1490.5419921875,1502.1785868745565,1481.0211419889993,1489.4841199432221,23582
2016-04-27,1485.506591796875,1502.17861738215,1479.4977946810757,1500.4860217569308,13083
2016-04-28,1493.2080078125,1502.432675413508,1472.5583187727382,1472.5583187727382,14894
2016-04-29,1471.3311767578125,1492.2346924478393,1448.0156295353768,1485.2527351458714,27293
2016-05-02,1487.1993408203125,1489.4843038269073,1459.8638773303494,1477.0437660214925,7480
2016-05-03,1489.3572998046875,1497.1009460492703,1483.0100657202502,1492.0231587817204,14763
2016-05-04,1493.2080078125,1508.695197111436,1485.2527870380204,1493.7581220988984,33972
2016-05-05,1483.771484375,1498.7932689736917,1470.4422952240482,1498.7932689736917,38492
2016-05-06,1513.857666015625,1535.8614105605739,1485.2527567840534,1496.212272840034,79450
2016-05-09,1516.7772216796875,1536.0304964980514,1498.8780026704983,1523.3360295848445,86730
2016-05-10,1509.1607666015625,1525.875150529997,1497.9049629367419,1521.6436609278617,21013
2016-05-11,1502.9404296875,1519.1046985762405,1491.2192246803893,1509.4568820574182,11147
2016-05-12,1488.7222900390625,1518.9351804542127,1483.771469067066,1518.9351804542127,24982
2016-05-13,1505.140625,1518.0043101317433,1486.9452224486927,1491.176711414113,181580
2016-05-16,1513.0535888671875,1544.4935746231395,1505.5638735641453,1521.643532697208,50252
2016-05-17,1520.5010986328125,1531.7991546088276,1515.7194949748123,1523.3361758540827,20632
2016-05-18,1518.596923828125,1527.9062004302384,1511.0648520975733,1522.489873381985,13170
2016-05-19,1499.4705810546875,1523.3361392464105,1481.0212464895658,1522.4898413912736,14500
2016-05-20,1492.531005859375,1514.8732918306262,1481.0213746947463,1486.9454601935254,13224
2016-05-23,1497.7354736328125,1506.2408075170474,1485.252581565524,1497.7354736328125,6907
2016-05-24,1532.2222900390625,1548.7250984653324,1478.9055243541904,1505.9446999140946,62028
2016-05-25,1543.4781494140625,1558.5845462486122,1504.7176643193666,1530.952899186577,42492
2016-05-26,1555.79150390625,1564.8045959289,1527.5674935920306,1554.6490225642992,28151
2016-05-27,1564.423828125,1574.1138965413268,1544.493473756947,1565.4817003672993,15521
2016-05-30,1582.6614990234375,1591.0398679256773,1566.1164389773169,1573.944693646632,19911
2016-05-31,1601.8726806640625,1607.1196862364823,1569.459430292552,1583.4657016352876,22345
2016-06-01,1602.50732421875,1607.9659039907394,1584.227208137634,1588.2048699901059,15260
2016-06-02,1588.2471923828125,1606.104160323061,1580.5882585423813,1602.8458308340448,11554
2016-06-03,1590.658935546875,1599.4603492693855,1574.9600713736731,1588.0776861540555,8737
2016-06-06,1570.5172119140625,1599.248982173565,1565.65099934852,1599.248982173565,9700
2016-06-07,1565.947265625,1582.5770396713513,1552.1103159129723,1562.3082467163463,12606
2016-06-08,1572.9716796875,1579.995890572836,1557.1882025167245,1578.1764326563957,8303
2016-06-09,1565.0584716796875,1573.1829094247742,1558.9650658899993,1570.9401997238715,9610
2016-06-10,1568.2744140625,1585.962058535914,1557.1879336745365,1569.9670096425812,8094
2016-06-13,1554.4798583984375,1565.6509481649114,1546.1860985390774,1560.5731613059982,6792
2016-06-14,1562.6888427734375,1569.882373866627,1550.4598812381491,1553.8450723408264,10217
2016-06-15,1590.658935546875,1611.3508736676376,1562.3079616666935,1563.0272940737293,41400
2016-06-16,1597.00634765625,1607.1195653144239,1584.2695241014226,1592.7748585427312,8940
2016-06-17,1592.4364013671875,1603.7344572248542,1579.022600842997,1584.3119625093059,8564
2016-06-20,1596.4564208984375,1606.2734561331497,1566.497453794763,1566.497453794763,5116
2016-06-21,1596.49853515625,1606.2733166306432,1584.2695725672097,1606.2733166306432,10408
2016-06-22,1595.9483642578125,1599.5027735425517,1586.8929162006762,1597.8101780149934,36247
2016-06-23,1599.33349609375,1603.7342029793217,1576.4411011080379,1602.041607514436,8722
2016-06-24,1564.9317626953125,1590.9554227918636,1542.4202595010036,1590.193734029907,18257
2016-06-27,1593.1304931640625,1605.6728750975967,1557.3806999817468,1557.3806999817468,8618
2016-06-28,1592.1494140625,1601.1508123456822,1586.944694652524,1595.519587573026,7903
2016-06-29,1599.1029052734375,1614.5035488938445,1592.1065515845758,1614.5035488938445,9273
2016-06-30,1617.148681640625,1630.501580405942,1595.5195998739462,1595.5623024869003,9616
2016-07-01,1625.168701171875,1642.4463839117257,1545.179429228122,1605.9285732992585,22543
2016-07-04,1652.8133544921875,1670.2616429415098,1625.3823403584809,1625.3823403584809,15960
2016-07-05,1651.192138671875,1662.0279787630864,1642.446643556832,1653.495788406947,11724
2016-07-07,1665.142333984375,1672.3093950795455,1630.5443628176008,1646.712822705879,9097
2016-07-08,1643.4278564453125,1672.1812961123778,1642.3613326571763,1672.1812961123778,17877
2016-07-11,1654.1783447265625,1660.321479896958,1634.3410028749092,1634.3410028749092,7367
2016-07-12,1659.3404541015625,1663.7771515111724,1624.3157703535358,1654.2211397892204,9818
2016-07-13,1656.0128173828125,1663.7343870251425,1648.1205414447898,1655.2448994339761,7906
2016-07-14,1655.543701171875,1660.36441003773,1646.7129040970292,1655.2450953099672,52483
2016-07-15,1658.1883544921875,1663.7769803693823,1648.5470426873114,1663.7769803693823,7752
2016-07-18,1659.08447265625,1662.0707393851246,1646.627495132059,1659.6390858792988,7022
2016-07-19,1667.2325439453125,1672.3091550764268,1651.0213837685512,1651.7038964422657,5650
2016-07-20,1659.596435546875,1667.2328089143382,1655.245039006834,1667.147403682934,7896
2016-07-21,1666.379638671875,1702.08683789965,1655.415689692601,1655.415689692601,40863
2016-07-22,1671.5413818359375,1685.1075852515435,1659.51101433633,1666.3794691929977,8913
2016-07-25,1681.7374267578125,1688.3498743032828,1665.9101719395037,1666.2940788455742,7769
2016-07-26,1671.0294189453125,1680.84143748903,1664.6302764168008,1680.7987348777558,5399
2016-07-27,1655.6287841796875,1670.6028194471548,1642.4465921531016,1670.6028194471548,71191
2016-07-28,1675.8074951171875,1701.958679515674,1638.1805562953223,1656.0981561298022,29361
2016-07-29,1705.584716796875,1719.2362202829931,1673.2050986268212,1697.0525271180513,16961
2016-08-01,1672.736083984375,1731.1815936772746,1661.260328486786,1705.5423174720734,17479
2016-08-02,1682.974609375,1695.090278463279,1668.0005730905762,1676.575466373574,6070
2016-08-03,1685.918212890625,1706.4381735891222,1664.6731409516167,1690.2270109400256,5787
2016-08-04,1663.435546875,1702.171705771723,1658.6575418647767,1693.639516770361,10417
2016-08-05,1653.8797607421875,1686.8139939152509,1646.9260049341997,1686.8139939152509,20776
2016-08-08,1614.8447265625,1653.9220885933908,1600.3826041220511,1650.97852513214,31572
2016-08-09,1626.705078125,1636.6449983037999,1609.171382219679,1614.8453106280413,6866
2016-08-10,1620.262939453125,1648.9737806694484,1600.3828943748422,1647.3953462930463,11031
2016-08-11,1620.5189208984375,1633.914417806313,1608.4031483635467,1624.6570123009815,22837
2016-08-12,1621.7132568359375,1631.3546728712067,1616.8499503613687,1620.2628262460364,21503
2016-08-16,1633.35986328125,1650.978857448387,1624.5290669673018,1629.6483812539634,15747
2016-08-17,1631.0133056640625,1638.9482834709897,1621.2012878493063,1633.0610519515956,5515
2016-08-18,1635.2794189453125,1638.1803842062184,1622.0119267627647,1631.3973352139462,7285
2016-08-19,1628.1551513671875,1642.446569569939,1623.6757516319967,1635.2795091630917,5702
2016-08-22,1627.6859130859375,1638.1378462754594,1612.583977811959,1629.6483585295457,5770
2016-08-23,1658.913818359375,1718.383143686856,1643.3425709054102,1661.2174681024374,38033
2016-08-24,1661.89990234375,1676.5752265332396,1651.6185723978213,1676.5752265332396,7185
2016-08-25,1675.8074951171875,1689.4589997529818,1665.2275581939039,1689.373698679551,7940
2016-08-26,1665.952880859375,1681.0548162302778,1659.5110354360563,1680.841511469939,5847
2016-08-29,1656.2259521484375,1691.5492367950462,1650.125415948697,1672.309108200334,5984
2016-08-30,1671.9678955078125,1679.98817476537,1646.7126344830697,1660.3641381886289,13122
2016-08-31,1699.740234375,1706.4379826262664,1664.7155531205124,1671.967914546674,16151
2016-09-01,1673.0770263671875,1699.7401180205202,1665.9099665002311,1699.7401180205202,11276
2016-09-02,1683.827880859375,1697.9059959007632,1656.9514794167246,1676.5755185653265,14914
2016-09-06,1705.3287353515625,1714.1169325153373,1673.2477225023745,1685.1074871666458,12274
2016-09-07,1709.68017578125,1714.9700916166976,1683.4436930363677,1704.6887615954263,8384
2016-09-08,1738.7750244140625,1747.392515500785,1700.5081730179393,1709.680277286315,33116
2016-09-09,1716.33544921875,1748.203160445445,1707.3340505804244,1744.8329868019514,11833
2016-09-12,1689.3309326171875,1715.0129080708625,1682.5905857785954,1691.6346864295804,4155
2016-09-14,1683.57177734375,1697.991200029747,1676.5754228382846,1689.3737085088057,4776
2016-09-15,1682.88916015625,1690.7814358299281,1673.6743533842773,1683.5290744000617,3090
2016-09-16,1729.60302734375,1748.6724523833052,1680.9695412320893,1691.080166198444,15682
2016-09-19,1714.41552734375,1744.662202512498,1707.2911697298912,1729.6454652236926,6158
2016-09-20,1713.989013671875,1723.5024266096939,1708.3577889501285,1719.2363314943234,2113
2016-09-21,1703.4090576171875,1725.2088450703332,1691.0800845348172,1717.4871713380878,7295
2016-09-22,1696.796630859375,1714.9702377262156,1689.373667013884,1707.2485639002437,3878
2016-09-23,1676.0208740234375,1702.0440558866728,1672.3093918669297,1701.361543116318,8871
2016-09-26,1656.9085693359375,1680.8414035707053,1642.4465491744202,1680.8414035707053,24531
2016-09-27,1640.697509765625,1663.6918253636527,1604.9903138057116,1663.6918253636527,39341
2016-09-28,1649.0592041015625,1655.2450425337117,1622.822716958309,1640.7403179341895,14777
2016-09-29,1628.9658203125,1655.2450095478528,1604.0518649226615,1648.4192569311606,20166
2016-09-30,1636.3887939453125,1655.24491362566,1605.3316005085976,1628.795123768755,17555
2016-10-03,1646.2862548828125,1655.2450554406096,1633.957280538171,1636.4742352242727,5750
2016-10-04,1628.88037109375,1650.893462941648,1622.0546190978387,1646.286059513866,7907
2016-10-05,1647.9498291015625,1655.2448933596706,1627.1313684041568,1628.9231075097255,6329
2016-10-06,1650.381591796875,1656.0981175689235,1639.0337371715104,1647.9925368801523,9105
2016-10-07,1643.9825439453125,1655.2449939959502,1630.5016409929178,1650.381686963338,5154
2016-10-10,1626.022216796875,1646.7127789153712,1621.116207222386,1643.9825195958729,6208
2016-10-13,1632.037353515625,1642.4465837097403,1608.360526140069,1642.4465837097403,6122
2016-10-14,1623.33447265625,1638.1805043070751,1616.8500289905767,1635.6208472690953,12898
2016-10-17,1596.8421630859375,1629.2644871564376,1592.9599747269356,1617.404721468527,17249
2016-10-18,1610.2376708984375,1616.8928212271667,1585.2810133947792,1598.122001908176,11787
2016-10-19,1613.39453125,1626.7474302984012,1601.5348697013603,1616.8074074718168,4093
2016-10-20,1596.9700927734375,1634.7250366473102,1591.2535666615317,1620.1350113706624,23377
2016-10-21,1591.93603515625,1608.3177981232654,1580.332173555846,1597.012646491895,14588
2016-10-24,1562.3719482421875,1599.7855794974942,1558.8310686623583,1598.9323605217621,19907
2016-10-25,1558.1485595703125,1573.3786026624873,1553.711862250781,1573.335900049665,9816
2016-10-26,1557.935302734375,1568.9845520656895,1540.0604050679422,1558.1486074996199,7724
2016-10-27,1551.6214599609375,1565.614168291524,1542.6199578159165,1557.9778998738182,6051
2016-10-28,1557.935302734375,1563.9505387753672,1543.47328131186,1551.6641634667194,4312
2016-11-01,1527.859375,1590.400375638727,1514.4638770164918,1590.400375638727,35731
2016-11-02,1538.0128173828125,1552.6882492394054,1514.6772944847798,1528.9687152326294,19687
2016-11-03,1510.6671142578125,1544.3265659823614,1493.0481190695136,1538.0554264482812,21317
2016-11-04,1519.8392333984375,1538.2260426195642,1511.0510349558435,1525.5557597408515,10935
2016-11-07,1520.521728515625,1595.5197078039037,1511.0510173907558,1537.5008093383071,36272
2016-11-08,1518.559326171875,1544.326500148627,1502.0921566362751,1544.326500148627,8279
2016-11-09,1545.350341796875,1552.8587112927846,1413.442694074746,1483.7479664495345,15031
2016-11-10,1535.5809326171875,1565.5716020275295,1529.8644068391643,1565.5716020275295,7943
2016-11-11,1540.828369140625,1552.8587374297288,1510.3257867982554,1531.5282602672326,7541
2016-11-15,1519.497802734375,1552.8586462266126,1494.9250528253076,1552.8586462266126,8916
2016-11-16,1529.352294921875,1535.7941397803695,1501.7933847941063,1535.7941397803695,6856
2016-11-17,1514.122314453125,1523.849031227672,1505.1209171018286,1523.849031227672,17659
2016-11-18,1538.3111572265625,1548.6351904677747,1496.5461287606045,1510.1976327857867,7969
2016-11-21,1533.575927734375,1543.473247796279,1510.197705140638,1538.3112309283565,6479
2016-11-22,1468.8165283203125,1532.3813446780605,1451.410839654897,1519.327052140821,35469
2016-11-23,1511.7762451171875,1518.7300016293495,1468.4327772252418,1504.9931949170668,4654
2016-11-24,1524.8304443359375,1533.9172480388377,1482.8947072447056,1482.8947072447056,19339
2016-11-25,1552.9439697265625,1564.6757316463254,1497.8687426239603,1527.2620971909341,17939
2016-11-28,1552.1334228515625,1561.3908285179705,1540.9135717505217,1552.8159355855157,2919
2016-11-29,1559.556396484375,1578.4552189909446,1552.0054288348801,1552.8586478721725,7001
2016-11-30,1564.0784912109375,1573.2078932031645,1535.5809546775306,1573.2078932031645,12163
2016-12-01,1614.9302978515625,1629.6483259260253,1545.179643063891,1564.0784651610625,37971
2016-12-02,1611.1336669921875,1624.5291651911305,1602.3454686076382,1621.11628879367,5243
2016-12-05,1598.3353271484375,1619.4097965381895,1586.9874718445903,1611.1336132117003,3425
2016-12-06,1580.3321533203125,1614.2903103902388,1559.6842956624507,1598.9323687480485,7593
2016-12-07,1579.18017578125,1604.0088248706948,1564.8461607932898,1604.0088248706948,5374
2016-12-08,1568.3446044921875,1585.96359855811,1558.8311913335822,1564.803724633711,7653
2016-12-09,1585.3662109375,1603.1558063452462,1558.8311207363504,1563.182516827404,11025
2016-12-12,1596.8846435546875,1611.7306748363421,1565.6141466877498,1585.3661871702034,3906
2016-12-13,1604.563720703125,1612.5840005841926,1572.056095807606,1600.6389339131988,3521
2016-12-14,1579.6070556640625,1611.6880708754334,1574.1891355673142,1598.0792687900162,7603
2016-12-15,1587.92578125,1591.253356015372,1563.9503493706043,1578.4550716506371,3299
2016-12-16,1586.5606689453125,1587.8404973956583,1574.1889939253033,1575.0849155016276,4934
2016-12-19,1573.890625,1591.2536127590788,1551.3229174373334,1576.962192912583,11809
2016-12-20,1561.7747802734375,1574.7437724235695,1551.3655494454633,1572.0561115651128,4973
2016-12-21,1554.479736328125,1566.1687951129031,1543.430487648621,1561.3907894838228,6639
2016-12-22,1539.3778076171875,1551.8774878490874,1531.5282338180377,1544.3265198945116,5329
2016-12-23,1558.7459716796875,1590.400378993269,1527.0488617506455,1534.0879192220482,4478
2016-12-26,1544.2412109375,1549.275224265768,1531.912132921782,1535.7943213395886,9208
2016-12-27,1536.1781005859375,1542.6626482814993,1527.3900074136213,1542.6626482814993,6148
2016-12-28,1543.64404296875,1557.1249471863034,1535.794468457724,1556.954345017566,8213
2016-12-29,1534.42919921875,1549.4458340485892,1522.9960428285967,1541.2122491769833,8952
2016-12-30,1556.186279296875,1618.5138697363068,1510.19775069105,1540.9989382220583,34715
2017-01-02,1559.8551025390625,1587.328819796719,1551.4083168493253,1578.4553204082042,5080
2017-01-03,1551.195068359375,1567.96074080553,1539.5059038816744,1552.8588039882723,6652
2017-01-04,1542.1507568359375,1556.6128824742802,1536.7328366056183,1552.7733966831177,4958
2017-01-05,1530.93115234375,1566.5103490014835,1528.2860896741254,1566.5103490014835,12654
2017-01-06,1542.321533203125,1561.39095933495,1525.5984596058197,1538.140738765618,8999
2017-01-09,1531.8267822265625,1544.3264619897852,1527.3473822677524,1542.3214180768607,3979
2017-01-10,1532.8507080078125,1536.6474910748125,1528.1153006746192,1531.8267826681604,6442
2017-01-11,1534.599609375,1539.676324707568,1529.4802955858122,1532.8505729886508,5649
2017-01-12,1528.157958984375,1535.7942275100766,1521.2895042502591,1529.1390775297814,5967
2017-01-13,1527.944580078125,1535.794152976701,1520.5642151235568,1528.157884821594,5798
2017-01-16,1534.7703857421875,1544.241095854107,1520.6068669565177,1544.1983932428318,5532
2017-01-17,1535.5809326171875,1543.2172011919263,1526.8781402664956,1543.2172011919263,4737
2017-01-18,1540.35888671875,1551.0668267318117,1514.4637111363409,1525.5555580348043,6467
2017-01-19,1532.8929443359375,1552.7729849329921,1529.1387606162018,1547.7389729555755,41365
2017-01-20,1529.39501953125,1535.7088608050444,1517.023344338389,1531.5280669782949,20186
2017-01-23,1535.36767578125,1535.8369879184017,1514.5065117336108,1534.8983636440983,8012
2017-01-24,1527.5606689453125,1535.5809486547855,1522.9959679671022,1524.062491754194,8807
2017-01-25,1524.8304443359375,1532.3814120894656,1514.4638120594661,1524.745143261576,8300
2017-01-27,1535.154296875,1535.7942111296372,1521.1188858843718,1535.4103042379393,7625
2017-01-30,1534.13037109375,1535.7941063812482,1511.1360579538084,1533.2344495372795,9467
2017-01-31,1518.81494140625,1527.475134062363,1511.050670255241,1518.7296403468824,8584
2017-02-01,1533.7037353515625,1535.7940800772535,1510.2828131387632,1510.2828131387632,6102
2017-02-02,1527.5606689453125,1533.7039084505896,1522.9959679671022,1533.7039084505896,15012
2017-02-03,1518.30322265625,1528.925757630215,1515.3169561323405,1528.1152412348097,7734
2017-02-06,1516.4261474609375,1534.087738833139,1512.2453535935313,1518.7297970650652,7842
2017-02-07,1509.472412109375,1525.5128667904264,1501.6654374421312,1517.8765984145177,6525
2017-02-08,1502.2626953125,1522.995959276339,1497.3993885321986,1502.64670636529,4410
2017-02-09,1505.419677734375,1511.904121533434,1498.593925492689,1498.593925492689,6275
2017-02-10,1482.510498046875,1517.8763787576374,1477.7750916291332,1517.8763787576374,12495
2017-02-13,1483.2359619140625,1501.4948697321724,1477.775339367612,1483.4065640565998,6214
2017-02-14,1485.582275390625,1491.4268046814032,1483.3212242211782,1485.7528775287037,5878
2017-02-15,1464.16650390625,1492.2800282432304,1458.5778778054903,1487.5446211408944,6458
2017-02-16,1475.7701416015625,1480.3348420418718,1459.8575877427334,1464.2089834507601,5581
2017-02-17,1481.9986572265625,1497.3993013891115,1467.5366372588444,1467.5366372588444,5217
2017-02-20,1487.0755615234375,1501.6655870213394,1476.069014515294,1476.9222335988288,5124
2017-02-21,1489.0804443359375,1498.6791579865774,1476.9647763224357,1480.4629533556827,14121
2017-02-22,1515.8289794921875,1534.0878884274855,1488.9099803153608,1488.9525787772454,15105
2017-02-23,1513.99462890625,1518.7300366929837,1501.8789590386657,1509.7712359147388,8264
2017-02-27,1501.1109619140625,1512.970727911941,1494.541216683893,1512.970727911941,5621
2017-02-28,1500.9404296875,1510.2405388883037,1493.9866730571744,1500.1298090351547,6072
2017-03-01,1504.481201171875,1510.1124261036928,1494.4558772767625,1509.3445081237364,9933
2017-03-02,1500.129638671875,1514.4637598629304,1482.89465613621,1494.029206003611,11374
2017-03-03,1484.7716064453125,1501.665383672713,1478.6284715368247,1498.7644183509858,6522
2017-03-06,1482.16943359375,1501.6654672672166,1471.8028017249708,1486.3075249883473,7898
2017-03-07,1486.606201171875,1498.2099595012207,1480.3350619417429,1484.601157221114,8595
2017-03-08,1484.3878173828125,1495.35166116119,1477.0927529663752,1495.35166116119,5803
2017-03-09,1483.150634765625,1489.0377625649096,1476.0688753787354,1482.0841110117387,4484
2017-03-10,1477.860595703125,1484.5157455040173,1467.5366667270405,1483.193214404895,4065
2017-03-14,1481.4014892578125,1500.8122215144663,1460.7109285007198,1488.8671555103715,15173
2017-03-15,1471.6322021484375,1481.230916089464,1463.2706141209471,1474.7463682382454,16207
2017-03-16,1470.6083984375,1482.8947741284874,1464.1239542028104,1482.8947741284874,32238
2017-03-17,1535.879638671875,1543.4733092827485,1464.1239351736851,1471.1202899394182,53943
2017-03-20,1514.079833984375,1536.6474351098848,1502.518674752086,1536.6474351098848,57473
2017-03-21,1507.6805419921875,1525.896745197226,1484.6009284265451,1514.506293387252,57407
2017-03-22,1512.9278564453125,1530.674852922893,1488.0139038447744,1509.4723820616096,20761
2017-03-23,1494.327880859375,1522.9960204130778,1488.9952617402816,1522.9960204130778,48057
2017-03-24,1500.812255859375,1531.528140572813,1416.3435728974205,1501.6654748791927,282653
2017-03-27,1536.604736328125,1557.124695205479,1493.133269375117,1501.665459485832,28482
2017-03-28,1547.0565185546875,1574.0183200010588,1517.0232539508247,1534.5142419744423,20731
2017-03-29,1536.861083984375,1557.125039984169,1522.996271984516,1538.5248197632643,14352
2017-03-30,1579.90576171875,1594.623791155647,1526.4089659483348,1538.3540333174105,45971
2017-03-31,1634.1275634765625,1669.749453973963,1553.3703705363462,1579.9054585553665,52656
2017-04-03,1651.6187744140625,1669.0670623083256,1617.7033172098993,1633.9997802183377,22573
2017-04-05,1644.4945068359375,1651.6188654586176,1627.5581286070199,1650.9789511364718,23514
2017-04-06,1613.6077880859375,1642.318629279735,1600.2975920467395,1630.0749570281764,12003
2017-04-07,1565.741943359375,1621.158572018577,1552.0051402438307,1616.0392587467447,16873
2017-04-10,1590.1014404296875,1608.3176433044796,1573.7195748869033,1573.7195748869033,17809
2017-04-11,1612.583984375,1621.0308736951263,1587.8406322337962,1590.4429919649053,9917
