Price,Close,High,Low,Open,Volume
Ticker,PIIND.NS,PIIND.NS,PIIND.NS,PIIND.NS,PIIND.NS
Date,,,,,
2016-04-20,632.38232421875,642.1001141864681,625.1302333446818,639.7794805173662,97096
2016-04-21,630.1583862304688,638.9092310919093,625.1302578901541,631.4154035611301,70449
2016-04-22,621.6009521484375,629.9167196761733,617.4430978934074,629.9167196761733,27887
2016-04-25,602.2620849609375,621.6009982969898,599.6029843772303,621.6009982969898,52619
2016-04-26,623.0514526367188,626.580828130639,594.7682902558219,604.099340084285,112791
2016-04-27,613.527099609375,628.418088281831,612.0766809341756,623.873431296002,99655
2016-04-28,617.5397338867188,618.8934221031313,606.3714667497327,617.7814702486853,42162
2016-04-29,621.0208740234375,623.3899027851014,609.1757892327997,610.3844713542934,28399
2016-05-02,621.6976928710938,655.3957238331257,609.3691363214222,615.3158164230108,195552
2016-05-03,621.6009521484375,636.2502015199876,617.8298997384836,618.8451808097145,61319
2016-05-04,608.8373413085938,624.0667350254189,604.5344214390345,619.2803423394525,67207
2016-05-05,588.6763916015625,609.9491919874234,582.5846469309632,608.2087019412047,136840
2016-05-06,606.1298217773438,618.7485089887188,590.8037577249372,593.3661871552007,126881
2016-05-09,604.4376220703125,611.7381079740417,598.1524761786104,608.5955350281906,70755
2016-05-10,603.7608032226562,609.1756745000328,594.6714917738415,609.1756745000328,35830
2016-05-11,608.0154418945312,611.1096799255387,592.0125024278656,601.4402229646915,44418
2016-05-12,614.5906372070312,635.2832979151442,603.9542349588324,603.9542349588324,88464
2016-05-13,605.549560546875,625.5653422559093,603.3739333832335,611.5446338679976,57939
2016-05-16,596.21875,605.9849378813088,592.3026313573671,604.824591130758,53979
2016-05-17,598.6843872070312,605.1145399865896,592.3025108858878,597.9107835188864,51886
2016-05-18,605.0178833007812,608.2087920277571,590.5136990711844,590.5136990711844,32669
2016-05-19,601.4885864257812,619.8605555060112,597.6691389450386,603.0840705056117,190537
2016-05-20,609.2723388671875,615.8959509845799,597.6206573397982,597.6206573397982,95714
2016-05-23,608.6439208984375,618.7485142414782,604.9211449206457,609.2240646524871,28809
2016-05-24,579.2487182617188,615.8959781086227,572.0449621313566,609.175694751873,109137
2016-05-25,614.687255859375,628.3211635739802,590.8036906058188,606.9516919889223,538537
2016-05-26,650.3192138671875,659.9403338343138,611.3513202443148,619.7637582813417,390551
2016-05-27,649.5457763671875,657.3296774773181,634.3163815360997,649.7875127930778,206271
2016-05-30,650.17431640625,667.0958662634564,644.9527859860963,652.6883516351049,125839
2016-05-31,653.7034912109375,657.5229377262636,645.5811844496264,651.6729292750271,96379
2016-06-01,668.8361206054688,675.4113372822793,652.6881212105062,657.4745125695822,229076
2016-06-02,658.5382690429688,674.9280082679091,654.6221512856367,671.6403697208526,66286
2016-06-03,663.0345458984375,674.3478201329332,657.8613520258145,663.1795523138734,66407
2016-06-06,664.8235473632812,671.0603593364439,649.787552556326,668.1111865636465,42858
2016-06-07,664.9202270507812,675.7016360790548,660.4239059871346,669.5615545572571,98319
2016-06-08,660.0370483398438,666.8540620896216,657.1846060107041,660.4721856669303,34594
2016-06-09,661.3908081054688,673.4776284290335,657.523025601928,663.3246993572391,33591
2016-06-10,656.3142700195312,666.1287906294699,652.6882243288156,663.3246250215815,32149
2016-06-13,662.1158447265625,665.2584171914932,638.1839467243975,657.3294533225971,61088
2016-06-14,656.2660522460938,670.0933638230327,654.0420889604626,662.3094628144833,81109
2016-06-15,655.395751953125,664.9685375271351,652.8817168618086,662.3094369807633,27520
2016-06-16,655.637451171875,665.2585716792009,654.3804336975279,655.3957147722823,86435
2016-06-17,656.84619140625,670.0933590819694,652.688336768152,653.655282452253,80240
2016-06-20,654.6704711914062,673.9610466693357,650.7060180533615,656.5560268127388,471225
2016-06-21,662.3094482421875,669.996678119579,655.5891640344635,655.5891640344635,243751
2016-06-22,661.4874267578125,670.0449302808693,655.5890825133602,659.5052001850161,197100
2016-06-23,666.75732421875,671.4470457720688,658.4899511727592,660.4238423656308,33433
2016-06-24,680.6814575195312,706.7406567114423,628.5147236528112,657.5230955137102,186015
2016-06-27,673.8644409179688,681.1648687050448,672.3172924815368,677.8772299180954,47092
2016-06-28,688.7554321289062,698.5216194189461,667.5793560385752,680.5847289014903,137197
2016-06-29,696.2007446289062,700.9871365517637,679.7626714918349,690.3990717569988,126301
2016-06-30,698.8115234375,702.1958326816108,689.0937329829443,702.0024317784134,194261
2016-07-01,696.2007446289062,705.3867266760932,690.3990717569988,705.3867266760932,86967
2016-07-04,696.6358032226562,708.7709558057018,691.3659391556299,696.2006660028721,229568
2016-07-05,686.6281127929688,699.826945105661,680.8264386366524,694.2670073725245,29591
2016-07-07,684.7426147460938,691.1244327001559,675.9433735466476,686.6281116295567,176361
2016-07-08,677.1036376953125,692.3330304746073,672.9941190088362,692.2846949994777,26406
2016-07-11,697.69970703125,700.9390107643569,683.4372569545912,691.3178885701245,58998
2016-07-12,698.9566040039062,704.903343056515,692.0429783680727,698.5215256976417,43711
2016-07-13,701.22900390625,719.7459778706658,696.4909465687545,701.03560297086,67925
2016-07-14,706.837158203125,712.6388311842724,696.200757737688,707.8041036999829,44009
2016-07-15,715.1528930664062,727.2397122367936,701.4706491761309,701.4706491761309,158998
2016-07-18,706.0637817382812,715.056365196855,700.5038438074064,709.7381636977574,56769
2016-07-19,709.8831787109375,714.5728415470364,703.4529664756008,707.7075509795696,22574
2016-07-20,714.7176513671875,719.5039834501084,700.7452797975275,711.1882773693721,526525
2016-07-21,712.9290161132812,717.5220079518882,706.16039656165,712.7356151796989,73446
2016-07-22,714.5244750976562,717.5219829016577,707.465783900925,711.4302373214013,15715
2016-07-25,714.4278564453125,719.8911236367355,709.1580492285409,713.7026471199565,48753
2016-07-26,704.5166015625,728.5935726945825,698.7633219584194,714.8145967013537,602458
2016-07-27,726.127685546875,760.9860566429323,715.5396212398601,720.3743484103998,443425
2016-07-28,727.8199462890625,739.7133650610185,715.5397256799395,729.9955738333596,363244
2016-07-29,730.09228515625,739.5200050362022,719.4075477625063,728.6902021910805,61275
2016-08-01,760.5994873046875,767.3197719290185,735.3622273689223,743.4845951047255,134270
2016-08-02,766.7393188476562,776.408772243761,756.6347282451948,756.6347282451948,122633
2016-08-03,754.65283203125,771.6227183569926,748.0776126507927,771.6227183569926,66599
2016-08-04,750.591552734375,768.4800470668529,746.0468964247503,754.652736224203,36222
2016-08-05,759.6324462890625,766.3043945935406,752.2353477960208,752.2353477960208,63958
2016-08-08,744.0162963867188,765.8209076481662,740.1968495008475,760.5027069006095,58596
2016-08-09,757.166748046875,782.0172620254381,744.5481196409118,744.5481196409118,65337
2016-08-10,764.2254028320312,778.1011070847953,754.2175398525951,757.2634419859924,84899
2016-08-11,774.136474609375,776.4571672093454,756.7798516474072,767.4162511982202,50679
2016-08-12,773.6531982421875,780.6152187912735,765.3858246603826,775.4420831221379,58111
2016-08-16,768.7700805664062,780.3250921860797,763.8870171338326,777.1341835382962,37920
2016-08-17,768.1414794921875,778.1976766359752,764.8538413961868,777.4241320891709,22068
2016-08-18,767.3198852539062,781.2922649138874,763.8872392103601,776.4575355517965,76591
2016-08-19,764.0320434570312,775.4419890466875,762.8716970033419,775.4419890466875,26887
2016-08-22,757.3602294921875,770.6557330421621,747.1106285443711,763.8871130530841,43560
2016-08-23,760.115966796875,772.2511821570176,756.1515131610312,756.1515131610312,22590
2016-08-24,775.0068969726562,779.2614812118908,753.5890283650316,760.1159111530109,72627
2016-08-25,787.3837280273438,801.3077671736049,770.172109511598,774.8134362211281,110094
2016-08-26,784.4828491210938,798.1168156780487,777.424158983607,798.1168156780487,29659
2016-08-29,777.1826171875,793.5723588340575,771.6226793351477,792.3153412101058,34963
2016-08-30,778.3910522460938,788.0605063112627,768.7215981809248,788.0605063112627,31926
2016-08-31,780.2769165039062,786.6587351064136,773.7500324259244,786.6587351064136,45548
2016-09-01,791.6383666992188,802.1780382244424,777.4725901921587,785.6432922349371,101753
2016-09-02,796.086181640625,815.9085634766572,791.4448552581606,801.5977825400307,119599
2016-09-06,791.3482666015625,801.5978658876281,785.159791436374,798.6970292197598,62241
2016-09-07,824.7562866210938,849.8968729922251,781.2920687643907,794.7326366237205,167798
2016-09-08,829.0108032226562,846.0774170129015,826.7385046240352,832.6368492955686,82916
2016-09-09,813.0079345703125,829.0108741374793,807.447996782908,829.0108741374793,56824
2016-09-12,791.6383666992188,813.007840640939,776.9407819209501,813.007840640939,28508
2016-09-14,784.8213500976562,802.5647766736747,779.5998207146389,788.0605939627047,64861
2016-09-15,781.5819091796875,798.5034526873039,776.1187034006817,798.5034526873039,36525
2016-09-16,782.1138916015625,788.0606303950484,775.9738109104618,788.0606303950484,97278
2016-09-19,794.9742431640625,817.0689235853081,785.6915312251552,792.8952867928433,175077
2016-09-20,788.5440673828125,807.3995049229288,782.2589215361071,807.3995049229288,60831
2016-09-21,792.266845703125,802.4681688936154,785.2564901743535,789.0276015831076,34517
2016-09-22,794.9742431640625,807.3994688683222,791.3481976451928,802.5647415098292,37602
2016-09-23,821.8070678710938,832.5401401474581,793.9589880945306,801.5495462695458,129339
2016-09-26,814.313232421875,833.2653419178989,808.7532954145898,830.606241610067,86140
2016-09-27,805.5623168945312,822.8706659066881,800.8243190936863,812.2342648197628,22730
2016-09-28,785.933349609375,810.3003898425424,783.2259138096173,810.3003898425424,62690
2016-09-29,797.2466430664062,810.1070076761922,727.4331593048427,797.4400439889387,143176
2016-09-30,803.9186401367188,814.5550423279939,776.4573599630822,779.9867352063497,86748
2016-10-03,810.3487548828125,814.1682018374856,802.6131900197486,804.8855476088793,51612
2016-10-04,812.0891723632812,821.9036930104152,803.0482553472351,805.5139546227322,127086
2016-10-05,803.43505859375,813.1528492954704,793.5238669839131,812.2342392451709,40797
2016-10-06,797.8751831054688,810.2520749456099,793.3788624715942,806.8677653555421,43481
2016-10-07,795.0226440429688,806.4325897442084,790.2362517607365,801.3561256001351,29919
2016-10-10,797.6334228515625,805.8040656890854,793.9589824780961,797.7300938013174,47895
2016-10-13,788.6406860351562,807.0126495996514,777.5692078380544,807.0126495996514,47592
2016-10-14,782.742431640625,790.7197325189884,779.9382659066158,787.0936866651869,45963
2016-10-17,768.47998046875,785.2564622547387,764.8539346345156,784.1928457504325,29179
2016-10-18,764.9022216796875,776.4572321433876,754.2174857681722,773.5563956596638,77361
2016-10-19,762.0982055664062,775.8287860041368,756.7800047153293,773.5564874293834,42981
2016-10-20,762.8233642578125,782.2106106366173,758.0853074789998,773.5081007293328,77723
2016-10-21,785.7882690429688,791.6866128722627,764.2253375942673,766.5943658271592,63292
2016-10-24,799.035400390625,801.3077577548722,786.7068451102103,790.864758026761,55079
2016-10-25,802.0330200195312,807.1094842948148,794.8775991482522,803.4834383838979,42820
2016-10-26,836.3596801757812,862.8056209943761,821.9038304137907,843.6601082776851,524596
2016-10-27,817.455810546875,849.8484872235765,807.3995529864412,836.3595846845197,266084
2016-10-28,835.0542602539062,838.8253719886507,810.3488100928198,823.160840270168,100365
2016-11-01,878.4700317382812,884.1750340875142,825.8681702373624,841.2426280817883,196045
2016-11-02,851.44384765625,874.1187314197316,846.0773119383464,870.2509494222991,144577
2016-11-03,871.363037109375,891.3304280193855,854.8765676789401,856.5203869761818,157144
2016-11-04,808.9467163085938,879.9205514263156,802.6615695126915,875.0374876422659,177890
2016-11-07,821.081787109375,844.9169580466884,814.3131686738617,821.7102662677855,54505
2016-11-08,829.1558837890625,838.2935318629266,821.9037915110241,833.5071391558856,46149
2016-11-09,832.056640625,836.407895573068,702.6310031656468,792.8953460923881,75086
2016-11-10,847.23779296875,861.5485768297259,832.0567344129958,849.9452289936354,58137
2016-11-11,810.1069946289062,841.1943186141128,796.7631574365379,841.1943186141128,75768
2016-11-15,801.9847412109375,829.3976266273404,761.5663660538943,812.1376704788909,148418
2016-11-16,768.128662109375,824.3615377918799,755.584018187622,823.392840332665,214759
2016-11-17,779.8984375,784.6450795321997,762.3166110074711,772.9722849270441,55278
2016-11-18,748.3671264648438,788.5680665192417,722.1638749531008,783.1918080477291,123837
2016-11-21,737.7601318359375,765.2711696871964,723.6171693118174,765.2711696871964,49794
2016-11-22,772.48779296875,775.054805735298,742.1190924505903,742.1190924505903,44227
2016-11-23,779.5593872070312,781.7389567891572,763.3821255947751,770.3567600824997,33301
2016-11-24,789.7789916992188,793.7506865808817,767.4021050321102,780.7701175523802,39894
2016-11-25,869.2122192382812,875.7025040467336,794.3319173875238,799.1754046886673,541715
2016-11-28,853.3741455078125,870.2779301152603,838.5530843486281,848.094731868291,97895
2016-11-29,837.0514526367188,855.3598583046311,833.1282397434807,855.3598583046311,51924
2016-11-30,842.6700439453125,847.7072240344484,834.7751350610653,847.0776060856103,62997
2016-12-01,818.4524536132812,848.9664215903773,815.6432075147575,848.9664215903773,60935
2016-12-02,804.8906860351562,827.21914907843,794.428706910035,826.298874731828,112443
2016-12-05,805.0844116210938,810.2669783540646,792.8304245881197,799.0785348458364,73329
2016-12-06,807.215576171875,813.7542839829615,804.0188864002639,804.0188864002639,29391
2016-12-07,808.8140258789062,818.549424367468,805.5688536329817,818.549424367468,32907
2016-12-08,820.5352172851562,829.2050718590709,808.8624240681357,808.8624240681357,68940
2016-12-09,799.950439453125,834.09702870906,795.9303800225807,823.4413554660732,46127
2016-12-12,793.7992553710938,807.9422165961956,790.5056599010574,804.0190031647113,70985
2016-12-13,783.2403564453125,799.1754422397408,778.4937741419235,799.1754422397408,54697
2016-12-14,779.8015747070312,795.3007364403387,772.7785170466262,784.6450627486898,81663
2016-12-15,788.083740234375,790.4570606359586,772.051810449582,775.9265999625034,163123
2016-12-16,786.533935546875,799.17542591368,780.7701736805165,780.7701736805165,89023
2016-12-19,779.7529907226562,792.2491518163564,773.5048806135075,792.2491518163564,243275
2016-12-20,775.0549926757812,791.2806788693249,769.2428065766014,791.2806788693249,89712
2016-12-21,794.2351684570312,796.172563614507,767.838159436424,774.9580629903041,157162
2016-12-22,802.9049072265625,807.6515486737068,775.1033359991867,797.1412043438065,95420
2016-12-23,807.6030883789062,816.5151168816442,787.3572877109798,810.7997781884206,72958
2016-12-26,779.995361328125,807.6032444141176,774.958121712074,807.6032444141176,46889
2016-12-27,782.9981689453125,786.5823614814168,773.0690196778439,784.6449665023986,119799
