Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2016-04-20,12493.1611328125,12658.018819516823,12234.366650874263,12588.972046693334,10193
2016-04-21,12297.9814453125,12548.607450222762,12158.541232896587,12512.089830134812,10363
2016-04-22,12225.330078125,12444.820570759715,12157.53242093287,12444.820570759715,2563
2016-04-25,12174.0625,12431.655701537578,12065.903254908657,12204.573934837093,6050
2016-04-26,12048.220703125,12232.15457922583,11964.326457107094,12060.4254647947,5187
2016-04-27,12229.607421875,12300.67282483372,11991.906904822477,12047.356219234045,10980
2016-04-28,12300.287109375,12387.113118113391,12086.563498526903,12212.405325500358,12392
2016-04-29,12198.7138671875,12298.752571555266,11868.46920978672,12180.646500665724,19346
2016-05-02,12072.1015625,12295.867720821212,12012.375655354837,12086.94810803654,1814
2016-05-03,11940.05859375,12204.378663302165,11725.037115623554,12075.798409550494,9492
2016-05-04,11931.5576171875,12012.376510966516,11740.223921040677,11845.356615651423,14445
2016-05-05,11944.5302734375,12137.304504833786,11773.0892706824,12011.414806485946,2944
2016-05-06,12127.8876953125,12203.613529045117,11847.181918291562,11847.47096610098,9313
2016-05-09,12331.85546875,12444.81964782124,12031.258005027246,12202.650184404178,4859
2016-05-10,12402.6337890625,12483.261232765577,12194.964206604709,12465.482916152323,11604
2016-05-11,12827.439453125,12902.877170531716,12278.569621727496,12278.569621727496,11585
2016-05-12,12943.5263671875,13136.733217784973,12768.578326475756,12877.265919408826,8197
2016-05-13,13137.26171875,13346.229182928659,12877.266060717457,13021.414561397129,7451
2016-05-16,12820.7138671875,13146.34499783257,12686.318834228186,13146.34499783257,5809
2016-05-17,12379.13671875,12954.144687096546,12176.703807878363,12954.144687096546,20238
2016-05-18,12670.8935546875,12962.794270808645,12108.474150210463,12443.955387985523,12681
2016-05-19,13009.212890625,13079.077068242079,12571.145868395486,12686.032063031864,6312
2016-05-20,12499.6435546875,13199.196343644473,12396.769773062519,12964.0419262249,5876
2016-05-23,12584.6923828125,13213.612474806752,12519.345062937091,12733.11747572287,6805
2016-05-24,12468.1728515625,12915.706099565978,12401.57642967998,12915.706099565978,13711
2016-05-25,12684.2548828125,12776.365423245015,12425.74850456106,12665.85154406689,5405
2016-05-26,12441.6015625,13116.5525138093,12311.050507882008,12781.167003711898,22119
2016-05-27,12627.45703125,12781.167576375035,12411.186409690496,12663.926791087986,13530
2016-05-30,12878.5634765625,12925.316017320434,12627.409105397062,12629.331085473988,8882
2016-05-31,12617.751953125,13018.917451766205,12310.282987763023,12973.366146354474,26942
2016-06-01,12799.232421875,12910.89963882262,12685.114868312648,12780.20500905858,6200
2016-06-02,13197.8515625,13299.044557773002,12803.557562936196,12848.435982520628,19921
2016-06-03,13080.6123046875,13434.641428446183,13037.319888922257,13226.971845843864,7897
2016-06-06,13346.7109375,13625.638312638379,13101.65846321822,13204.003908359433,11885
2016-06-07,13467.939453125,13584.843328529401,13264.73792126765,13360.211906451696,12518
2016-06-08,13466.3046875,13617.227975712478,13351.994742028875,13483.122012099504,8400
2016-06-09,12939.541015625,13544.38863964295,12834.98546666275,13367.374052207162,13292
2016-06-10,13052.5029296875,13165.563785318232,12971.684041253418,13066.581809414016,6817
2016-06-13,13012.5732421875,13189.587788396166,12512.089836423904,12877.361761100527,5254
2016-06-14,12973.4150390625,13117.51570143947,12938.819393256506,13117.51570143947,4093
2016-06-15,12930.650390625,13091.568373528493,12872.462626691196,13091.568373528493,15885
2016-06-16,13013.005859375,13163.64104212822,12873.086090526513,12999.599861159106,4039
