Price,Close,High,Low,Open,Volume
Ticker,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS
Date,,,,,
2016-04-20,287.6136474609375,298.89440091759724,282.47768397277355,291.09875054821873,247340
2016-04-21,274.4527282714844,289.44789546401665,272.52673861568945,285.41250589252786,105339
2016-04-22,269.8670959472656,279.6804560863032,267.1615352766776,274.81962159204795,52189
2016-04-25,268.94989013671875,279.68038288242826,264.50177893909574,268.7206063429108,143800
2016-04-26,273.0769958496094,278.71737152633614,269.63773897492916,271.28857107927803,163470
2016-04-27,272.93951416015625,276.97490452233376,271.4720918497046,276.97490452233376,32812
2016-04-28,270.27978515625,281.56053819460624,266.0609571620991,274.9571528134354,196007
2016-04-29,269.22509765625,272.756074703768,267.89526805932934,271.4720906834212,42553
2016-05-02,267.1614990234375,272.93946814891865,265.969234340857,267.06980788535276,39028
2016-05-03,269.5460510253906,276.97485233136547,267.9869378551843,270.37146717299953,99642
2016-05-04,267.1156311035156,273.3980129177766,262.3465167947529,271.83887185832657,62485
2016-05-05,276.0577087402344,289.2644506702571,266.8863562903927,266.8863562903927,315802
2016-05-06,270.6924133300781,276.791356015813,269.4542753740288,275.50737250124905,26372
2016-05-09,272.1598815917969,277.15827982916664,270.6924596147827,273.30630063809764,28189
2016-05-10,272.38922119140625,278.76332358987094,271.47208576651934,272.93950804408877,42860
2016-05-11,269.9587707519531,273.6731573783484,265.96922675291006,270.0963354439035,17763
2016-05-12,272.5726013183594,275.50741725860155,270.5090470526244,270.5090470526244,21429
2016-05-13,271.1968688964844,275.04881964582955,267.0238872654317,272.389133368932,36641
2016-05-16,277.8002624511719,280.64338733235354,271.1051863018138,271.4720348051525,189409
2016-05-17,279.22186279296875,287.9804940108566,276.5621479413596,283.119687950759,524284
2016-05-18,281.51470947265625,282.93625808275846,275.32404580309833,277.8920136112668,188905
2016-05-19,280.184814453125,283.71579070764847,278.0295410518902,283.71579070764847,135235
2016-05-20,275.0488586425781,278.3505511735225,267.3449280628725,275.1405777662496,342201
2016-05-23,272.34332275390625,277.8919798019785,270.0963302035732,274.22343881449365,32863
2016-05-24,270.004638671875,277.80028906688796,268.67480922126947,275.14060217692753,34429
2016-05-25,268.353759765625,274.681986921664,267.25318635207714,270.60072416756384,32161
2016-05-26,270.6007080078125,273.30626782777927,267.3448895026767,269.5460082095814,27752
2016-05-27,279.7720947265625,281.19367114668853,269.6377614852842,269.6377614852842,137439
2016-05-30,281.88153076171875,287.98047470794324,279.86382197272474,282.4776630893202,134517
2016-05-31,279.726318359375,284.5871251550366,277.89204741931354,284.5871251550366,66516
2016-06-01,281.56048583984375,283.9450427834673,277.8919453077285,281.56048583984375,47631
2016-06-02,284.999755859375,287.79700694986633,281.4687798350498,281.5604989503721,248249
2016-06-03,279.22186279296875,284.22023355500323,276.6080215011713,284.22023355500323,42947
2016-06-06,277.4792785644531,284.22022873247437,276.2411682792797,279.72627128337643,19539
2016-06-07,280.184814453125,283.8533553952281,276.28698970214043,280.64338207088787,26530
2016-06-08,279.86383056640625,283.3948070611967,277.70855701851485,280.59755559800124,16102
2016-06-09,278.0754089355469,282.11079829180903,276.24113850190537,280.09308961930515,21801
2016-06-10,278.579833984375,280.0472559915894,276.10355759790406,279.0384016123328,20276
