Price,Close,High,Low,Open,Volume
Ticker,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS
Date,,,,,
2016-04-20,491.4507141113281,498.12666123242894,477.2118830294626,483.46762718932337,33095
2016-04-21,480.52655029296875,497.19299697368103,478.98592947887016,497.19299697368103,14241
2016-04-22,481.88037109375,485.2417101074832,470.58267490812796,478.05224117651096,14721
2016-04-25,482.7673645019531,500.55425671301793,477.118516748281,486.9223218869443,12414
2016-04-26,493.4115295410156,496.91288859681583,483.46764702723675,483.46764702723675,13086
2016-04-27,494.4852600097656,498.50019743584386,490.42370618082407,494.7654143330865,15734
2016-04-28,484.5881042480469,497.5197678570472,480.8533211709906,492.0576704021594,12156
2016-04-29,480.0129089355469,492.0576055673183,476.41820349283523,484.58804039741597,20567
2016-05-02,483.8878173828125,486.82898175989556,476.1381541364186,482.72069770750426,9762
2016-05-03,485.5684509277344,489.2565604432323,481.08672284041114,481.08672284041114,11889
2016-05-04,487.2958679199219,490.1903021468142,479.2660497298883,482.3005611241305,10157
2016-05-05,487.4826354980469,490.19037656390174,481.1801877993681,485.56857018721496,8920
2016-05-06,484.1679382324219,490.00353689250863,480.85332959114623,488.92982093201357,4796
2016-05-09,484.7748718261719,491.1239918825125,481.88038064683053,491.1239918825125,3880
2016-05-10,491.0772399902344,503.26195686168245,482.81399926995755,487.9493253603829,12771
2016-05-11,484.4947814941406,502.3283487762034,480.853345018113,485.5218240959587,12199
2016-05-12,513.392578125,526.9778966871324,483.6543917008612,490.0969150805996,152440
2016-05-13,521.235595703125,530.6658989563684,514.6063793949946,518.1544114611526,64766
2016-05-16,523.383056640625,525.6706222559086,509.79779707233763,524.736926656875,20080
2016-05-17,524.4103393554688,540.5632674690584,521.6092515789522,522.916391681694,60469
2016-05-18,519.1348266601562,534.0739583626068,516.3337394659468,523.8033053171721,23069
2016-05-19,505.5029602050781,520.3953635462773,502.56179545771744,513.6260685772694,7130
2016-05-20,503.1219177246094,514.5596903354825,495.8857758687509,503.26199487841563,11843
2016-05-23,509.93792724609375,525.6706769308688,506.0630673117778,519.1348070578384,32880
2016-05-24,501.1145324707031,516.8006100501825,489.16323798101723,511.66528330171644,14539
2016-05-25,504.7559814453125,510.73165800891707,495.79252358818087,504.195786699845,15043
2016-05-26,503.49542236328125,505.12938989065395,494.9520836391408,497.65982405123583,13624
2016-05-27,511.1050720214844,513.5326581556412,500.46091776622484,513.5326581556412,10591
2016-05-30,512.08544921875,516.9873519419896,504.66255655447674,511.6652747305333,8762
2016-05-31,511.478515625,516.3337448768294,504.1957002413886,516.3337448768294,11981
2016-06-01,512.2720947265625,516.4269944017823,507.18344249773435,508.9574298789534,16958
2016-06-02,529.21875,533.1402836239592,507.9304978834218,509.7978894197579,76239
2016-06-03,529.7322998046875,534.5408560650347,525.4839952283749,529.2187785021918,8650
2016-06-06,522.49609375,535.7545841593455,519.1348120071297,529.7322354641282,15344
2016-06-07,512.7390747070312,526.4176840732188,511.1517804390324,518.3879229361933,7477
2016-06-08,516.287109375,520.0685660066584,512.5523261361731,518.1078276015821,7378
2016-06-09,515.1666870117188,518.1078517446568,509.0509905708109,516.3338068282383,6598
2016-06-10,504.1490173339844,518.7613212147429,502.3282992753891,513.6259947351618,7803
