Price,Close,High,Low,Open,Volume
Ticker,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS
Date,,,,,
2016-04-20,317.5225524902344,322.874582377566,314.7754668079451,317.2383562602539,2406647
2016-04-21,307.6710510253906,317.80677801261027,305.2555416231406,316.3385317340938,2598664
2016-04-22,313.9703369140625,316.1016786912213,303.26624753276116,305.0660414740607,2720399
2016-04-25,306.1553039550781,312.0283151152217,304.07131453518576,312.0283151152217,631548
2016-04-26,312.7862243652344,313.63875520238224,300.8033254302646,305.06600852417387,1571013
2016-04-27,310.5601806640625,312.54943874782634,307.2921117472953,312.3599745843545,1480109
2016-04-28,301.8927001953125,312.0283959610566,300.99278886988446,311.64949657967577,1691417
2016-04-29,302.9347229003906,305.8238926534076,297.72477593494307,302.17692399595927,1020863
2016-05-02,302.12957763671875,306.439613183134,298.00897736560404,299.3351399254106,1172656
2016-05-03,272.29071044921875,308.23931729190537,264.33367959736927,305.96589229487716,14135554
2016-05-04,275.3692932128906,280.0582264843165,262.86541333942495,264.286307465584,10887415
2016-05-05,280.5792541503906,282.4737797586764,271.53287702592604,275.7482080676286,3220948
2016-05-06,284.60516357421875,286.1681416528544,278.59003808790976,280.38983190294994,2149934
2016-05-09,285.4103088378906,288.11001396616695,283.79997920409403,287.0206673798577,1137336
2016-05-10,283.3263854980469,286.5470741030245,279.44260119137925,286.0734425755815,1471002
2016-05-11,281.2896728515625,286.2628020711737,276.1270795269863,276.1270795269863,1477346
2016-05-12,280.8634338378906,283.2315909528813,279.2057238573972,282.284328106885,753323
2016-05-13,280.5318603515625,282.2843022376913,278.0216198213503,280.34242514462426,1280536
2016-05-16,279.67938232421875,282.37908747799185,275.22723495426516,281.52655661579263,1008405
2016-05-17,278.6373291015625,282.2842964310462,277.7847984174641,280.86340232149394,806278
2016-05-18,281.9527587890625,283.18421773967975,277.0270097110907,277.16909334550195,901827
2016-05-19,280.81610107421875,285.97866658590203,278.4952953827611,281.28973252895133,1051112
2016-05-20,281.8106994628906,285.55239930474085,278.49527946920955,278.9689108968783,824972
2016-05-23,279.5373229980469,285.12616903470035,276.5060697706213,285.12616903470035,1865679
2016-05-24,278.82684326171875,281.33708419087884,276.22187025995134,277.6427646245518,1122095
2016-05-25,280.5792541503906,282.28431563458116,276.60073880972385,280.38979002629543,1258461
2016-05-26,283.3263854980469,287.44698556843593,279.8215006316988,280.3898642462653,2039276
2016-05-27,275.7482604980469,284.1315436903314,273.8537345295384,283.231632292021,1292327
2016-05-30,272.76434326171875,278.44792023755036,268.78582781536966,276.6954782217021,1431010
2016-05-31,269.6383972167969,273.3327169988157,269.02268207115566,272.81173393131274,1305250
2016-06-01,273.66424560546875,276.6007663725648,271.8171002982249,272.8117147784201,1484499
2016-06-02,280.9581298828125,282.284291915548,277.12169850349125,280.5792305746258,3300600
2016-06-03,281.85809326171875,291.75700314601323,279.7267515179573,282.5211889230469,2547088
2016-06-06,279.2530822753906,284.0841286899184,277.7374848112137,283.4684136065754,946952
2016-06-07,278.3531799316406,282.0948506517144,276.83755366799267,280.20032504919607,1998900
2016-06-08,274.4220886230469,279.44257070291553,272.9538137032645,278.77947507357237,1984224
2016-06-09,274.6115417480469,276.7902640233345,272.4801999683236,274.5641901606555,1324754
2016-06-10,271.5802917480469,276.9323214845293,270.6330288244864,275.08514722031833,1277187
2016-06-13,272.669677734375,273.75902447226645,268.83324499461673,269.96997223043576,782959
2016-06-14,274.9430236816406,276.6007335574128,272.33805101971296,273.0484981093296,764507
2016-06-15,276.6480712890625,277.45325039863405,274.7061942378881,275.4166412919516,611196
2016-06-16,276.79022216796875,278.44793219041304,275.13251214552446,275.1798637257554,1167469
2016-06-17,277.8321838378906,278.92155924779144,273.3800657638163,277.78483225840284,1113631
2016-06-20,277.8795471191406,279.0636256146984,273.38004883602093,273.75894817296614,585520
2016-06-21,280.6266174316406,281.8106959862045,276.7428339910375,278.16372825651416,1211122
2016-06-22,279.4425048828125,284.55771783462774,277.02699648861665,282.0948289591124,1577127
2016-06-23,279.7740783691406,280.62660912154735,276.6007421552467,279.82142994665384,1013807
2016-06-24,281.52655029296875,283.2316119790731,264.38108572597946,275.7482407217951,1312545
2016-06-27,280.7213134765625,285.8365263942805,278.7794075513549,279.39515144725254,905363
2016-06-28,280.8634338378906,285.1261166448738,280.1056351243608,283.89468650834584,947269
2016-06-29,284.4630432128906,287.2101288064626,282.0001827482912,282.2843500609234,1450888
2016-06-30,293.1778869628906,295.3565802138859,288.15740482372524,289.2467514492228,2819375
2016-07-01,295.1671142578125,299.8086965106245,292.84630867732227,296.16172870192634,1616284
2016-07-04,297.06170654296875,301.13492620825025,295.3566156605306,299.33513214471134,1545969
2016-07-05,290.2413635253906,297.4879193468854,289.57829680203315,297.25110360822106,1547151
2016-07-07,283.4210510253906,289.8624267226264,282.37905612808754,289.8624267226264,2366617
2016-07-08,281.1949768066406,284.6998319319862,278.16372418802575,284.17884893886526,1109583
2016-07-11,282.8052978515625,286.0733660803162,281.85803504997205,283.2315776755448,1186617
2016-07-12,288.7731018066406,289.8150967817386,282.8527086619587,283.23160804158437,1255214
2016-07-13,292.1358642578125,295.26184908368054,290.24133851177197,295.26184908368054,2858917
2016-07-14,288.4415588378906,290.3360846759063,286.4049493436578,289.3888217568985,1650978
2016-07-15,291.1413269042969,294.3146641509099,285.7419155349447,288.8205206875351,1790590
2016-07-18,285.9312438964844,295.0723229179273,284.6050819346656,292.9883334720958,1172056
2016-07-19,284.7945556640625,285.8365505279851,280.8634208170591,284.1788406243431,1036818
2016-07-20,285.97869873046875,288.15742101203324,284.03682111106224,285.12616779775794,1174490
2016-07-21,284.5104675292969,288.44160346982875,283.23165660912576,285.8839816294865,809845
2016-07-22,285.07879638671875,287.2101380243754,281.5739119081927,284.652516495919,1988406
2016-07-25,285.03143310546875,285.931344525643,283.3263712556545,285.5524451043701,1840573
2016-07-26,275.8903503417969,298.19838255723784,273.6169249103145,287.4469705717438,12078740
2016-07-27,272.95379638671875,280.10564856199017,270.7277228102016,275.93766871312,5166259
2016-07-28,274.9430236816406,275.6534707712573,271.7223359903451,274.232576592024,3398855
2016-07-29,276.3639831542969,279.8214873589971,273.90109354678,276.17451898903676,1817346
2016-08-01,279.4425048828125,281.95274533148284,277.1690801162462,277.9268787357135,1953335
2016-08-02,284.0841369628906,286.7364904187782,279.06365517322087,284.13151745263133,3357305
2016-08-03,282.61590576171875,284.7945989745663,279.7741169233066,284.0841517649633,1489230
2016-08-04,283.4210510253906,286.54700680913237,278.11637338216656,284.2262013064195,1303006
2016-08-05,287.1627197265625,288.8204296709443,284.17884760830873,284.17884760830873,1080750
2016-08-08,288.4415588378906,291.70962747173576,287.1153965329137,288.6783745676426,794415
2016-08-09,283.3736877441406,288.67836570944263,281.33707831240184,288.39419840572816,712570
2016-08-10,281.1949768066406,283.7052175239671,278.4952719600879,282.2843232792728,922823
2016-08-11,282.2369689941406,284.7472096873916,277.97428630094066,280.38979493048714,714388
2016-08-12,283.5157775878906,286.45229839247344,281.147620311319,282.2369957850778,772899
2016-08-16,283.61053466796875,285.50506065627604,281.1950255961459,284.65252974317224,1167469
2016-08-17,296.3985900878906,297.44058518066765,283.23164002872494,283.23164002872494,2981948
2016-08-18,295.3565979003906,299.80874565506207,293.3199881902136,297.4405881064439,1514753
2016-08-19,295.3092041015625,300.28233424280774,292.9883984723804,295.5460198225742,894774
2016-08-22,289.5782775878906,295.5933738243135,288.1100027606921,295.546022242991,1130620
2016-08-23,290.0045471191406,293.98306308281167,288.2994853679508,289.81511187354795,1134199
2016-08-24,290.2413635253906,293.1778844664628,289.10466532470446,291.283358557148,865345
2016-08-25,290.1940002441406,293.5567720343634,287.54164673310504,290.90444743149783,1286991
2016-08-26,287.3995666503906,291.0938862889441,285.7892370172624,290.47817116721353,767674
2016-08-29,295.1197509765625,296.96692523266535,284.9840550838585,287.4469444559389,1223678
2016-08-30,308.85504150390625,310.84429927585137,297.96151869981946,298.34044696736566,3263919
2016-08-31,308.85504150390625,315.3911783128928,307.48152771263966,310.41804833711404,2253745
2016-09-01,310.0391845703125,312.02844275610414,305.87123293371405,309.7550172187026,1645756
2016-09-02,314.7754821777344,321.02742373634936,313.73351600810895,319.2749814111673,2323193
2016-09-06,315.34381103515625,318.84869529960184,312.21785505413015,317.9961644782465,885742
2016-09-07,313.2125244140625,315.2017826179292,311.17591462055526,314.87023476592236,2067143
2016-09-08,320.0328369140625,324.2481402692886,311.5548207965962,313.5440790434616,3294803
2016-09-09,312.4073181152344,320.1748860865193,310.03916067376605,320.1748860865193,2094798
2016-09-12,304.6397705078125,306.34483225457865,293.65151450595545,299.3350922060707,1833521
2016-09-14,308.99713134765625,311.12847260919784,305.0659676720578,306.9131416619936,971448
2016-09-15,305.2080993652344,310.7022122875396,302.93464541708397,309.47078215576465,741373
2016-09-16,320.50640869140625,321.7852193908123,306.15538150693095,307.8604431673593,5043289
2016-09-19,319.6064453125,325.52683748599827,317.8540034475115,322.8271328732501,2173004
2016-09-20,315.01226806640625,320.17486247129716,313.1651227432045,318.8013196932855,1017386
2016-09-21,316.1963195800781,323.4902548994977,313.8755430025663,315.39116930495874,2098496
2016-09-22,330.73681640625,332.11035909416967,320.6484728930219,320.6484728930219,3858785
2016-09-23,332.015625,336.0888436435803,329.6474679029957,334.28905003149055,3228823
2016-09-26,329.8843688964844,334.8575000858786,327.2793954163255,329.5528210355564,1441653
2016-09-27,329.50537109375,333.1996902358403,328.0370964073702,331.7787960344082,1712135
2016-09-28,332.39453125,338.9306391917014,324.4375290206171,329.64747474211606,2532489
2016-09-29,330.9736633300781,337.69923594254556,319.84332385651595,335.70997799967904,4628395
2016-09-30,346.55621337890625,349.1611869224145,324.9112456084843,326.853123414011,4329352
2016-10-03,357.6864929199219,362.6122428767119,346.6035049278454,350.2978246224806,3278206
2016-10-04,357.54443359375,364.93307348587297,354.6552640771866,360.8598541186054,2588516
2016-10-05,359.39154052734375,364.6014865070469,353.80269516711434,359.91255247021587,1838703
2016-10-06,364.4120178222656,367.49062198223896,357.21281462038684,359.95987101226814,3096282
2016-10-07,365.8329162597656,368.6747047478275,359.9598751545041,363.6541944073511,1961307
2016-10-10,368.0589599609375,372.74792251904375,366.164434306457,368.10634044719995,1247661
2016-10-13,364.74359130859375,367.4432965271448,360.1967406623183,367.4432965271448,1586464
2016-10-14,369.8587951660156,370.9954932528557,363.1805746596359,367.537989596277,1242560
2016-10-17,368.72210693359375,373.22160599058685,364.6962393562841,370.28508503491497,2062493
2016-10-18,374.2161865234375,380.6102109180338,371.32704632322077,373.2215720697678,2231607
2016-10-19,370.7586669921875,375.4949811563906,368.6747061048386,375.11608180488787,1378425
2016-10-20,372.3216857910156,374.31094374017044,369.43254539669437,373.9793959306162,1198309
2016-10-21,375.0213928222656,376.25285199132844,369.9061787189261,372.36906814888096,1509614
2016-10-24,374.87933349609375,377.957938256327,372.60590807017144,376.3002280008168,905922
2016-10-25,386.1990661621094,387.4304962740411,371.80065962728884,373.9793525662965,2310529
2016-10-26,378.8577575683594,389.5618153384036,375.21079011121776,386.0095799401811,2155079
2016-10-27,390.3670349121094,397.8504058112103,366.8275467866457,379.80505968232643,9380056
2016-10-28,383.6414794921875,394.0140199454294,381.03650648328994,393.96663945491116,3136287
2016-11-01,382.4573974609375,389.98814911043314,380.79968737906347,389.89341703840637,1954407
2016-11-02,379.6629638671875,386.86216778572634,376.3001920901907,380.7523393433867,1576538
2016-11-03,372.9638366699219,385.31677903096386,371.5384971667247,384.0339676783651,3592297
2016-11-04,373.15386962890625,377.80997257465106,367.9751248329771,373.4389259118399,1141253
2016-11-07,370.25567626953125,379.14029807681686,368.68780865615275,378.1900717658474,995524
2016-11-08,371.4910583496094,374.38923754844603,366.4073408217547,374.38923754844603,1211557
2016-11-09,360.8009338378906,364.83939556955613,334.38462558218595,336.8552197353964,3266911
2016-11-10,360.2783203125,370.49325373121656,357.90275440117057,364.88692398020055,1595511
2016-11-11,343.7919006347656,356.3349007402664,334.3846650549443,356.3349007402664,3159026
2016-11-15,330.20367431640625,343.0317307286983,321.1765235077563,343.0317307286983,2398759
2016-11-16,340.84619140625,344.88465325230226,328.3982208575208,335.09730479094156,1737436
2016-11-17,344.8371887207031,349.68334963768683,328.018197183492,336.38017872755745,2130082
