Price,Close,High,Low,Open,Volume
Ticker,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS
Date,,,,,
2016-04-20,741.3010864257812,768.8866376378313,733.5517732289759,745.6874833868806,78725
2016-04-21,718.1993408203125,756.4584675768647,716.4447940398937,752.4619966051156,47873
2016-04-22,720.6361694335938,733.9903213084524,711.181036529829,721.2210579758427,34809
2016-04-25,734.1365966796875,745.6874171874151,716.9321507729985,716.9321507729985,42071
2016-04-26,721.7571411132812,745.6873574840047,716.9320933718765,735.4037071325964,98101
2016-04-27,722.585693359375,735.842393822603,717.4195050182954,735.842393822603,26503
2016-04-28,720.2950439453125,731.9433752608535,717.4195054958897,726.8746385949012,87595
2016-04-29,728.141845703125,734.7701665362321,712.7894573901074,720.3925330367393,50577
2016-05-02,711.4248046875,730.9686870587669,704.0166916125976,728.7267033044935,45945
2016-05-03,709.3290405273438,723.2680214955802,706.5997391375428,712.0583419171446,11942
2016-05-04,690.7598876953125,712.4969038990648,685.6911517545875,712.4969038990648,50565
2016-05-05,690.1751708984375,707.6233067956929,688.4206240386887,694.805256511441,52193
2016-05-06,707.7694091796875,716.444750362756,692.0758813027984,692.1246071420564,53059
2016-05-09,730.7249145507812,738.3767154611372,708.6466958947152,712.1557891605697,55903
2016-05-10,725.0225219726562,735.3061719887517,720.1487485532456,735.3061719887517,14006
2016-05-11,736.91455078125,738.8640601748511,716.4934279844165,723.7553623744419,26060
2016-05-12,738.8641967773438,743.3480454138861,732.2846013574926,740.0339145286249,38741
2016-05-13,745.0537719726562,750.073782750451,732.1382714899487,743.5429140037296,84471
2016-05-16,744.7125854492188,756.9944707832509,741.3983956953091,749.5863589142006,13773
2016-05-17,759.4801635742188,767.2294159995951,742.2269931384338,745.6873604941533,126987
2016-05-18,759.5289306640625,763.6716384473685,751.5359296303511,763.038024047492,13670
2016-05-19,738.279296875,764.5976760314384,733.502974637774,764.5976760314384,13978
2016-05-20,713.9591674804688,748.3192742921988,698.8991938726354,738.4742150835983,56739
2016-05-23,727.1182861328125,733.9902949234739,717.4681907285266,733.9902949234739,25116
2016-05-24,726.7772216796875,731.5535444350851,721.8059955418794,731.5535444350851,7948
2016-05-25,735.40380859375,745.6874603639586,726.1923633609794,726.9721553422356,71343
2016-05-26,746.3209228515625,748.6115724852743,735.9397620135184,739.7413289527661,18713
2016-05-27,755.1424560546875,761.088435754256,745.4923610072659,746.4671156789527,17492
2016-05-30,749.830078125,759.4801737763954,738.9128132199637,756.4096725706858,7211
2016-05-31,739.2540283203125,755.3374817414922,727.2157714266624,755.3374817414922,38427
2016-06-01,748.2218627929688,755.4350730950885,738.1331730338783,743.68928805099,56538
2016-06-02,746.564697265625,752.5106775260737,740.8136203624559,740.8136203624559,10709
2016-06-03,750.5611572265625,754.2652133763514,736.232250507921,736.232250507921,31614
2016-06-06,751.0973510742188,755.1426075711057,735.93992478707,735.93992478707,58041
2016-06-07,777.5618896484375,793.8403061585792,740.8136230283031,744.1765388738067,81692
2016-06-08,764.8901977539062,784.4340220043908,761.2835926504246,777.8544262932636,43510
2016-06-09,770.738525390625,779.3163545423872,751.4871207599657,761.2833932427823,27668
2016-06-10,757.335693359375,779.8037778086245,752.9980229464531,770.0562305860168,8244
2016-06-13,749.9761962890625,765.1823439117552,744.2251204797773,746.6620069253561,15525
2016-06-14,752.6080932617188,766.7908219907151,745.6873585681552,754.8988025434467,11804
2016-06-15,756.2147216796875,760.3087035205831,748.6116465433433,748.6116465433433,8463
2016-06-16,759.333984375,769.9588354252115,752.2670121199053,759.0415698357203,10890
2016-06-17,784.33642578125,791.5008493265691,758.3591881478703,759.041528365117,144614
2016-06-20,775.9048461914062,787.8943187248982,766.8396381536105,774.9300913595075,14456
2016-06-21,789.3563842773438,791.5495824638051,773.0292422225754,774.3451968310372,83357
2016-06-22,785.0187377929688,793.4503904325126,778.8290687414958,788.576616535507,15385
2016-06-23,779.7550659179688,786.9194894570047,771.5183764686835,777.903008114825,23295
2016-06-24,783.7027587890625,790.4285898450485,750.609825670191,778.8289854135087,24582
2016-06-27,793.2554321289062,802.6618396018184,777.1232523361248,789.5513758447928,32947
2016-06-28,786.627197265625,796.374746178458,782.7281777004919,782.7281777004919,13789
2016-06-29,796.8132934570312,806.6095669330052,789.5513585688632,789.6000844081846,34345
2016-06-30,809.436279296875,813.8226751901146,791.6957328964677,805.1473350702088,26096
2016-07-01,804.36767578125,811.4833739482401,794.4251648862651,809.0464869393865,16994
2016-07-04,811.7269897460938,827.9566795651582,794.4250935371557,794.4250935371557,34639
2016-07-05,828.1029663085938,834.3414211115901,810.8010678174132,811.727096818621,81122
2016-07-07,822.9854125976562,837.2168674552609,819.7687338642324,827.5667717606817,19767
2016-07-08,819.0377807617188,832.4406602445794,811.9708079434831,830.9785279373582,5539
2016-07-11,817.088134765625,827.5667478866873,809.9237114526676,819.281332860731,403269
2016-07-12,855.3960571289062,860.7084826522929,813.920252564739,818.0142345962622,85046
2016-07-13,840.4336547851562,866.3621103434675,831.4171723023237,860.4161294768392,20646
2016-07-14,840.9208984375,847.9878700700549,830.5884628367672,845.8921236502646,6852
2016-07-15,829.1751098632812,852.861637189005,825.0811282218993,840.6284775953336,18238
2016-07-18,835.3648681640625,848.0366806332956,829.5163393321087,829.5163393321087,7723
2016-07-19,828.444091796875,843.162864830293,821.7669860146393,833.4153172600005,12014
2016-07-20,826.4945068359375,843.1627878618433,820.3047789972483,834.2925441803245,16547
2016-07-21,825.4711303710938,838.2891805930035,820.7435930922197,826.9820480013357,15913
2016-07-22,814.8463745117188,838.2892180717214,810.0213258344191,838.2892180717214,18363
2016-07-25,830.7833862304688,835.8521223699402,810.9958784977146,815.7234148090245,89126
2016-07-26,823.0828857421875,849.6936769355623,815.6747143862275,835.2673193924786,8841
2016-07-27,827.0306396484375,834.3900257571305,814.3588285096026,827.3230541604726,7710
2016-07-28,823.4727783203125,833.415288396536,819.7687222707448,830.0523727023904,11874
2016-07-29,824.1551513671875,831.4658120830406,817.0394535026188,825.227357807789,8946
2016-08-01,833.3179321289062,836.8270257367162,820.7435709613454,821.2309483787809,11111
2016-08-02,829.9548950195312,836.3395263580188,826.7382164323999,831.8556785692059,15912
2016-08-03,824.1064453125,833.4153416153059,819.7687746180961,829.2239079364535,9133
2016-08-04,830.9296264648438,836.8268802919779,824.5449953049829,824.5449953049829,5628
2016-08-05,840.4822387695312,847.9391360106711,830.49100311005,830.49100311005,12854
2016-08-08,858.953857421875,864.5586969722125,833.9026496197666,833.9026496197666,21022
2016-08-09,865.289794921875,872.1130781044378,848.0366241185329,848.0366241185329,17594
2016-08-10,849.742431640625,866.5569506492866,848.0366108716304,866.0695732867167,16366
2016-08-11,868.1653442382812,872.4055036145503,849.9861443037853,851.0096248951977,13736
2016-08-12,869.188720703125,879.277407386647,854.8598156569924,877.2791722819762,13555
2016-08-16,869.3349609375,887.0267826529711,841.651962977661,860.8058572581444,24076
2016-08-17,877.2305908203125,882.1530906427162,862.2193431597175,871.430787883523,26100
2016-08-18,890.8771362304688,895.7996359327607,865.5822379850832,875.0373711772507,12150
2016-08-19,906.0344848632812,910.420880970742,872.5028997107482,894.1911915754152,69307
2016-08-22,894.7760009765625,924.0673649388987,888.5375477109008,896.7742360166527,18774
2016-08-23,889.951171875,903.5977396803121,879.4725573102068,903.5977396803121,13746
2016-08-24,890.4871215820312,901.6480745113296,882.5916325110591,891.9005277598558,14253
2016-08-25,891.70556640625,902.5253790149299,880.8858132918741,899.3086409861603,69571
2016-08-26,895.555908203125,907.789068165977,878.8388407856105,878.8388407856105,32548
2016-08-29,930.9882202148438,963.0576746774326,911.3956739103234,911.4931255857459,151057
2016-08-30,901.599365234375,950.3858257226078,888.4889027140073,933.8149959407777,394007
2016-08-31,895.45849609375,920.0710541141873,888.0015982819134,908.5689001963171,106147
2016-09-01,917.4391479492188,929.9159963791342,888.9762984253358,898.6751197203945,78074
2016-09-02,906.863037109375,924.5548592146852,902.622877841643,924.5548592146852,13680
2016-09-06,912.8090209960938,917.2441428378411,906.570567321473,911.3956148282481,20138
2016-09-07,917.6341552734375,921.1432486132883,911.3957010089149,911.3957010089149,20091
2016-09-08,919.0475463867188,925.9196153745429,909.4462353312678,920.0710865299687,13606
