Price,Close,High,Low,Open,Volume
Ticker,ZENSARTECH.NS,ZENSARTECH.NS,ZENSARTECH.NS,ZENSARTECH.NS,ZENSARTECH.NS
Date,,,,,
2016-04-20,172.77182006835938,174.3267479211083,169.81919796780457,169.81919796780457,119775
2016-04-21,173.3134307861328,177.12213384689966,172.3001163907883,173.83756949324976,319795
2016-04-22,174.42283630371094,178.2053334615152,168.08955852137768,174.1869725713093,452020
2016-04-25,166.0192413330078,167.95853579499797,160.73422738622207,161.60778296984284,1378255
2016-04-26,171.33917236328125,173.66283315336673,164.40313967690213,167.33828664085252,713460
2016-04-27,170.3782501220703,173.83753558969502,169.5396443495178,171.33916645457674,426875
2016-04-28,170.36947631835938,171.70601476079415,168.95432110387432,170.96350080910543,518840
2016-04-29,170.710205078125,171.39157726532224,170.1773357184555,171.39157726532224,118335
2016-05-02,169.26010131835938,171.5575564461098,167.8973569319548,171.5575564461098,37215
2016-05-03,169.41738891601562,171.2169114650357,167.54798031380815,171.2169114650357,153605
2016-05-04,169.68817138671875,171.02471035754397,167.08497949098472,168.69231855886073,563155
2016-05-05,169.55712890625,171.21687903451883,167.73138776987528,170.69274039959225,133365
2016-05-06,169.53965759277344,170.69274395245378,167.89736894325955,167.89736894325955,69985
2016-05-09,171.16445922851562,171.74100903205854,169.73182880508682,171.03341791167486,84185
2016-05-10,169.5746307373047,170.7888726451639,167.39948554281438,169.64451679387096,93390
2016-05-11,166.46473693847656,170.69274243539317,165.993022824936,170.69274243539317,29510
2016-05-12,168.63987731933594,169.46975230650366,165.97553060946234,166.2463306582794,38425
2016-05-13,168.49136352539062,169.10284961667622,166.68309751680633,168.63112225382943,54970
2016-05-16,168.3865509033203,169.015511920416,166.98887012152903,167.12864219852784,76825
2016-05-17,169.9502410888672,172.09044959819306,168.69231891849105,169.29507440257964,62320
2016-05-18,178.45864868164062,183.44665649214852,167.59162936994394,171.13826259608828,351360
2016-05-19,171.8109130859375,179.93498302455342,170.94610155223708,178.55476354428097,90660
2016-05-20,170.67527770996094,173.4881274839158,169.50470321061516,173.4881274839158,72315
2016-05-23,168.6573486328125,172.09041498024663,167.09367699162573,172.09041498024663,82325
2016-05-24,167.74012756347656,171.2168746532861,166.67438880795623,168.33413889375407,144215
2016-05-25,166.010498046875,168.6137032957861,165.27671455215128,165.32912575471718,76745
2016-05-26,168.70103454589844,170.91112890307903,166.1502540755785,166.49968427456702,135610
2016-05-27,168.12452697753906,169.46979681931242,167.54797704703557,168.07210244161936,54070
2016-05-30,168.2904510498047,172.9465031684798,167.1985067441885,170.84997543345608,60840
2016-05-31,165.7833709716797,170.16862355853763,164.92729026615598,170.16862355853763,84745
2016-06-01,165.9406280517578,166.8491200130707,165.66108386095343,166.79670880964505,20760
2016-06-02,164.9622344970703,166.8491177714475,162.55122586607754,165.8008537288159,104750
2016-06-03,160.8914794921875,166.8491356555944,159.3715011327391,163.18893520667575,152375
2016-06-06,161.11859130859375,164.31580789077577,159.4763025731647,160.74295548256683,149765
2016-06-07,165.91441345214844,166.76176347471994,162.13192932590786,165.45143003726724,45970
2016-06-08,165.11944580078125,165.97552636241926,163.37233499696632,164.59530722787773,65625
2016-06-09,163.4422607421875,165.43396647613352,162.577435885579,164.4031639201294,27600
2016-06-10,166.08914184570312,166.84913100424066,162.1319357735777,162.1319357735777,92555
2016-06-13,165.53880310058594,166.84913663436365,163.77421687619938,166.8316617883474,23025
2016-06-14,166.03668212890625,166.93644312917579,165.10197144799457,165.6261100224457,22990
2016-06-15,166.4822235107422,172.61458739522908,165.59119308972095,168.40404311479952,181095
2016-06-16,168.98931884765625,176.1088045932172,163.59948269200967,167.72266596329263,396470
2016-06-17,168.8146209716797,170.34334328319557,166.47349834415633,169.46978767661506,48500
2016-06-20,168.2904510498047,170.3433116761224,167.0500039181525,168.42149236411757,26000
2016-06-21,169.11160278320312,170.50929688799647,168.61368308909724,168.93689435245366,17590
2016-06-22,168.80587768554688,169.64448354115902,167.89737245766736,167.89737245766736,45730
2016-06-23,170.18609619140625,170.34332979002366,165.27670500731224,168.42151027365716,53745
2016-06-24,169.19894409179688,169.46974412754454,164.22841183494006,166.8490779812423,69720
2016-06-27,168.49136352539062,171.7409905583908,167.32078920276152,171.7409905583908,33525
2016-06-28,168.10702514648438,169.46103885825573,167.0150807546364,168.98058065996275,36235
2016-06-29,168.2293243408203,169.8191884625451,167.0412882955031,168.2293243408203,52740
2016-06-30,169.64447021484375,174.6586834291603,168.24678945548422,169.39114499257315,550235
2016-07-01,171.57504272460938,173.68031472493087,169.73184004592696,171.2168817626826,53250
2016-07-04,183.27194213867188,187.37765022361253,172.5446819241568,172.96398482179617,590610
2016-07-05,187.3514404296875,189.56153467545033,185.77030718099695,185.77030718099695,267630
2016-07-07,184.70460510253906,189.21215536612593,183.4466828588031,189.03743357607283,84540
2016-07-08,180.8696746826172,186.51283592729678,179.0788831848884,183.3680440251043,74010
2016-07-11,176.05636596679688,185.8664036262363,172.61456856461808,185.8664036262363,88800
2016-07-12,176.57177734375,181.55977178042605,175.59338612051582,176.45821086343017,55515
2016-07-13,175.92535400390625,179.0701593571842,175.2352509752314,177.04350405631618,51065
2016-07-14,176.03013610839844,180.6337765960253,175.58462767258823,175.58462767258823,61765
2016-07-15,175.93405151367188,179.07885627265807,174.24809599663035,176.63289849671298,73985
2016-07-18,177.0347442626953,179.07886074235748,174.54510598890826,176.45819448759127,67345
2016-07-19,176.58926391601562,177.33179152757128,175.76813282682124,176.98237461001625,39470
2016-07-20,175.61961364746094,178.1704077538567,174.36170476806402,176.63294135225917,52640
2016-07-21,177.5850830078125,180.30184101255244,171.32169197997248,176.45820233309587,169450
2016-07-22,173.19984436035156,178.9915079819128,172.2651336223397,174.71109157020223,150715
2016-07-25,174.0035400390625,175.7506512184024,171.103329083246,173.19987049609418,274090
2016-07-26,177.48025512695312,177.85589089316844,173.13868357317395,173.14742765828936,110275
2016-07-27,183.56893920898438,184.32019741884375,176.98233707136941,176.98233707136941,175715
2016-07-28,184.23284912109375,185.54318236755785,183.5776824978617,183.79607137227237,136390
2016-07-29,183.73495483398438,185.40344926433337,180.41544081788817,180.41544081788817,151125
2016-08-01,191.60565185546875,193.12564315808646,184.31147174466764,186.24202185142036,316100
2016-08-02,192.40931701660156,193.92057752968705,190.4350865146205,191.83278055474398,127770
2016-08-03,192.2084197998047,193.92932523877096,188.95006144581754,193.92932523877096,121560
2016-08-04,192.33944702148438,193.05576894236864,191.83279655232153,192.2783050666817,116305
2016-08-05,192.68011474609375,195.32698645615937,191.34356276426334,191.34356276426334,1153095
2016-08-08,191.92889404296875,197.42355253850724,188.77535800242987,190.87188597196385,1161625
2016-08-09,188.68797302246094,198.4717911799682,185.89259831023,190.95922247393494,1424070
2016-08-10,188.74038696289062,190.43508665574177,186.59144803665123,187.85810076366528,122135
2016-08-11,189.01121520996094,189.91097638449088,187.98915678829295,188.8539816048121,103760
2016-08-12,188.14642333984375,189.5615792513346,187.3340096403349,188.1726289434342,535275
2016-08-16,185.80526733398438,187.75329252558728,181.1754201406042,187.75329252558728,758765
2016-08-17,186.00619506835938,187.41262017468634,182.42462496046056,187.41262017468634,114040
2016-08-18,186.41673278808594,187.79695203629868,184.06687976012114,184.06687976012114,316980
2016-08-19,187.73583984375,191.8328177982568,183.49908979221505,187.63974819321825,115355
2016-08-22,187.6659393310547,190.60981725228385,184.49492843731068,184.49492843731068,90030
2016-08-23,187.9541778564453,189.2120997303026,185.64799219750597,185.64799219750597,168360
2016-08-24,188.54818725585938,190.43507004805133,186.0847680516619,186.0847680516619,143880
2016-08-25,192.22586059570312,193.06446628103689,186.70498429476825,186.70498429476825,146480
2016-08-26,192.9072723388672,193.57991383983205,188.3385805769781,191.13395565128693,57520
2016-08-29,191.1688690185547,193.71964930019772,188.12016906810712,193.71964930019772,47280
2016-08-30,188.9587860107422,191.6231329225538,188.5132775091864,191.53577204174726,64470
2016-08-31,188.10269165039062,190.56611102265373,186.95833617399836,189.03738902576984,106895
2016-09-01,187.9541778564453,190.08565510610381,184.61718992277397,188.5132527637822,205350
2016-09-02,182.68666076660156,187.65719355244835,180.42414195582964,187.1155800939144,143930
2016-09-06,180.83473205566406,187.639737346777,180.3018626297723,185.54319600074706,163930
2016-09-07,177.5064697265625,184.66962195053523,173.18237279429957,184.66962195053523,297695
2016-09-08,175.6283416748047,177.33177228953858,173.3920416544977,174.01225861528306,440090
2016-09-09,182.1450653076172,194.80289019079598,179.95244564710302,179.95244564710302,693975
2016-09-12,177.75982666015625,180.8260018936825,176.56304647252,179.06141592074883,87360
2016-09-14,178.4149627685547,181.6645899788954,176.45819384025774,180.24942114252264,68330
2016-09-15,176.31842041015625,181.69952492427683,175.61084266214516,179.44575037136144,95430
2016-09-16,174.61502075195312,178.93911811789758,173.83755683496273,176.32719551837923,103735
2016-09-19,177.27059936523438,178.26646536487763,173.32213836638118,174.71108831946535,67250
2016-09-20,176.17864990234375,179.9349408570569,175.2352217829254,178.8866770237271,48250
2016-09-21,176.40576171875,177.11333938828835,174.79842314481152,175.58461759332164,82630
2016-09-22,180.6425018310547,181.175371118496,176.45817764200308,178.0218358264705,78655
2016-09-23,178.53729248046875,181.1404843587704,177.85592019909717,180.52899812284724,44945
2016-09-26,177.7423553466797,178.45866399267499,175.7156999982045,176.28351912417918,34500
2016-09-27,177.7335968017578,178.57220256495305,176.63290840964146,176.63290840964146,314540
2016-09-28,179.52435302734375,179.93492510327258,176.63288698621716,177.5938031914541,92480
2016-09-29,176.62416076660156,180.82595992490673,175.06048920423785,177.50644688359426,107985
2016-09-30,173.45318603515625,176.44948847115685,166.02796393892936,175.7418972864677,136495
2016-10-03,176.43203735351562,178.89545737835795,173.6628675165418,173.6628675165418,57550
2016-10-04,175.2090301513672,177.33176358334202,174.71109712644534,176.45820809770981,18510
2016-10-05,175.44488525390625,177.33176835267528,173.5492713986297,175.57592657791477,80190
2016-10-06,175.4711151123047,176.45823723949835,173.8463011075174,176.35341482931887,17220
2016-10-07,174.76348876953125,175.57590221156005,173.87245854164726,173.87245854164726,18400
2016-10-10,175.2090301513672,176.28349966646314,166.04542830850153,174.885805557692,90390
2016-10-13,175.0430450439453,178.0306030784259,172.16030939788212,172.16030939788212,124980
2016-10-14,173.3134307861328,175.80306965083673,172.99895022774285,174.7023943611724,86730
2016-10-17,176.20494079589844,178.205377650667,172.1428984547486,175.0431100185495,233985
2016-10-18,174.57130432128906,176.00393461444105,166.02793375258796,172.7892572071331,639750
2016-10-19,173.23480224609375,182.3984049365319,172.61458525839228,174.53640483865897,307480
2016-10-20,173.8899688720703,175.22650782198127,173.3134189993322,173.97732976044887,73170
2016-10-21,173.12994384765625,175.93404916842508,171.56627224438873,175.93404916842508,91820
2016-10-24,171.4003448486328,174.45778935422854,170.3520674974798,173.92491992150585,42155
2016-10-25,169.47850036621094,172.9639916634676,168.68357497931322,172.0729613075149,35690
2016-10-26,168.46517944335938,171.21687387022854,168.07206881432197,170.3433183912988,16715
2016-10-27,166.83163452148438,168.54380925738732,165.8008453748304,168.07208179786107,157370
2016-10-28,160.55950927734375,166.83163159234573,160.00043427063216,166.83163159234573,96145
2016-11-01,162.45513916015625,164.21098115174533,160.5595250707907,160.5595250707907,46940
2016-11-02,182.96621704101562,187.5523839231412,161.08364668042205,161.9572022770174,2145030
2016-11-03,175.7593536376953,181.52482493169916,173.83753431616014,178.7381809172439,440170
2016-11-04,165.1806182861328,177.33177937222135,163.45971275986318,177.33177937222135,93935
2016-11-07,168.66607666015625,171.5575428745144,165.28542155905924,167.72263523741807,84460
2016-11-08,165.33787536621094,171.21690093654473,162.81330016618995,170.33461456193564,109530
2016-11-09,166.43849182128906,171.3740739813438,151.82391524590318,157.2399554913942,110885
2016-11-10,167.37319946289062,170.51799051990898,166.3336665315649,170.51799051990898,30605
2016-11-11,167.02383422851562,170.1948454391471,163.60822850719427,164.22845887105868,64210
2016-11-15,171.2430877685547,172.96399321181207,163.73050495385763,170.86746529251957,84090
2016-11-16,172.09042358398438,174.1607457342827,171.05089046617942,172.1777844607102,63185
2016-11-17,171.8021697998047,173.48813895614333,168.96311423948623,168.96311423948623,37455
2016-11-18,174.43153381347656,176.45818871564822,169.87158694238514,174.51889468420367,90210
2016-11-21,172.509765625,173.8375739421169,171.75850723458666,173.07758479380854,24475
2016-11-22,173.79385375976562,174.7110896462883,171.74100645406074,171.74100645406074,21125
2016-11-23,171.81961059570312,173.8375213998521,170.16859145327237,172.439827453823,254480
2016-11-24,173.4357147216797,173.9074421877392,171.3915979138218,171.95941702449346,32905
2016-11-25,176.46694946289062,177.689935213939,171.391593918949,171.391593918949,43915
2016-11-28,175.61961364746094,177.33178850485797,173.4968799171654,176.62421059475946,32895
2016-11-29,175.63705444335938,178.44990402346298,175.10418509236092,175.61084884653962,36495
2016-11-30,175.63705444335938,175.93406009358196,174.3616709668045,174.85085987997064,14820
2016-12-01,174.02102661132812,175.4099768934563,173.83757406019734,174.36171278108412,107390
2016-12-02,173.8026123046875,175.37500157880143,172.89410709848005,173.25226806110797,58825
2016-12-05,171.0334014892578,173.54924524176886,170.17732095157174,170.17732095157174,53325
2016-12-06,171.29550170898438,172.4660629271694,170.1598768472737,172.43985732746373,28365
2016-12-07,172.0380096435547,172.62329018595983,169.12033768730282,169.12033768730282,23800
2016-12-08,173.9510955810547,174.53637611471373,172.5970820100415,172.5970820100415,20370
2016-12-09,176.37083435058594,177.83841439067095,172.9639735369209,172.9639735369209,22455
2016-12-12,176.32717895507812,177.33176242523496,175.96901800925224,176.23981807532587,22395
2016-12-13,174.69361877441406,176.28349612443105,174.38788235822523,176.28349612443105,23975
2016-12-14,176.9124755859375,178.01315079197363,174.16076757674716,174.64122580019946,26785
2016-12-15,178.73817443847656,179.95241593515436,172.45730885638574,174.87706109415294,43955
2016-12-16,177.49774169921875,179.42829186279806,176.47568337801815,178.54600561870154,20840
2016-12-19,174.23934936523438,178.19655388424493,173.84623880913168,176.4057628188088,9110
2016-12-20,171.985595703125,175.58463977540254,170.74514860374194,174.0035065947058,11805
2016-12-21,169.434814453125,174.09959717828553,168.5961953883309,171.9157086369859,21150
2016-12-22,165.9929962158203,169.2950344694768,164.75254918190575,169.12032606022353,15420
2016-12-23,165.1544189453125,166.85784969264583,160.91768229983225,165.99303818290767,1181390
2016-12-26,160.3760223388672,164.2546101973094,159.86062788517782,163.52955766256486,33860
2016-12-27,161.32823181152344,162.48133153017204,160.21008177917315,160.21008177917315,21505
2016-12-28,161.70387268066406,162.83075350510325,161.07491160163747,161.07491160163747,27565
2016-12-29,165.1544189453125,167.5130163900356,161.9484715056132,162.30663249924245,46055
2016-12-30,165.9755401611328,167.87115394134003,162.92682675643164,167.0238040646918,171315
2017-01-02,164.75257873535156,168.31667357751942,163.1801761112189,165.9755511488994,13290
2017-01-03,165.26797485351562,167.7226637898189,164.57785851199992,164.57785851199992,35540
2017-01-04,163.9139862060547,167.43441450742318,163.36364186579152,165.10202245637717,19515
2017-01-05,165.8008270263672,165.97553545043533,164.22842455095707,164.22842455095707,37330
2017-01-06,164.08868408203125,166.4997061184686,163.529609019701,166.38613962272308,52940
2017-01-09,163.51210021972656,166.0628938243917,162.1318943598107,163.91394158548556,12570
2017-01-10,163.0666046142578,165.10199054162692,162.26293514871537,163.35487953060442,11575
2017-01-11,163.02291870117188,163.35487404753167,162.48131857134166,163.08407398261656,27310
2017-01-12,162.2105255126953,163.8702756573855,161.61650083194138,161.61650083194138,23945
2017-01-13,159.91307067871094,164.254642661007,157.77286232968876,163.8440705020004,102895
2017-01-16,157.6593017578125,160.7691573796772,157.2399988265071,159.773304586952,37085
2017-01-17,158.64639282226562,160.73418964370086,157.67674581895653,160.73418964370086,303470
2017-01-18,159.869384765625,161.43305655072623,159.17928179631252,159.47628746262936,15645
2017-01-19,159.72962951660156,160.72548225972156,158.97837124867598,160.03536594589502,39290
2017-01-20,160.742919921875,161.04866963520098,159.68592538149122,159.68592538149122,35595
2017-01-23,159.78204345703125,160.9613354120911,158.63768785785638,160.51582689521064,202025
2017-01-24,160.34115600585938,161.42435657415137,159.33655892436616,159.68598921204307,23400
2017-01-25,160.0615692138672,165.0932573832217,158.9958304462969,165.0932573832217,77745
2017-01-27,159.14434814453125,161.94846740326406,158.99584529641274,159.94803100284363,55785
2017-01-30,159.10939025878906,160.89143752449834,158.99582378407578,159.02202938140985,39500
2017-01-31,155.964599609375,160.5595102618155,154.02531858154686,159.10940487228484,114340
2017-02-01,153.9641571044922,155.4841484753415,151.5094682785372,153.74576822916669,167490
2017-02-02,156.33621215820312,157.93516161618655,154.28043148833163,154.7548372562026,32380
2017-02-03,155.7036590576172,158.8400536671273,154.68456272395233,156.0287280121829,28325
2017-02-06,157.70669555664062,158.84001955577713,154.88658993223683,155.61577967145556,80550
2017-02-07,158.5062255859375,159.88554017206872,157.61890478577217,159.88554017206872,35480
2017-02-08,160.98370361328125,161.67774444071415,157.2938242199186,159.1387639165999,48510
2017-02-09,160.10511779785156,160.77280330254308,159.00694291190524,159.01572348502896,81375
2017-02-10,161.106689453125,161.82708537155474,159.79765986495352,161.6513800308737,43850
2017-02-13,162.94284057617188,165.4906016158908,160.10515968206423,161.2911808258815,102095
2017-02-14,166.2725067138672,167.62546607430764,161.8270956261952,162.87256056686488,616355
2017-02-15,164.28700256347656,167.85387330848405,163.58416778585666,166.21100757259597,60970
2017-02-16,165.49063110351562,166.0353352022085,161.75683484922158,163.9444050100563,25450
2017-02-17,164.47149658203125,166.56241288604656,163.40845717191993,166.03529687392805,31190
2017-02-20,163.07461547851562,165.34125063421362,162.55628001646315,163.40846501937722,35565
2017-02-21,162.222412109375,164.47148585968105,161.65136644877683,163.40844651887224,34185
2017-02-22,163.65443420410156,164.11127876900912,160.77282400475883,160.77282400475883,43195
2017-02-23,162.96917724609375,165.77172211557627,161.29995653405786,161.29995653405786,19715
2017-02-27,161.45811462402344,164.28701510087092,160.20180859022554,162.87256486244718,31930
2017-02-28,161.4317626953125,162.52115737565722,160.27208318990102,160.27208318990102,43205
2017-03-01,161.78314208984375,164.81411593508636,160.78160698612007,164.81411593508636,14425
2017-03-02,161.56350708007812,163.4348016444411,160.79918153934713,161.82707177167896,529885
2017-03-03,160.92221069335938,162.18731075664155,160.49172115904642,161.4756953224103,23750
2017-03-06,162.60897827148438,163.05704228649122,159.19145793682142,160.80796844764052,23935
2017-03-07,161.72166442871094,164.89319474969895,160.5444239031978,161.22089013333792,530090
