Price,Close,High,Low,Open,Volume
Ticker,ZFCVINDIA.NS,ZFCVINDIA.NS,ZFCVINDIA.NS,ZFCVINDIA.NS,ZFCVINDIA.NS
Date,,,,,
2016-04-20,5969.41455078125,6094.61433360407,5927.1710879582115,6094.61433360407,3512
2016-04-21,5869.67919921875,6040.379327394311,5833.654061073343,5961.420120500268,1394
2016-04-22,5820.181640625,5912.169307813463,5788.450006297171,5872.5909096667665,2400
2016-04-25,5799.94775390625,5907.184117586917,5773.891315126291,5820.279843640981,8096
2016-04-26,5768.75927734375,5921.940326562324,5754.250812700915,5872.639980572198,4768
2016-04-27,5737.17578125,5823.290666285332,5704.802699188735,5768.907898069632,1420
2016-04-28,5625.30029296875,5862.72054236317,5592.285285021839,5775.816266489017,4076
2016-04-29,5723.65478515625,5793.6322917492,5591.250150377076,5660.339462203728,4238
2016-05-02,5704.45654296875,5797.529987263588,5615.972987625038,5660.338380008776,3250
2016-05-03,5722.61767578125,5793.680961978471,5651.5052328512265,5704.802697499142,3712
2016-05-04,5687.62939453125,5724.591885580065,5647.557499043578,5689.948917712312,3308
2016-05-05,5507.99609375,5714.671688481362,5494.572934330871,5700.014791651077,5888
2016-05-06,5513.77001953125,5596.183677674515,5494.030221173582,5541.9483889153535,2389
2016-05-09,5637.9345703125,5734.31406354397,5498.522209499048,5513.327061974813,9389
2016-05-10,5627.02783203125,5701.792327869657,5620.414805964479,5629.840368113867,5058
2016-05-11,5569.38720703125,5625.843230111936,5532.572671296923,5625.843230111936,2910
2016-05-12,5780.109375,5835.6772014530525,5502.469279293416,5625.744234563951,5691
2016-05-13,5904.0263671875,5939.705960143596,5780.109480606533,5780.109480606533,4405
2016-05-16,5929.8369140625,6019.653019119039,5852.506138213226,5936.745845220695,5709
2016-05-17,5868.64306640625,5964.874600038038,5828.176472776473,5870.617046583313,1808
2016-05-18,5857.98388671875,5932.7975441968065,5823.241642116313,5872.591147557977,1674
2016-05-19,5797.974609375,5961.4202680775825,5736.386522858759,5803.501850380163,4422
2016-05-20,5740.13671875,6139.078302153398,5676.179954290063,6020.639492465551,14286
2016-05-23,5717.73193359375,5861.980427428778,5685.062467818287,5823.241069466648,2245
2016-05-24,5781.0966796875,5843.968139215972,5717.633411666631,5817.023503377335,2902
2016-05-25,5729.47705078125,5823.241102430556,5704.802300347223,5798.6155087259085,4213
2016-05-26,5715.7578125,5780.8003562848535,5689.2078782243,5773.891426372954,8886
2016-05-27,5740.876953125,5771.917983891264,5694.932757703932,5714.672559290428,3657
2016-05-30,5736.8310546875,5788.697193977972,5704.85218848209,5773.892341819461,3099
2016-05-31,5631.41943359375,5773.200451626444,5626.830026449762,5767.969597364044,4911
2016-06-01,5677.9560546875,5768.956728271068,5656.48902152413,5662.80614326231,2833
2016-06-02,5694.5869140625,5754.102701860038,5690.984496848956,5729.378312521384,5944
2016-06-03,5666.5576171875,5749.168891615217,5648.545045619693,5696.26611928236,2457
2016-06-06,5637.193359375,5722.617150715205,5626.829964422109,5722.617150715205,1604
2016-06-07,5664.53369140625,5694.932793267791,5601.168735146397,5637.687368309466,4283
2016-06-08,5677.01904296875,5699.867767156101,5650.518262678559,5664.33612393227,2168
2016-06-09,5614.24609375,5739.3470812914775,5606.103425921856,5739.3470812914775,3204
2016-06-10,5685.35888671875,5716.646665695806,5571.559120830944,5653.479299224029,2624
2016-06-13,5643.7080078125,5714.672497361166,5591.298738782558,5591.298738782558,2104
2016-06-14,5573.9775390625,5699.867935941085,5566.624269906099,5650.518430002201,3054
2016-06-15,5592.4345703125,5620.909334706391,5542.443611772385,5606.2524334706895,4954
